s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
-6.000E+01, 0.000E+00, 0.000E+00,-5.459E-04, 9.655E-07,-3.843E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.453E-04, 0.000E+00, 0.000E+00, 0.000E+00,-8.652E-01
-4.999E+01, 0.000E+00, 0.000E+00,-6.677E-07,-6.393E-07,-2.497E-07, 1.347E-18,-4.800E-06, 0.000E+00,-1.713E-06,-6.356E-06, 1.282E-06, 0.000E+00, 0.000E+00,-8.653E-01
-3.999E+01, 0.000E+00, 0.000E+00, 1.981E-07, 1.041E-05,-5.618E-07, 1.304E-18, 1.924E-07, 0.000E+00, 7.069E-07, 1.024E-05, 4.203E-08, 0.000E+00, 0.000E+00,-8.652E-01
-2.998E+01, 0.000E+00, 0.000E+00, 3.494E-07, 9.657E-06,-5.528E-07, 1.202E-18,-4.907E-08, 0.000E+00,-1.716E-07, 9.405E-06, 3.175E-08, 0.000E+00, 0.000E+00,-8.652E-01
-1.997E+01, 0.000E+00, 0.000E+00, 4.943E-07, 9.374E-06,-3.653E-07, 9.298E-19,-2.979E-08, 0.000E+00,-1.064E-07, 9.473E-06, 3.106E-08, 0.000E+00, 0.000E+00,-8.652E-01
-9.967E+00, 0.000E+00, 0.000E+00, 6.292E-07, 9.019E-06,-1.163E-07, 8.856E-19,-1.821E-08, 0.000E+00,-6.207E-08, 9.514E-06, 3.003E-08, 0.000E+00, 0.000E+00,-8.652E-01
 3.957E-02, 1.048E-03, 0.000E+00, 7.512E-07, 3.647E-05, 1.205E-07, 2.014E-05, 2.288E-04, 0.000E+00, 3.351E-05, 1.334E-03, 2.898E-08, 8.984E-08, 0.000E+00,-8.644E-01
 1.001E+01, 4.973E+01, 0.000E+00,-9.015E+00,-3.733E+01,-1.172E+00, 2.180E-01, 8.964E-01, 0.000E+00, 3.149E+00, 3.322E+00,-1.252E-01, 1.008E-03,-1.252E-05, 8.238E+01
 2.001E+01, 1.488E+02, 0.000E+00,-2.629E+01,-1.070E+02,-9.627E+00, 6.278E-01, 2.253E+00, 0.000E+00, 7.884E+00, 8.763E+00,-3.609E-01, 3.002E-03,-4.225E-04, 2.916E+02
 3.001E+01, 2.496E+02, 0.000E+00,-4.651E+01,-1.715E+02,-2.128E+01, 9.887E-01, 3.253E+00, 0.000E+00, 1.139E+01, 1.458E+01,-5.765E-01, 5.002E-03,-1.680E-03, 5.936E+02
 4.001E+01, 3.002E+02, 0.000E+00,-6.199E+01,-2.011E+02,-3.372E+01, 1.147E+00,-7.371E-01, 0.000E+00,-2.570E+00, 3.815E+00,-6.712E-01, 5.997E-03,-3.788E-03, 5.255E+02
 5.001E+01, 3.006E+02, 0.000E+00,-7.261E+01,-1.783E+02,-4.604E+01, 1.147E+00,-1.237E+00, 0.000E+00,-4.325E+00, 3.524E+00,-5.887E-01, 5.997E-03,-5.260E-03, 4.108E+02
 6.001E+01, 3.004E+02, 0.000E+00,-8.452E+01,-1.550E+02,-5.682E+01, 1.138E+00,-1.269E+00, 0.000E+00,-4.432E+00, 3.888E+00,-5.007E-01, 5.997E-03,-7.154E-03, 2.933E+02
 7.000E+01, 3.010E+02, 0.000E+00,-9.799E+01,-1.301E+02,-6.828E+01, 1.143E+00,-8.542E-01, 0.000E+00,-2.991E+00, 4.923E+00,-4.025E-01, 5.997E-03,-9.533E-03, 2.140E+02
 8.001E+01, 3.002E+02, 0.000E+00,-1.121E+02,-1.077E+02,-7.670E+01, 1.131E+00,-8.609E-01, 0.000E+00,-3.031E+00, 3.992E+00,-3.210E-01, 5.997E-03,-1.093E-02, 1.336E+02
 9.001E+01, 3.007E+02, 0.000E+00,-1.258E+02,-8.767E+01,-8.334E+01, 1.133E+00,-3.512E-01, 0.000E+00,-1.215E+00, 4.707E+00,-2.514E-01, 5.997E-03,-1.158E-02, 1.014E+02
 1.000E+02, 3.002E+02, 0.000E+00,-1.391E+02,-6.991E+01,-8.863E+01, 1.128E+00,-4.231E-01, 0.000E+00,-1.500E+00, 3.305E+00,-1.898E-01, 5.997E-03,-1.229E-02, 6.160E+01
 1.100E+02, 3.005E+02, 0.000E+00,-1.499E+02,-5.531E+01,-9.311E+01, 1.118E+00,-2.314E-01, 0.000E+00,-7.779E-01, 3.052E+00,-1.476E-01, 5.997E-03,-1.138E-02, 4.096E+01
 1.200E+02, 2.995E+02, 0.000E+00,-1.594E+02,-4.323E+01,-9.541E+01, 1.118E+00,-2.231E-01, 0.000E+00,-7.609E-01, 2.295E+00,-1.094E-01, 5.997E-03,-1.143E-02, 2.079E+01
 1.300E+02, 3.010E+02, 0.000E+00,-1.676E+02,-3.504E+01,-9.669E+01, 1.121E+00, 8.265E-02, 0.000E+00, 2.931E-01, 2.901E+00,-8.697E-02, 5.997E-03,-1.059E-02, 2.855E+01
 1.400E+02, 2.993E+02, 0.000E+00,-1.745E+02,-2.678E+01,-9.766E+01, 1.123E+00,-2.376E-01, 0.000E+00,-8.209E-01, 1.297E+00,-6.563E-02, 5.997E-03,-9.523E-03, 6.785E+00
 1.500E+02, 2.994E+02, 0.000E+00,-1.801E+02,-2.000E+01,-9.857E+01, 1.114E+00, 3.777E-03, 0.000E+00, 1.060E-02, 1.866E+00,-4.955E-02, 5.997E-03,-7.750E-03, 7.066E+00
 1.600E+02, 2.984E+02, 0.000E+00,-1.842E+02,-1.578E+01,-9.764E+01, 1.108E+00, 9.705E-02, 0.000E+00, 2.742E-01, 2.042E+00,-3.925E-02, 5.997E-03,-7.021E-03, 1.433E+01
 1.700E+02, 2.980E+02, 0.000E+00,-1.870E+02,-1.383E+01,-9.681E+01, 1.099E+00,-1.110E-01, 0.000E+00,-3.583E-01, 1.280E+00,-3.376E-02, 5.997E-03,-7.121E-03, 4.828E+00
 1.800E+02, 2.998E+02, 0.000E+00,-1.903E+02,-1.170E+01,-9.679E+01, 1.087E+00, 2.053E-01, 0.000E+00, 6.697E-01, 2.267E+00,-2.781E-02, 5.997E-03,-6.810E-03, 2.258E+01
 1.900E+02, 2.994E+02, 0.000E+00,-1.924E+02,-1.094E+01,-9.606E+01, 1.094E+00,-1.644E-01, 0.000E+00,-5.553E-01, 9.262E-01,-2.599E-02, 5.997E-03,-6.936E-03, 7.853E+00
 2.000E+02, 2.994E+02, 0.000E+00,-1.944E+02,-9.143E+00,-9.514E+01, 1.077E+00, 9.280E-02, 0.000E+00, 2.910E-01, 1.928E+00,-1.999E-02, 5.997E-03,-7.102E-03, 1.558E+01
 2.100E+02, 2.985E+02, 0.000E+00,-1.963E+02,-7.375E+00,-9.491E+01, 1.089E+00,-1.108E-01, 0.000E+00,-3.809E-01, 9.865E-01,-1.657E-02, 5.997E-03,-6.451E-03, 5.473E+00
 2.200E+02, 2.993E+02, 0.000E+00,-1.978E+02,-6.452E+00,-9.491E+01, 1.103E+00,-6.565E-02, 0.000E+00,-2.276E-01, 1.160E+00,-1.412E-02, 5.997E-03,-6.342E-03,-5.565E-01
 2.300E+02, 2.999E+02, 0.000E+00,-1.992E+02,-6.122E+00,-9.433E+01, 1.089E+00, 1.444E-02, 0.000E+00, 9.806E-02, 1.374E+00,-1.298E-02, 5.997E-03,-6.595E-03, 2.046E+00
 2.400E+02, 3.005E+02, 0.000E+00,-2.007E+02,-5.846E+00,-9.328E+01, 1.097E+00, 1.623E-01, 0.000E+00, 6.031E-01, 1.958E+00,-1.274E-02, 5.997E-03,-6.506E-03, 1.803E+01
 2.500E+02, 2.992E+02, 0.000E+00,-2.012E+02,-3.461E+00,-9.415E+01, 1.074E+00, 2.181E-02, 0.000E+00, 5.507E-02, 1.445E+00,-4.393E-03, 5.997E-03,-6.971E-03, 1.949E+01
