s,C,C,C,C,C,C,C,C,Pa,mol/mol,mol/mol,kW
Time,West_All_TCs,East_All_TCs,West_Bottom_TCs,West_Middle_TCs,West_Upper_TCs,East_Bottom_TCs,East_Middle_TCs,East_Upper_TCs,Pressure,O2,CO2,HRR
-6.000E+02, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01, 3.300E+01,-9.348E-06, 2.095E-01, 3.901E-04, 0.000E+00
-5.400E+02, 3.133E+01, 3.293E+01, 2.921E+01, 2.977E+01, 3.500E+01, 3.080E+01, 3.096E+01, 3.702E+01,-4.439E+02, 2.095E-01, 3.901E-04, 0.000E+00
-4.800E+02, 3.187E+01, 3.250E+01, 3.117E+01, 3.101E+01, 3.342E+01, 3.194E+01, 3.160E+01, 3.397E+01,-4.434E+02, 2.095E-01, 3.901E-04, 0.000E+00
-4.200E+02, 3.210E+01, 3.271E+01, 3.177E+01, 3.156E+01, 3.299E+01, 3.245E+01, 3.219E+01, 3.351E+01,-4.422E+02, 2.095E-01, 3.901E-04, 0.000E+00
-3.600E+02, 3.246E+01, 3.285E+01, 3.227E+01, 3.222E+01, 3.290E+01, 3.261E+01, 3.236E+01, 3.358E+01,-4.430E+02, 2.095E-01, 3.901E-04, 0.000E+00
-3.000E+02, 3.248E+01, 3.297E+01, 3.240E+01, 3.211E+01, 3.293E+01, 3.274E+01, 3.259E+01, 3.359E+01,-4.437E+02, 2.095E-01, 3.901E-04, 0.000E+00
-2.400E+02, 3.266E+01, 3.296E+01, 3.254E+01, 3.215E+01, 3.329E+01, 3.285E+01, 3.270E+01, 3.334E+01,-4.442E+02, 2.095E-01, 3.901E-04, 0.000E+00
-1.800E+02, 3.282E+01, 3.297E+01, 3.266E+01, 3.269E+01, 3.310E+01, 3.289E+01, 3.276E+01, 3.325E+01,-4.445E+02, 2.095E-01, 3.901E-04, 0.000E+00
-1.200E+02, 3.285E+01, 3.284E+01, 3.266E+01, 3.281E+01, 3.308E+01, 3.282E+01, 3.265E+01, 3.306E+01,-4.446E+02, 2.095E-01, 3.901E-04, 0.000E+00
-5.999E+01, 3.282E+01, 3.300E+01, 3.272E+01, 3.247E+01, 3.326E+01, 3.289E+01, 3.282E+01, 3.328E+01,-4.449E+02, 2.095E-01, 3.901E-04, 0.000E+00
 1.667E-02, 3.274E+01, 3.305E+01, 3.258E+01, 3.259E+01, 3.306E+01, 3.289E+01, 3.291E+01, 3.334E+01,-4.448E+02, 2.095E-01, 3.901E-04, 6.629E-06
 6.001E+01, 9.184E+01, 9.257E+01, 8.224E+01, 1.416E+02, 5.171E+01, 8.564E+01, 1.425E+02, 4.953E+01,-1.088E+02, 2.088E-01, 8.144E-04, 1.870E+02
 1.200E+02, 1.244E+02, 1.307E+02, 1.210E+02, 1.737E+02, 7.849E+01, 1.355E+02, 1.803E+02, 7.644E+01,-2.532E+02, 2.028E-01, 4.147E-03, 2.500E+02
 1.800E+02, 1.310E+02, 1.367E+02, 1.284E+02, 1.762E+02, 8.826E+01, 1.405E+02, 1.834E+02, 8.628E+01,-3.716E+02, 1.957E-01, 8.100E-03, 2.501E+02
 2.400E+02, 1.348E+02, 1.418E+02, 1.313E+02, 1.816E+02, 9.134E+01, 1.462E+02, 1.919E+02, 8.719E+01,-3.864E+02, 1.896E-01, 1.154E-02, 2.501E+02
 3.000E+02, 1.389E+02, 1.443E+02, 1.349E+02, 1.889E+02, 9.301E+01, 1.482E+02, 1.964E+02, 8.832E+01,-3.812E+02, 1.858E-01, 1.364E-02, 2.500E+02
 3.600E+02, 1.410E+02, 1.468E+02, 1.390E+02, 1.897E+02, 9.425E+01, 1.508E+02, 1.968E+02, 9.294E+01,-3.699E+02, 1.830E-01, 1.525E-02, 2.500E+02
 4.200E+02, 1.462E+02, 1.480E+02, 1.407E+02, 1.985E+02, 9.942E+01, 1.494E+02, 2.009E+02, 9.372E+01,-3.637E+02, 1.808E-01, 1.645E-02, 2.500E+02
 4.800E+02, 1.472E+02, 1.521E+02, 1.411E+02, 2.004E+02, 1.001E+02, 1.569E+02, 2.032E+02, 9.612E+01,-3.541E+02, 1.794E-01, 1.722E-02, 2.500E+02
 5.400E+02, 1.484E+02, 1.563E+02, 1.437E+02, 1.992E+02, 1.022E+02, 1.589E+02, 2.100E+02, 1.001E+02,-3.510E+02, 1.785E-01, 1.772E-02, 2.501E+02
 6.000E+02, 1.506E+02, 1.563E+02, 1.472E+02, 2.021E+02, 1.025E+02, 1.612E+02, 2.098E+02, 9.785E+01,-3.468E+02, 1.784E-01, 1.782E-02, 2.500E+02
 6.600E+02, 1.543E+02, 1.595E+02, 1.495E+02, 2.087E+02, 1.048E+02, 1.641E+02, 2.120E+02, 1.024E+02,-3.403E+02, 1.780E-01, 1.801E-02, 2.501E+02
 7.200E+02, 1.556E+02, 1.605E+02, 1.509E+02, 2.088E+02, 1.071E+02, 1.632E+02, 2.172E+02, 1.010E+02,-3.407E+02, 1.778E-01, 1.812E-02, 2.500E+02
 7.800E+02, 1.571E+02, 1.631E+02, 1.512E+02, 2.089E+02, 1.113E+02, 1.663E+02, 2.179E+02, 1.052E+02,-3.344E+02, 1.776E-01, 1.826E-02, 2.502E+02
 8.400E+02, 1.590E+02, 1.628E+02, 1.553E+02, 2.124E+02, 1.093E+02, 1.662E+02, 2.176E+02, 1.045E+02,-3.322E+02, 1.771E-01, 1.851E-02, 2.499E+02
 9.000E+02, 1.591E+02, 1.657E+02, 1.539E+02, 2.139E+02, 1.096E+02, 1.705E+02, 2.199E+02, 1.067E+02,-3.320E+02, 1.767E-01, 1.876E-02, 2.502E+02
 9.600E+02, 1.604E+02, 1.686E+02, 1.567E+02, 2.141E+02, 1.103E+02, 1.728E+02, 2.240E+02, 1.090E+02,-3.263E+02, 1.765E-01, 1.885E-02, 2.501E+02
 1.020E+03, 1.643E+02, 1.690E+02, 1.598E+02, 2.215E+02, 1.117E+02, 1.699E+02, 2.276E+02, 1.094E+02,-3.224E+02, 1.765E-01, 1.885E-02, 2.501E+02
 1.080E+03, 1.662E+02, 1.710E+02, 1.606E+02, 2.195E+02, 1.184E+02, 1.732E+02, 2.276E+02, 1.121E+02,-3.184E+02, 1.761E-01, 1.910E-02, 2.501E+02
 1.140E+03, 1.663E+02, 1.726E+02, 1.615E+02, 2.206E+02, 1.169E+02, 1.762E+02, 2.296E+02, 1.119E+02,-3.225E+02, 1.760E-01, 1.914E-02, 2.500E+02
 1.200E+03, 1.681E+02, 1.716E+02, 1.633E+02, 2.227E+02, 1.183E+02, 1.739E+02, 2.292E+02, 1.118E+02,-3.217E+02, 1.760E-01, 1.911E-02, 2.499E+02
 1.260E+03, 1.689E+02, 1.743E+02, 1.638E+02, 2.226E+02, 1.204E+02, 1.762E+02, 2.308E+02, 1.159E+02,-3.181E+02, 1.760E-01, 1.916E-02, 2.501E+02
 1.320E+03, 1.702E+02, 1.764E+02, 1.648E+02, 2.260E+02, 1.198E+02, 1.784E+02, 2.325E+02, 1.183E+02,-3.196E+02, 1.760E-01, 1.914E-02, 2.500E+02
 1.380E+03, 1.709E+02, 1.771E+02, 1.651E+02, 2.274E+02, 1.202E+02, 1.804E+02, 2.326E+02, 1.182E+02,-3.181E+02, 1.758E-01, 1.927E-02, 2.501E+02
 1.440E+03, 1.733E+02, 1.776E+02, 1.660E+02, 2.306E+02, 1.232E+02, 1.805E+02, 2.337E+02, 1.184E+02,-3.186E+02, 1.756E-01, 1.937E-02, 2.501E+02
 1.500E+03, 1.748E+02, 1.779E+02, 1.679E+02, 2.313E+02, 1.252E+02, 1.795E+02, 2.355E+02, 1.187E+02,-3.171E+02, 1.756E-01, 1.936E-02, 2.499E+02
 1.560E+03, 1.753E+02, 1.810E+02, 1.684E+02, 2.316E+02, 1.258E+02, 1.830E+02, 2.388E+02, 1.212E+02,-3.152E+02, 1.757E-01, 1.930E-02, 2.501E+02
 1.620E+03, 1.756E+02, 1.818E+02, 1.685E+02, 2.318E+02, 1.266E+02, 1.845E+02, 2.375E+02, 1.234E+02,-3.159E+02, 1.756E-01, 1.938E-02, 2.500E+02
 1.680E+03, 1.773E+02, 1.830E+02, 1.721E+02, 2.330E+02, 1.269E+02, 1.846E+02, 2.401E+02, 1.243E+02,-3.129E+02, 1.754E-01, 1.946E-02, 2.501E+02
 1.740E+03, 1.786E+02, 1.835E+02, 1.713E+02, 2.342E+02, 1.302E+02, 1.867E+02, 2.405E+02, 1.234E+02,-3.140E+02, 1.755E-01, 1.939E-02, 2.500E+02
 1.800E+03, 1.788E+02, 1.853E+02, 1.726E+02, 2.345E+02, 1.294E+02, 1.891E+02, 2.423E+02, 1.246E+02,-3.143E+02, 1.755E-01, 1.941E-02, 2.499E+02
 1.860E+03, 1.798E+02, 1.841E+02, 1.734E+02, 2.338E+02, 1.323E+02, 1.883E+02, 2.408E+02, 1.233E+02,-3.128E+02, 1.756E-01, 1.938E-02, 2.501E+02
 1.920E+03, 1.820E+02, 1.854E+02, 1.754E+02, 2.368E+02, 1.340E+02, 1.871E+02, 2.435E+02, 1.255E+02,-3.103E+02, 1.755E-01, 1.940E-02, 2.499E+02
 1.980E+03, 1.815E+02, 1.875E+02, 1.756E+02, 2.369E+02, 1.322E+02, 1.895E+02, 2.439E+02, 1.291E+02,-3.115E+02, 1.752E-01, 1.957E-02, 2.500E+02
 2.040E+03, 1.835E+02, 1.886E+02, 1.787E+02, 2.395E+02, 1.322E+02, 1.892E+02, 2.488E+02, 1.279E+02,-3.099E+02, 1.753E-01, 1.955E-02, 2.501E+02
 2.100E+03, 1.855E+02, 1.898E+02, 1.781E+02, 2.448E+02, 1.335E+02, 1.915E+02, 2.492E+02, 1.287E+02,-3.078E+02, 1.753E-01, 1.953E-02, 2.501E+02
 2.160E+03, 1.845E+02, 1.898E+02, 1.769E+02, 2.423E+02, 1.343E+02, 1.934E+02, 2.454E+02, 1.305E+02,-3.099E+02, 1.751E-01, 1.962E-02, 2.498E+02
 2.220E+03, 1.864E+02, 1.912E+02, 1.801E+02, 2.418E+02, 1.372E+02, 1.916E+02, 2.511E+02, 1.309E+02,-3.074E+02, 1.751E-01, 1.962E-02, 2.502E+02
 2.280E+03, 1.867E+02, 1.908E+02, 1.811E+02, 2.415E+02, 1.375E+02, 1.950E+02, 2.491E+02, 1.283E+02,-3.063E+02, 1.751E-01, 1.962E-02, 2.499E+02
 2.340E+03, 1.880E+02, 1.928E+02, 1.809E+02, 2.444E+02, 1.387E+02, 1.942E+02, 2.512E+02, 1.331E+02,-3.063E+02, 1.752E-01, 1.958E-02, 2.501E+02
 2.400E+03, 1.886E+02, 1.935E+02, 1.814E+02, 2.450E+02, 1.393E+02, 1.980E+02, 2.501E+02, 1.323E+02,-3.047E+02, 1.751E-01, 1.965E-02, 2.499E+02
 2.460E+03, 1.893E+02, 1.928E+02, 1.831E+02, 2.460E+02, 1.387E+02, 1.957E+02, 2.485E+02, 1.343E+02,-3.044E+02, 1.751E-01, 1.961E-02, 2.501E+02
 2.520E+03, 1.909E+02, 1.947E+02, 1.836E+02, 2.478E+02, 1.413E+02, 1.960E+02, 2.525E+02, 1.355E+02,-3.044E+02, 1.750E-01, 1.970E-02, 2.500E+02
 2.580E+03, 1.917E+02, 1.964E+02, 1.861E+02, 2.475E+02, 1.415E+02, 1.991E+02, 2.553E+02, 1.347E+02,-3.023E+02, 1.749E-01, 1.974E-02, 2.500E+02
 2.640E+03, 1.923E+02, 1.968E+02, 1.862E+02, 2.481E+02, 1.427E+02, 1.992E+02, 2.543E+02, 1.370E+02,-3.013E+02, 1.750E-01, 1.969E-02, 2.499E+02
 2.700E+03, 1.927E+02, 1.964E+02, 1.874E+02, 2.479E+02, 1.428E+02, 2.014E+02, 2.518E+02, 1.359E+02,-3.024E+02, 1.750E-01, 1.970E-02, 2.502E+02
