s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
-6.000E+01, 0.000E+00, 0.000E+00,-5.710E-04, 9.585E-07,-3.679E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.704E-04, 0.000E+00, 0.000E+00, 0.000E+00,-8.589E-01
-4.999E+01, 0.000E+00, 0.000E+00,-6.720E-07,-6.551E-07,-2.502E-07, 1.536E-18,-4.837E-06, 0.000E+00,-1.693E-06,-6.415E-06, 1.270E-06, 0.000E+00, 0.000E+00,-8.590E-01
-3.999E+01, 0.000E+00, 0.000E+00, 2.158E-07, 1.030E-05,-5.634E-07, 9.222E-19, 1.911E-07, 0.000E+00, 7.002E-07, 1.015E-05, 4.137E-08, 0.000E+00, 0.000E+00,-8.590E-01
-2.998E+01, 0.000E+00, 0.000E+00, 3.798E-07, 9.543E-06,-5.546E-07, 1.288E-18,-4.854E-08, 0.000E+00,-1.708E-07, 9.320E-06, 3.114E-08, 0.000E+00, 0.000E+00,-8.590E-01
-1.997E+01, 0.000E+00, 0.000E+00, 5.365E-07, 9.248E-06,-3.676E-07, 1.127E-18,-2.941E-08, 0.000E+00,-1.045E-07, 9.387E-06, 3.042E-08, 0.000E+00, 0.000E+00,-8.590E-01
-9.967E+00, 0.000E+00, 0.000E+00, 6.818E-07, 8.883E-06,-1.195E-07, 1.007E-18,-1.795E-08, 0.000E+00,-6.089E-08, 9.428E-06, 2.936E-08, 0.000E+00, 0.000E+00,-8.590E-01
 3.957E-02, 7.029E-04, 0.000E+00, 8.130E-07, 2.697E-05, 1.172E-07, 1.374E-05, 1.534E-04, 0.000E+00, 2.248E-05, 8.979E-04, 2.829E-08, 5.989E-08, 0.000E+00,-8.584E-01
 1.001E+01, 3.319E+01, 0.000E+00,-5.842E+00,-2.561E+01,-6.688E-01, 1.495E-01, 4.398E-01, 0.000E+00, 1.545E+00, 1.666E+00,-8.523E-02, 6.731E-04,-3.584E-06, 4.001E+01
 2.001E+01, 9.932E+01, 0.000E+00,-1.752E+01,-7.274E+01,-6.395E+00, 4.350E-01, 1.075E+00, 0.000E+00, 3.763E+00, 4.174E+00,-2.438E-01, 2.002E-03,-1.850E-04, 1.398E+02
 3.001E+01, 1.660E+02, 0.000E+00,-3.053E+01,-1.177E+02,-1.312E+01, 6.882E-01, 1.558E+00, 0.000E+00, 5.444E+00, 6.843E+00,-3.939E-01, 3.334E-03,-7.120E-04, 2.840E+02
 4.001E+01, 2.005E+02, 0.000E+00,-3.980E+01,-1.382E+02,-2.134E+01, 8.022E-01,-3.114E-01, 0.000E+00,-1.083E+00, 1.635E+00,-4.611E-01, 3.998E-03,-1.511E-03, 2.553E+02
 5.000E+01, 2.005E+02, 0.000E+00,-4.531E+01,-1.247E+02,-2.908E+01, 8.062E-01,-4.923E-01, 0.000E+00,-1.719E+00, 1.729E+00,-4.139E-01, 3.998E-03,-2.156E-03, 2.098E+02
 6.001E+01, 2.009E+02, 0.000E+00,-5.128E+01,-1.120E+02,-3.542E+01, 8.040E-01,-3.363E-01, 0.000E+00,-1.155E+00, 2.636E+00,-3.685E-01, 3.998E-03,-2.744E-03, 1.791E+02
 7.001E+01, 2.009E+02, 0.000E+00,-5.815E+01,-9.826E+01,-4.265E+01, 8.023E-01,-4.923E-01, 0.000E+00,-1.738E+00, 2.187E+00,-3.188E-01, 3.998E-03,-3.503E-03, 1.330E+02
 8.002E+01, 2.009E+02, 0.000E+00,-6.475E+01,-8.555E+01,-4.842E+01, 8.029E-01,-3.160E-01, 0.000E+00,-1.102E+00, 2.650E+00,-2.732E-01, 3.998E-03,-4.113E-03, 1.038E+02
 9.000E+01, 2.004E+02, 0.000E+00,-7.124E+01,-7.356E+01,-5.390E+01, 8.010E-01,-3.822E-01, 0.000E+00,-1.348E+00, 2.120E+00,-2.287E-01, 3.998E-03,-5.103E-03, 6.806E+01
 1.000E+02, 2.003E+02, 0.000E+00,-7.789E+01,-6.218E+01,-5.851E+01, 8.066E-01,-1.881E-01, 0.000E+00,-6.477E-01, 2.367E+00,-1.864E-01, 3.998E-03,-6.108E-03, 5.088E+01
 1.100E+02, 2.012E+02, 0.000E+00,-8.414E+01,-5.253E+01,-6.277E+01, 7.962E-01,-5.519E-02, 0.000E+00,-1.874E-01, 2.499E+00,-1.552E-01, 3.998E-03,-5.995E-03, 4.591E+01
 1.200E+02, 2.006E+02, 0.000E+00,-8.956E+01,-4.444E+01,-6.533E+01, 7.984E-01,-1.289E-01, 0.000E+00,-4.617E-01, 1.892E+00,-1.279E-01, 3.998E-03,-6.554E-03, 3.366E+01
 1.300E+02, 2.003E+02, 0.000E+00,-9.455E+01,-3.713E+01,-6.771E+01, 7.949E-01,-1.178E-01, 0.000E+00,-4.037E-01, 1.605E+00,-1.042E-01, 3.998E-03,-6.513E-03, 2.296E+01
 1.400E+02, 2.006E+02, 0.000E+00,-9.905E+01,-3.159E+01,-6.912E+01, 8.017E-01,-6.090E-02, 0.000E+00,-2.164E-01, 1.570E+00,-8.763E-02, 3.998E-03,-6.207E-03, 1.722E+01
 1.500E+02, 2.004E+02, 0.000E+00,-1.031E+02,-2.518E+01,-7.151E+01, 7.952E-01,-3.237E-02, 0.000E+00,-1.180E-01, 1.417E+00,-6.893E-02, 3.998E-03,-5.807E-03, 1.409E+01
 1.600E+02, 2.007E+02, 0.000E+00,-1.068E+02,-2.127E+01,-7.204E+01, 7.943E-01, 1.012E-02, 0.000E+00, 3.588E-02, 1.413E+00,-5.745E-02, 3.998E-03,-5.606E-03, 1.504E+01
 1.700E+02, 2.005E+02, 0.000E+00,-1.095E+02,-1.831E+01,-7.223E+01, 7.953E-01,-2.045E-02, 0.000E+00,-7.280E-02, 1.202E+00,-4.890E-02, 3.998E-03,-5.395E-03, 1.311E+01
 1.800E+02, 2.007E+02, 0.000E+00,-1.123E+02,-1.537E+01,-7.275E+01, 7.989E-01,-3.229E-02, 0.000E+00,-1.032E-01, 1.077E+00,-4.096E-02, 3.998E-03,-5.083E-03, 1.038E+01
 1.900E+02, 2.001E+02, 0.000E+00,-1.143E+02,-1.288E+01,-7.265E+01, 7.999E-01,-1.905E-03, 0.000E+00,-3.580E-02, 1.105E+00,-3.422E-02, 3.998E-03,-4.701E-03, 9.427E+00
 2.000E+02, 2.008E+02, 0.000E+00,-1.165E+02,-1.076E+01,-7.330E+01, 8.033E-01,-3.223E-02, 0.000E+00,-1.082E-01, 9.464E-01,-2.882E-02, 3.998E-03,-4.287E-03, 6.555E+00
 2.100E+02, 1.995E+02, 0.000E+00,-1.179E+02,-8.413E+00,-7.294E+01, 7.997E-01, 2.724E-02, 0.000E+00, 6.812E-02, 1.121E+00,-2.273E-02, 3.998E-03,-3.803E-03, 8.360E+00
 2.200E+02, 1.999E+02, 0.000E+00,-1.195E+02,-9.025E+00,-7.126E+01, 7.965E-01,-6.842E-02, 0.000E+00,-1.747E-01, 7.916E-01,-2.414E-02, 3.998E-03,-4.086E-03, 3.728E+00
 2.300E+02, 2.008E+02, 0.000E+00,-1.210E+02,-6.596E+00,-7.310E+01, 7.968E-01,-1.692E-02, 0.000E+00,-7.409E-02, 9.207E-01,-1.808E-02, 3.998E-03,-3.529E-03, 1.763E+00
 2.400E+02, 1.997E+02, 0.000E+00,-1.217E+02,-7.252E+00,-7.042E+01, 7.869E-01, 6.994E-02, 0.000E+00, 2.503E-01, 1.255E+00,-1.951E-02, 3.998E-03,-3.931E-03, 8.400E+00
 2.500E+02, 2.004E+02, 0.000E+00,-1.229E+02,-5.453E+00,-7.177E+01, 7.943E-01, 1.673E-02, 0.000E+00, 6.706E-02, 1.027E+00,-1.449E-02, 3.998E-03,-3.603E-03, 1.018E+01
 2.600E+02, 2.008E+02, 0.000E+00,-1.238E+02,-6.252E+00,-7.044E+01, 7.792E-01, 6.021E-02, 0.000E+00, 2.164E-01, 1.163E+00,-1.604E-02, 3.998E-03,-4.205E-03, 1.592E+01
 2.700E+02, 1.997E+02, 0.000E+00,-1.242E+02,-5.595E+00,-7.012E+01, 7.877E-01,-1.737E-01, 0.000E+00,-6.022E-01, 3.685E-01,-1.412E-02, 3.998E-03,-4.194E-03,-3.601E-02
 2.800E+02, 1.995E+02, 0.000E+00,-1.250E+02,-3.900E+00,-7.016E+01, 7.904E-01, 1.325E-01, 0.000E+00, 4.666E-01, 1.409E+00,-9.720E-03, 3.998E-03,-3.692E-03, 1.233E+01
 2.900E+02, 2.008E+02, 0.000E+00,-1.255E+02,-5.465E+00,-6.984E+01, 7.862E-01,-8.968E-02, 0.000E+00,-3.157E-01, 6.452E-01,-1.443E-02, 3.998E-03,-4.033E-03, 3.946E+00
 3.000E+02, 2.011E+02, 0.000E+00,-1.267E+02,-4.288E+00,-6.991E+01, 7.901E-01, 1.634E-02, 0.000E+00, 6.314E-02, 9.972E-01,-1.000E-02, 3.998E-03,-4.203E-03, 5.618E+00
 3.100E+02, 2.004E+02, 0.000E+00,-1.271E+02,-3.311E+00,-6.980E+01, 7.860E-01, 1.335E-02, 0.000E+00, 5.267E-02, 9.729E-01,-8.151E-03, 3.998E-03,-3.801E-03, 7.015E+00
 3.200E+02, 2.003E+02, 0.000E+00,-1.274E+02,-2.889E+00,-6.991E+01, 7.890E-01, 1.206E-02, 0.000E+00, 5.263E-02, 9.685E-01,-7.076E-03, 3.998E-03,-3.688E-03, 8.413E+00
 3.300E+02, 1.999E+02, 0.000E+00,-1.280E+02,-2.755E+00,-6.905E+01, 7.831E-01,-2.233E-02, 0.000E+00,-1.506E-01, 8.015E-01,-6.411E-03, 3.998E-03,-3.891E-03, 4.422E+00
 3.400E+02, 2.004E+02, 0.000E+00,-1.282E+02,-2.948E+00,-6.890E+01, 7.860E-01, 7.212E-02, 0.000E+00, 2.750E-01, 1.193E+00,-7.310E-03, 3.998E-03,-3.803E-03, 1.171E+01
 3.500E+02, 2.003E+02, 0.000E+00,-1.287E+02,-2.864E+00,-6.871E+01, 7.848E-01,-1.686E-02, 0.000E+00,-7.100E-02, 8.594E-01,-6.574E-03, 3.998E-03,-4.066E-03, 9.830E+00
 3.600E+02, 2.007E+02, 0.000E+00,-1.288E+02,-3.387E+00,-6.836E+01, 7.801E-01, 1.348E-02, 0.000E+00, 5.280E-02, 9.488E-01,-7.723E-03, 3.998E-03,-4.428E-03, 1.123E+01
 3.700E+02, 2.006E+02, 0.000E+00,-1.292E+02,-2.518E+00,-6.902E+01, 7.827E-01,-1.073E-01, 0.000E+00,-3.889E-01, 4.976E-01,-5.162E-03, 3.998E-03,-4.285E-03, 9.171E-01
 3.800E+02, 2.009E+02, 0.000E+00,-1.296E+02,-2.859E+00,-6.834E+01, 7.820E-01,-1.204E-02, 0.000E+00,-1.863E-02, 8.762E-01,-6.775E-03, 3.998E-03,-4.158E-03, 4.228E-01
 3.900E+02, 2.004E+02, 0.000E+00,-1.296E+02,-3.039E+00,-6.741E+01, 7.837E-01, 1.006E-01, 0.000E+00, 3.469E-01, 1.269E+00,-5.853E-03, 3.998E-03,-4.851E-03, 9.627E+00
 4.000E+02, 1.993E+02, 0.000E+00,-1.295E+02,-2.722E+00,-6.702E+01, 7.807E-01,-1.907E-02, 0.000E+00,-1.020E-01, 8.077E-01,-5.649E-03, 3.998E-03,-4.614E-03, 6.921E+00
 4.100E+02, 2.012E+02, 0.000E+00,-1.301E+02,-5.760E+00,-6.481E+01, 7.734E-01, 1.471E-01, 0.000E+00, 5.711E-01, 1.484E+00,-1.093E-02, 3.998E-03,-6.966E-03, 2.206E+01
 4.200E+02, 1.991E+02, 0.000E+00,-1.301E+02,-3.733E+00,-6.556E+01, 7.675E-01,-1.591E-01, 0.000E+00,-5.914E-01, 3.061E-01,-6.373E-03, 3.998E-03,-6.114E-03, 6.384E+00
 4.300E+02, 2.004E+02, 0.000E+00,-1.306E+02,-4.469E+00,-6.493E+01, 7.748E-01, 9.427E-02, 0.000E+00, 3.448E-01, 1.276E+00,-8.689E-03, 3.998E-03,-6.102E-03, 1.552E+01
 4.400E+02, 1.998E+02, 0.000E+00,-1.311E+02,-3.644E+00,-6.522E+01, 7.733E-01,-9.501E-02, 0.000E+00,-3.321E-01, 5.175E-01,-6.930E-03, 3.998E-03,-5.725E-03, 6.710E+00
 4.500E+02, 1.998E+02, 0.000E+00,-1.315E+02,-3.092E+00,-6.470E+01, 7.701E-01, 1.157E-01, 0.000E+00, 4.105E-01, 1.337E+00,-3.729E-03, 3.998E-03,-6.450E-03, 1.760E+01
 4.600E+02, 2.009E+02, 0.000E+00,-1.315E+02,-5.040E+00,-6.446E+01, 7.746E-01,-1.297E-01, 0.000E+00,-4.566E-01, 4.676E-01,-9.445E-03, 3.998E-03,-6.905E-03, 5.504E+00
 4.700E+02, 2.001E+02, 0.000E+00,-1.322E+02,-3.559E+00,-6.441E+01, 7.684E-01,-7.298E-02, 0.000E+00,-2.757E-01, 6.310E-01,-5.692E-03, 3.998E-03,-6.370E-03,-1.807E+00
 4.800E+02, 2.003E+02, 0.000E+00,-1.327E+02,-2.331E+00,-6.474E+01, 7.714E-01, 1.563E-01, 0.000E+00, 5.677E-01, 1.451E+00,-2.721E-03, 3.998E-03,-5.728E-03, 1.326E+01
 4.900E+02, 2.005E+02, 0.000E+00,-1.326E+02,-4.471E+00,-6.366E+01, 7.778E-01,-1.634E-01, 0.000E+00,-5.543E-01, 3.022E-01,-9.016E-03, 3.998E-03,-6.336E-03,-1.430E+00
 5.000E+02, 1.955E+02, 0.000E+00,-1.329E+02, 3.610E-01,-6.273E+01, 7.717E-01, 7.020E-02, 0.000E+00, 2.328E-01, 1.104E+00, 4.714E-03, 3.998E-03,-5.037E-03, 4.737E+00
 5.100E+02, 1.908E+02, 0.000E+00,-1.321E+02, 3.960E+00,-6.257E+01, 7.566E-01, 3.237E-02, 0.000E+00, 1.086E-01, 8.523E-01, 1.484E-02, 3.998E-03,-4.087E-03, 7.619E+00
 5.200E+02, 1.822E+02, 0.000E+00,-1.296E+02, 7.723E+00,-6.062E+01, 7.526E-01,-6.323E-02, 0.000E+00,-2.423E-01, 4.027E-01, 2.544E-02, 3.997E-03,-3.027E-03, 1.195E+00
 5.300E+02, 1.759E+02, 0.000E+00,-1.248E+02, 8.170E+00,-5.920E+01, 6.980E-01, 1.444E-03, 0.000E+00,-3.370E-02, 7.287E-01, 3.792E-02, 3.997E-03,-9.608E-03, 3.009E-01
 5.400E+02, 1.701E+02, 0.000E+00,-1.229E+02, 9.830E+00,-5.693E+01, 7.295E-01, 8.315E-02, 0.000E+00, 2.687E-01, 9.143E-01, 3.376E-02, 3.997E-03,-3.921E-03, 7.425E+00
 5.500E+02, 1.394E+02, 0.000E+00,-1.166E+02, 2.602E+01,-5.601E+01, 6.214E-01,-2.763E+00, 0.000E+00,-9.655E+00,-9.324E+00, 8.509E-02, 3.996E-03,-3.654E-03,-2.488E+02
 5.600E+02, 1.950E+02, 0.000E+00,-1.186E+02,-1.361E+01,-5.385E+01, 6.462E-01, 2.949E+00, 0.000E+00, 1.010E+01, 1.253E+01, 1.095E-02, 3.986E-03,-3.613E-02, 1.910E+01
 5.700E+02, 1.297E+02, 0.000E+00,-1.094E+02, 3.112E+01,-5.155E+01, 5.943E-01,-4.709E-02, 0.000E+00,-2.150E-01, 3.987E-01, 1.068E-01, 3.994E-03,-6.675E-03, 1.340E+01
 5.800E+02, 1.508E+02, 0.000E+00,-1.066E+02, 2.266E+00,-5.082E+01, 6.991E-01,-1.673E+00, 0.000E+00,-5.845E+00,-5.333E+00, 2.440E-02, 3.989E-03,-1.349E-02,-1.417E+02
 5.900E+02, 1.675E+02, 0.000E+00,-1.045E+02,-9.061E+00,-4.823E+01, 5.913E-01, 1.736E+00, 0.000E+00, 5.826E+00, 8.067E+00, 2.795E-02, 3.972E-03,-3.726E-02, 1.260E+01
 6.000E+02, 1.285E+02, 0.000E+00,-1.009E+02, 2.783E+01,-4.822E+01, 4.792E-01, 2.586E+00, 0.000E+00, 8.814E+00, 1.023E+01, 1.105E-01, 3.981E-03,-1.525E-02, 2.466E+02
 6.100E+02, 1.482E+02, 0.000E+00,-9.823E+01, 7.075E-02,-4.689E+01, 4.565E-01, 6.725E-01, 0.000E+00, 2.174E+00, 4.259E+00, 6.328E-02, 3.958E-03,-4.094E-02, 3.042E+02
 6.200E+02, 1.603E+02, 0.000E+00,-1.018E+02,-1.815E+01,-5.141E+01, 6.500E-01,-4.714E+00, 0.000E+00,-1.656E+01,-1.508E+01, 4.213E-03, 3.956E-03,-4.006E-02,-1.356E+02
 6.300E+02, 1.069E+02, 0.000E+00,-9.035E+01, 3.992E+01,-4.167E+01, 3.496E-01, 5.380E+00, 0.000E+00, 1.820E+01, 2.049E+01, 1.521E-01, 3.977E-03,-1.552E-02, 3.468E+02
 6.400E+02, 1.280E+02, 0.000E+00,-8.677E+01,-1.021E+01,-4.069E+01, 4.598E-01,-4.346E+00, 0.000E+00,-1.514E+01,-1.359E+01, 4.054E-02, 3.950E-03,-4.593E-02,-5.494E+01
 6.500E+02, 7.007E+01, 0.000E+00,-7.644E+01, 4.485E+01,-3.674E+01, 2.735E-01, 6.176E-01, 0.000E+00, 2.135E+00, 2.624E+00, 1.502E-01, 3.984E-03,-6.014E-03, 1.642E+00
 6.600E+02, 6.412E+01, 0.000E+00,-6.888E+01, 3.715E+01,-3.328E+01, 2.278E-01,-2.843E-01, 0.000E+00,-9.827E-01,-9.442E-01, 1.156E-01, 3.997E-03,-3.295E-04,-2.438E+01
 6.700E+02, 7.401E+01, 0.000E+00,-6.470E+01, 2.288E+01,-3.132E+01, 3.663E-01, 3.634E-01, 0.000E+00, 1.226E+00, 1.600E+00, 7.684E-02, 3.979E-03,-3.810E-03, 8.242E+00
 6.800E+02, 7.117E+01, 0.000E+00,-6.355E+01, 2.439E+01,-3.231E+01, 4.051E-01,-1.677E-02, 0.000E+00, 2.674E-02, 9.933E-02, 7.656E-02, 3.990E-03,-1.355E-03, 8.949E+00
 6.900E+02, 5.068E+01, 0.000E+00,-5.529E+01, 3.167E+01,-2.793E+01, 3.951E-01,-1.908E-01, 0.000E+00,-6.608E-01,-6.779E-01, 9.845E-02, 3.995E-03,-4.726E-04,-8.654E+00
 7.000E+02, 4.697E+01, 0.000E+00,-4.971E+01, 2.701E+01,-2.437E+01, 3.670E-01, 8.489E-02, 0.000E+00, 2.748E-01, 3.509E-01, 8.291E-02, 3.998E-03,-7.905E-06,-1.370E+00
 7.100E+02, 5.423E+01, 0.000E+00,-4.832E+01, 1.756E+01,-2.370E+01, 4.271E-01, 2.818E-02, 0.000E+00, 9.287E-02, 2.202E-01, 5.352E-02, 3.992E-03,-8.018E-04, 1.084E+00
 7.200E+02, 5.051E+01, 0.000E+00,-4.564E+01, 1.717E+01,-2.291E+01, 3.324E-01,-2.314E-01, 0.000E+00,-7.312E-01,-7.683E-01, 5.236E-02, 3.988E-03,-1.246E-03,-1.833E+01
 7.300E+02, 4.626E+01, 0.000E+00,-4.375E+01, 1.931E+01,-2.161E+01, 3.907E-01, 1.869E-01, 0.000E+00, 6.113E-01, 7.860E-01, 5.890E-02, 3.992E-03,-6.641E-04,-2.132E+00
 7.400E+02, 4.349E+01, 0.000E+00,-4.069E+01, 1.735E+01,-2.071E+01, 3.919E-01,-8.791E-02, 0.000E+00,-2.995E-01,-2.605E-01, 5.269E-02, 3.990E-03,-8.194E-04,-1.008E+01
 7.500E+02, 4.386E+01, 0.000E+00,-3.889E+01, 1.476E+01,-1.945E+01, 4.031E-01, 1.741E-01, 0.000E+00, 6.057E-01, 8.574E-01, 4.572E-02, 3.980E-03,-1.731E-03, 5.996E+00
 7.600E+02, 4.303E+01, 0.000E+00,-3.764E+01, 1.323E+01,-1.915E+01, 3.966E-01,-8.266E-02, 0.000E+00,-2.877E-01,-2.257E-01, 4.277E-02, 3.956E-03,-3.206E-03,-1.629E+00
 7.700E+02, 4.123E+01, 0.000E+00,-3.644E+01, 1.297E+01,-1.792E+01, 3.995E-01, 4.538E-02, 0.000E+00, 1.729E-01, 2.850E-01, 4.017E-02, 3.976E-03,-1.810E-03, 2.955E+00
 7.800E+02, 4.112E+01, 0.000E+00,-3.519E+01, 1.124E+01,-1.761E+01, 3.541E-01,-7.669E-02, 0.000E+00,-2.561E-01,-1.656E-01, 3.381E-02, 3.977E-03,-1.716E-03,-3.859E+00
 7.900E+02, 3.370E+01, 0.000E+00,-3.226E+01, 1.463E+01,-1.620E+01, 4.023E-01, 7.035E-02, 0.000E+00, 2.318E-01, 3.376E-01, 4.389E-02, 3.988E-03,-7.783E-04, 2.264E+00
 8.000E+02, 3.667E+01, 0.000E+00,-3.167E+01, 9.983E+00,-1.576E+01, 3.786E-01,-1.983E-01, 0.000E+00,-6.613E-01,-5.990E-01, 3.174E-02, 3.964E-03,-2.806E-03,-1.526E+01
