s,C,C,C,C,C,C,C,C,Pa,mol/mol,mol/mol,kW
Time,West_All_TCs,East_All_TCs,West_Bottom_TCs,West_Middle_TCs,West_Upper_TCs,East_Bottom_TCs,East_Middle_TCs,East_Upper_TCs,Pressure,O2,CO2,HRR
-6.000E+02, 3.500E+01, 3.500E+01, 3.500E+01, 3.500E+01, 3.500E+01, 3.500E+01, 3.500E+01, 3.500E+01,-9.279E-06, 2.095E-01, 3.901E-04, 0.000E+00
-5.400E+02, 3.415E+01, 3.504E+01, 3.116E+01, 3.171E+01, 3.958E+01, 3.262E+01, 3.261E+01, 3.990E+01,-1.755E+02, 2.095E-01, 3.901E-04, 0.000E+00
-4.800E+02, 3.392E+01, 3.459E+01, 3.269E+01, 3.305E+01, 3.600E+01, 3.323E+01, 3.370E+01, 3.683E+01,-1.745E+02, 2.095E-01, 3.901E-04, 0.000E+00
-4.200E+02, 3.417E+01, 3.457E+01, 3.356E+01, 3.380E+01, 3.515E+01, 3.427E+01, 3.397E+01, 3.546E+01,-1.732E+02, 2.095E-01, 3.901E-04, 0.000E+00
-3.600E+02, 3.435E+01, 3.477E+01, 3.406E+01, 3.403E+01, 3.496E+01, 3.453E+01, 3.447E+01, 3.532E+01,-1.730E+02, 2.095E-01, 3.901E-04, 0.000E+00
-3.000E+02, 3.456E+01, 3.475E+01, 3.442E+01, 3.453E+01, 3.474E+01, 3.474E+01, 3.456E+01, 3.494E+01,-1.732E+02, 2.095E-01, 3.901E-04, 0.000E+00
-2.400E+02, 3.468E+01, 3.487E+01, 3.446E+01, 3.451E+01, 3.508E+01, 3.474E+01, 3.461E+01, 3.526E+01,-1.734E+02, 2.095E-01, 3.901E-04, 0.000E+00
-1.800E+02, 3.486E+01, 3.489E+01, 3.475E+01, 3.477E+01, 3.505E+01, 3.486E+01, 3.475E+01, 3.504E+01,-1.735E+02, 2.095E-01, 3.901E-04, 0.000E+00
-1.200E+02, 3.477E+01, 3.500E+01, 3.462E+01, 3.457E+01, 3.512E+01, 3.485E+01, 3.478E+01, 3.538E+01,-1.737E+02, 2.095E-01, 3.901E-04, 0.000E+00
-5.996E+01, 3.487E+01, 3.499E+01, 3.475E+01, 3.481E+01, 3.505E+01, 3.491E+01, 3.486E+01, 3.520E+01,-1.738E+02, 2.095E-01, 3.901E-04, 0.000E+00
 4.009E-02, 3.490E+01, 3.502E+01, 3.470E+01, 3.498E+01, 3.501E+01, 3.495E+01, 3.501E+01, 3.508E+01,-1.739E+02, 2.095E-01, 3.901E-04, 2.840E-05
 6.000E+01, 9.486E+01, 9.683E+01, 8.328E+01, 1.546E+02, 4.671E+01, 8.700E+01, 1.541E+02, 4.936E+01,-7.482E+00, 2.089E-01, 7.620E-04, 1.871E+02
