s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 2.300E+02, 1.986E+02,-1.116E+02,-5.525E+00,-7.249E+01, 6.827E-01,-2.699E-01, 0.000E+00,-9.441E-01, 9.434E+00, 3.999E-03, 3.999E-03,-6.982E+01
 2.400E+02, 2.004E+02,-1.124E+02,-4.585E+00,-7.154E+01, 6.773E-01, 1.673E-01, 0.000E+00, 5.536E-01, 1.272E+01, 3.999E-03, 3.999E-03,-5.511E+01
 2.500E+02, 1.990E+02,-1.135E+02,-4.179E+00,-7.002E+01, 6.914E-01,-2.046E-01, 0.000E+00,-7.554E-01, 1.184E+01, 3.999E-03, 3.999E-03,-7.522E+01
 2.600E+02, 2.001E+02,-1.135E+02,-5.022E+00,-6.946E+01, 6.765E-01, 1.304E-01, 0.000E+00, 3.727E-01, 1.294E+01, 3.999E-03, 3.999E-03,-6.531E+01
 2.700E+02, 1.990E+02,-1.138E+02,-2.214E+00,-7.156E+01, 6.622E-01,-1.353E-01, 0.000E+00,-4.851E-01, 1.190E+01, 3.999E-03, 3.999E-03,-7.819E+01
 2.800E+02, 1.998E+02,-1.145E+02,-1.038E+00,-7.156E+01, 6.533E-01, 1.698E-01, 0.000E+00, 5.633E-01, 1.353E+01, 3.999E-03, 3.999E-03,-6.322E+01
 2.900E+02, 2.003E+02,-1.147E+02,-1.845E+00,-7.148E+01, 6.361E-01,-6.739E-02, 0.000E+00,-2.377E-01, 1.284E+01, 3.999E-03, 3.999E-03,-6.954E+01
 3.000E+02, 1.999E+02,-1.153E+02,-1.770E+00,-7.065E+01, 6.335E-01, 2.949E-01, 0.000E+00, 9.316E-01, 1.313E+01, 3.999E-03, 3.999E-03,-4.482E+01
 3.100E+02, 1.977E+02,-1.149E+02,-1.930E+00,-7.009E+01, 6.272E-01,-1.899E-01, 0.000E+00,-7.569E-01, 1.125E+01, 3.999E-03, 3.999E-03,-6.496E+01
 3.200E+02, 2.028E+02,-1.159E+02,-5.129E+00,-6.947E+01, 6.291E-01, 2.594E-01, 0.000E+00, 9.554E-01, 1.318E+01, 3.999E-03, 3.999E-03,-3.959E+01
 3.300E+02, 1.996E+02,-1.164E+02,-4.705E+00,-6.944E+01, 6.405E-01,-2.662E-01, 0.000E+00,-1.023E+00, 9.367E+00, 3.999E-03, 3.999E-03,-6.677E+01
 3.400E+02, 2.000E+02,-1.168E+02,-3.510E+00,-6.949E+01, 6.267E-01,-4.710E-02, 0.000E+00,-1.578E-01, 1.078E+01, 3.999E-03, 3.999E-03,-7.096E+01
 3.500E+02, 1.988E+02,-1.170E+02,-2.116E+00,-6.809E+01, 6.248E-01, 3.730E-01, 0.000E+00, 1.266E+00, 1.260E+01, 3.999E-03, 3.999E-03,-3.725E+01
 3.600E+02, 1.996E+02,-1.169E+02,-3.049E+00,-6.793E+01, 6.160E-01,-5.022E-01, 0.000E+00,-1.845E+00, 1.178E+01, 3.999E-03, 3.999E-03,-8.622E+01
 3.700E+02, 1.990E+02,-1.173E+02,-1.627E+00,-6.820E+01, 6.043E-01, 3.821E-01, 0.000E+00, 1.298E+00, 1.283E+01, 3.999E-03, 3.999E-03,-5.170E+01
 3.800E+02, 2.012E+02,-1.183E+02,-4.505E+00,-6.887E+01, 6.106E-01,-1.373E-01, 0.000E+00,-4.560E-01, 1.005E+01, 3.999E-03, 3.999E-03,-6.381E+01
 3.900E+02, 1.988E+02,-1.175E+02,-1.244E+00,-6.821E+01, 5.779E-01,-1.249E-01, 0.000E+00,-5.163E-01, 1.226E+01, 3.999E-03, 3.999E-03,-7.752E+01
 4.000E+02, 1.965E+02,-1.176E+02,-2.375E+00,-6.699E+01, 5.897E-01,-3.749E-01, 0.000E+00,-1.481E+00, 9.798E+00, 3.999E-03, 3.999E-03,-1.169E+02
 4.100E+02, 2.042E+02,-1.194E+02,-3.563E+00,-6.770E+01, 6.094E-01, 5.855E-01, 0.000E+00, 2.038E+00, 1.475E+01, 3.999E-03, 3.999E-03,-6.285E+01
 4.200E+02, 1.993E+02,-1.185E+02,-2.342E-01,-6.704E+01, 6.070E-01,-4.503E-02, 0.000E+00,-1.856E-01, 1.410E+01, 3.999E-03, 3.999E-03,-6.778E+01
