s,C,C,C,C,C,C,C,C,Pa,mol/mol,mol/mol,kW
Time,West_All_TCs,East_All_TCs,West_Bottom_TCs,West_Middle_TCs,West_Upper_TCs,East_Bottom_TCs,East_Middle_TCs,East_Upper_TCs,Pressure,O2,CO2,HRR
-6.000E+02, 3.400E+01, 3.400E+01, 3.400E+01, 3.400E+01, 3.400E+01, 3.400E+01, 3.400E+01, 3.400E+01,-9.314E-06, 2.095E-01, 3.901E-04, 0.000E+00
-5.400E+02, 3.220E+01, 3.393E+01, 3.020E+01, 3.072E+01, 3.568E+01, 3.192E+01, 3.175E+01, 3.812E+01,-4.546E+02, 2.095E-01, 3.901E-04, 0.000E+00
-4.800E+02, 3.276E+01, 3.354E+01, 3.207E+01, 3.210E+01, 3.411E+01, 3.297E+01, 3.256E+01, 3.509E+01,-4.540E+02, 2.095E-01, 3.901E-04, 0.000E+00
-4.200E+02, 3.333E+01, 3.365E+01, 3.300E+01, 3.321E+01, 3.378E+01, 3.343E+01, 3.332E+01, 3.418E+01,-4.527E+02, 2.095E-01, 3.901E-04, 0.000E+00
-3.600E+02, 3.344E+01, 3.386E+01, 3.327E+01, 3.302E+01, 3.404E+01, 3.365E+01, 3.353E+01, 3.440E+01,-4.536E+02, 2.095E-01, 3.901E-04, 0.000E+00
-3.000E+02, 3.368E+01, 3.391E+01, 3.350E+01, 3.345E+01, 3.409E+01, 3.382E+01, 3.366E+01, 3.425E+01,-4.545E+02, 2.095E-01, 3.901E-04, 0.000E+00
-2.400E+02, 3.369E+01, 3.397E+01, 3.359E+01, 3.359E+01, 3.388E+01, 3.386E+01, 3.375E+01, 3.431E+01,-4.550E+02, 2.095E-01, 3.901E-04, 0.000E+00
-1.800E+02, 3.378E+01, 3.398E+01, 3.366E+01, 3.340E+01, 3.427E+01, 3.390E+01, 3.394E+01, 3.409E+01,-4.553E+02, 2.095E-01, 3.901E-04, 0.000E+00
-1.200E+02, 3.375E+01, 3.399E+01, 3.370E+01, 3.352E+01, 3.404E+01, 3.389E+01, 3.377E+01, 3.432E+01,-4.555E+02, 2.095E-01, 3.901E-04, 0.000E+00
-5.998E+01, 3.388E+01, 3.398E+01, 3.380E+01, 3.368E+01, 3.416E+01, 3.396E+01, 3.393E+01, 3.405E+01,-4.555E+02, 2.095E-01, 3.901E-04, 0.000E+00
 1.244E-02, 3.380E+01, 3.406E+01, 3.369E+01, 3.349E+01, 3.421E+01, 3.394E+01, 3.389E+01, 3.436E+01,-4.556E+02, 2.095E-01, 3.901E-04, 1.187E-06
 6.001E+01, 5.463E+01, 5.578E+01, 4.751E+01, 7.443E+01, 4.196E+01, 5.602E+01, 7.471E+01, 3.661E+01,-2.711E+02, 2.094E-01, 4.550E-04, 7.476E+01
 1.200E+02, 7.144E+01, 7.389E+01, 6.579E+01, 9.428E+01, 5.424E+01, 7.362E+01, 9.592E+01, 5.213E+01,-3.259E+02, 2.072E-01, 1.719E-03, 1.000E+02
 1.800E+02, 7.728E+01, 7.935E+01, 7.166E+01, 9.964E+01, 6.053E+01, 7.764E+01, 1.025E+02, 5.796E+01,-3.974E+02, 2.046E-01, 3.127E-03, 1.000E+02
 2.400E+02, 7.945E+01, 8.238E+01, 7.373E+01, 1.010E+02, 6.364E+01, 8.103E+01, 1.051E+02, 6.106E+01,-4.158E+02, 2.026E-01, 4.262E-03, 1.001E+02
 3.000E+02, 8.072E+01, 8.420E+01, 7.536E+01, 1.024E+02, 6.445E+01, 8.375E+01, 1.076E+02, 6.126E+01,-4.208E+02, 2.010E-01, 5.138E-03, 1.001E+02
 3.600E+02, 8.297E+01, 8.443E+01, 7.701E+01, 1.064E+02, 6.554E+01, 8.440E+01, 1.061E+02, 6.283E+01,-4.170E+02, 2.000E-01, 5.703E-03, 1.001E+02
 4.200E+02, 8.403E+01, 8.644E+01, 7.776E+01, 1.080E+02, 6.636E+01, 8.570E+01, 1.092E+02, 6.439E+01,-4.107E+02, 1.993E-01, 6.137E-03, 1.001E+02
 4.800E+02, 8.526E+01, 8.668E+01, 7.822E+01, 1.079E+02, 6.962E+01, 8.517E+01, 1.100E+02, 6.491E+01,-4.089E+02, 1.987E-01, 6.468E-03, 1.001E+02
 5.400E+02, 8.445E+01, 8.744E+01, 7.843E+01, 1.074E+02, 6.755E+01, 8.633E+01, 1.107E+02, 6.525E+01,-4.050E+02, 1.984E-01, 6.644E-03, 1.001E+02
 6.000E+02, 8.671E+01, 8.907E+01, 8.017E+01, 1.112E+02, 6.880E+01, 9.006E+01, 1.111E+02, 6.603E+01,-4.035E+02, 1.981E-01, 6.777E-03, 1.001E+02
 6.600E+02, 8.812E+01, 9.004E+01, 8.123E+01, 1.121E+02, 7.104E+01, 8.861E+01, 1.131E+02, 6.843E+01,-4.032E+02, 1.979E-01, 6.890E-03, 1.001E+02
