s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
-6.000E+01, 0.000E+00, 0.000E+00,-4.674E-04, 2.511E-09, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.674E-04, 0.000E+00, 0.000E+00, 0.000E+00
-4.999E+01, 0.000E+00, 0.000E+00,-4.110E-07,-1.234E-06,-2.795E-07, 1.207E-18, 0.000E+00, 0.000E+00, 0.000E+00,-1.925E-06,-1.871E-04, 0.000E+00, 0.000E+00
-3.999E+01, 0.000E+00, 0.000E+00,-5.518E-08,-5.020E-06,-6.773E-07, 7.408E-19, 0.000E+00, 0.000E+00, 0.000E+00,-5.752E-06,-5.322E-04, 0.000E+00, 0.000E+00
-2.998E+01, 0.000E+00, 0.000E+00,-1.674E-07,-8.058E-06,-7.961E-07, 1.048E-18, 0.000E+00, 0.000E+00, 0.000E+00,-9.022E-06,-7.776E-04, 0.000E+00, 0.000E+00
-1.997E+01, 0.000E+00, 0.000E+00,-3.273E-07,-9.770E-06,-8.083E-07, 6.264E-19, 0.000E+00, 0.000E+00, 0.000E+00,-1.091E-05,-9.263E-04, 0.000E+00, 0.000E+00
-9.967E+00, 0.000E+00, 0.000E+00,-5.106E-07,-1.044E-05,-5.784E-07, 5.102E-19, 0.000E+00, 0.000E+00, 0.000E+00,-1.153E-05,-1.007E-03, 0.000E+00, 0.000E+00
 3.957E-02, 1.728E-03, 0.000E+00,-7.069E-07,-1.770E-03,-5.484E-07, 3.264E-05, 0.000E+00, 0.000E+00, 0.000E+00,-1.145E-05,-1.048E-03, 1.497E-07, 0.000E+00
 1.002E+01, 8.248E+01, 0.000E+00,-1.420E+01,-6.610E+01,-2.530E+00, 3.541E-01, 0.000E+00, 0.000E+00, 0.000E+00, 9.298E-03,-5.857E-04, 1.681E-03,-7.540E-31
 2.000E+01, 2.478E+02, 0.000E+00,-4.195E+01,-1.901E+02,-1.671E+01, 9.910E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.650E-02, 6.674E-04, 5.003E-03,-8.377E-16
 3.000E+01, 4.152E+02, 0.000E+00,-7.758E+01,-3.034E+02,-3.569E+01, 1.506E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.084E-02,-6.390E-03, 8.332E-03,-1.163E-05
 4.000E+01, 4.980E+02, 0.000E+00,-1.104E+02,-3.299E+02,-5.938E+01, 1.715E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.891E-02,-3.448E-03, 9.995E-03,-2.457E-05
 5.000E+01, 5.005E+02, 0.000E+00,-1.400E+02,-2.826E+02,-7.961E+01, 1.708E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.864E-02, 5.102E-03, 9.995E-03,-2.150E-07
 6.000E+01, 5.023E+02, 0.000E+00,-1.690E+02,-2.440E+02,-9.121E+01, 1.707E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.887E-01, 1.351E-02, 9.995E-03, 0.000E+00
 7.001E+01, 4.983E+02, 0.000E+00,-1.932E+02,-2.086E+02,-9.857E+01, 1.695E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.755E-01, 1.780E-02, 9.995E-03, 0.000E+00
 8.001E+01, 4.983E+02, 0.000E+00,-2.095E+02,-1.914E+02,-9.960E+01, 1.690E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.824E-01, 1.885E-02, 9.995E-03, 0.000E+00
 9.001E+01, 5.011E+02, 0.000E+00,-2.177E+02,-1.843E+02,-1.012E+02, 1.662E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.722E-01, 1.840E-02, 9.995E-03, 0.000E+00
 1.000E+02, 4.994E+02, 0.000E+00,-2.233E+02,-1.765E+02,-1.019E+02, 1.665E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.974E-01, 1.685E-02, 9.995E-03, 0.000E+00
 1.100E+02, 5.000E+02, 0.000E+00,-2.269E+02,-1.756E+02,-9.974E+01, 1.647E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.246E-01, 1.706E-02, 9.995E-03, 0.000E+00
 1.200E+02, 5.006E+02, 0.000E+00,-2.288E+02,-1.752E+02,-9.885E+01, 1.667E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.527E-01, 1.890E-02, 9.995E-03, 0.000E+00
 1.300E+02, 4.999E+02, 0.000E+00,-2.303E+02,-1.728E+02,-9.893E+01, 1.640E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.405E-01, 1.997E-02, 9.995E-03, 0.000E+00
 1.400E+02, 4.987E+02, 0.000E+00,-2.314E+02,-1.733E+02,-9.614E+01, 1.679E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.393E-01, 1.937E-02, 9.995E-03, 0.000E+00
 1.500E+02, 4.999E+02, 0.000E+00,-2.313E+02,-1.741E+02,-9.676E+01, 1.637E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.680E-01, 1.896E-02, 9.995E-03, 0.000E+00
 1.600E+02, 5.002E+02, 0.000E+00,-2.326E+02,-1.757E+02,-9.432E+01, 1.674E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.992E-01, 2.044E-02, 9.995E-03, 0.000E+00
 1.700E+02, 4.994E+02, 0.000E+00,-2.334E+02,-1.733E+02,-9.494E+01, 1.663E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.419E-01, 1.910E-02, 9.995E-03, 0.000E+00
 1.800E+02, 5.004E+02, 0.000E+00,-2.336E+02,-1.766E+02,-9.251E+01, 1.640E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.124E-01, 1.757E-02, 9.995E-03, 0.000E+00
 1.900E+02, 4.995E+02, 0.000E+00,-2.333E+02,-1.766E+02,-9.203E+01, 1.636E+00, 0.000E+00, 0.000E+00, 0.000E+00,-8.456E-01, 1.844E-02, 9.995E-03, 0.000E+00
 2.000E+02, 5.003E+02, 0.000E+00,-2.330E+02,-1.778E+02,-9.186E+01, 1.663E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.734E-01, 1.929E-02, 9.995E-03, 0.000E+00
 2.100E+02, 5.000E+02, 0.000E+00,-2.330E+02,-1.785E+02,-9.080E+01, 1.627E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.033E-01, 1.902E-02, 9.995E-03, 0.000E+00
 2.200E+02, 4.987E+02, 0.000E+00,-2.347E+02,-1.767E+02,-8.956E+01, 1.653E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.169E-01, 1.954E-02, 9.995E-03, 0.000E+00
 2.300E+02, 5.010E+02, 0.000E+00,-2.337E+02,-1.816E+02,-8.803E+01, 1.635E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.756E-01, 2.013E-02, 9.995E-03, 0.000E+00
 2.400E+02, 4.990E+02, 0.000E+00,-2.340E+02,-1.785E+02,-8.862E+01, 1.627E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.451E-01, 2.021E-02, 9.995E-03, 0.000E+00
 2.500E+02, 5.019E+02, 0.000E+00,-2.361E+02,-1.787E+02,-8.937E+01, 1.663E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.599E-01, 2.033E-02, 9.995E-03, 0.000E+00
 2.600E+02, 4.980E+02, 0.000E+00,-2.347E+02,-1.793E+02,-8.632E+01, 1.632E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.364E-01, 2.195E-02, 9.995E-03, 0.000E+00
 2.700E+02, 5.009E+02, 0.000E+00,-2.361E+02,-1.795E+02,-8.775E+01, 1.634E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.741E-01, 1.566E-02, 9.995E-03, 0.000E+00
 2.800E+02, 5.000E+02, 0.000E+00,-2.362E+02,-1.811E+02,-8.504E+01, 1.635E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.847E-01, 1.996E-02, 9.995E-03, 0.000E+00
 2.900E+02, 4.990E+02, 0.000E+00,-2.344E+02,-1.820E+02,-8.490E+01, 1.667E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.625E-01, 1.913E-02, 9.995E-03, 0.000E+00
 3.000E+02, 5.006E+02, 0.000E+00,-2.353E+02,-1.818E+02,-8.599E+01, 1.655E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.862E-01, 1.735E-02, 9.995E-03, 0.000E+00
 3.100E+02, 4.989E+02, 0.000E+00,-2.359E+02,-1.808E+02,-8.463E+01, 1.646E+00, 0.000E+00, 0.000E+00, 0.000E+00,-8.052E-01, 2.007E-02, 9.995E-03, 0.000E+00
 3.200E+02, 4.997E+02, 0.000E+00,-2.364E+02,-1.814E+02,-8.425E+01, 1.639E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.079E-01, 1.993E-02, 9.995E-03, 0.000E+00
 3.300E+02, 5.008E+02, 0.000E+00,-2.360E+02,-1.860E+02,-8.117E+01, 1.655E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.391E-01, 1.872E-02, 9.995E-03, 0.000E+00
 3.400E+02, 4.977E+02, 0.000E+00,-2.338E+02,-1.867E+02,-7.963E+01, 1.635E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.427E-01, 1.977E-02, 9.995E-03, 0.000E+00
