s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 2.300E+02, 1.000E+02,-3.405E+01,-3.937E+01,-2.722E+01, 4.352E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.733E-01, 0.000E+00, 2.000E-03, 0.000E+00
 2.400E+02, 1.001E+02,-3.397E+01,-4.039E+01,-2.627E+01, 4.408E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.275E-01, 0.000E+00, 2.000E-03, 0.000E+00
 2.500E+02, 9.993E+01,-3.410E+01,-3.984E+01,-2.662E+01, 4.407E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.770E-01, 0.000E+00, 2.000E-03, 0.000E+00
 2.600E+02, 1.001E+02,-3.397E+01,-4.090E+01,-2.588E+01, 4.399E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.237E-01, 0.000E+00, 2.000E-03, 0.000E+00
 2.700E+02, 1.004E+02,-3.430E+01,-3.985E+01,-2.685E+01, 4.394E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.534E-01, 0.000E+00, 2.000E-03, 0.000E+00
 2.800E+02, 1.001E+02,-3.428E+01,-3.936E+01,-2.709E+01, 4.439E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.997E-01, 0.000E+00, 2.000E-03, 0.000E+00
 2.900E+02, 1.002E+02,-3.441E+01,-3.973E+01,-2.667E+01, 4.433E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.360E-01, 0.000E+00, 2.000E-03, 0.000E+00
 3.000E+02, 1.002E+02,-3.416E+01,-4.131E+01,-2.530E+01, 4.424E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.443E-01, 0.000E+00, 2.000E-03, 0.000E+00
 3.100E+02, 9.990E+01,-3.417E+01,-4.057E+01,-2.583E+01, 4.385E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.361E-01, 0.000E+00, 2.000E-03, 0.000E+00
 3.200E+02, 1.003E+02,-3.420E+01,-4.081E+01,-2.591E+01, 4.384E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.784E-01, 0.000E+00, 2.000E-03, 0.000E+00
 3.300E+02, 1.001E+02,-3.419E+01,-3.983E+01,-2.662E+01, 4.377E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.346E-01, 0.000E+00, 2.000E-03, 0.000E+00
 3.400E+02, 1.002E+02,-3.424E+01,-4.068E+01,-2.585E+01, 4.382E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.427E-01, 0.000E+00, 2.000E-03, 0.000E+00
 3.500E+02, 1.000E+02,-3.404E+01,-4.101E+01,-2.560E+01, 4.447E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.875E-01, 0.000E+00, 2.000E-03, 0.000E+00
 3.600E+02, 9.999E+01,-3.404E+01,-4.087E+01,-2.566E+01, 4.391E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.498E-01, 0.000E+00, 2.000E-03, 0.000E+00
 3.700E+02, 1.002E+02,-3.405E+01,-4.085E+01,-2.589E+01, 4.333E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.888E-01, 0.000E+00, 2.000E-03, 0.000E+00
 3.800E+02, 1.001E+02,-3.386E+01,-4.157E+01,-2.524E+01, 4.384E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.798E-01, 0.000E+00, 2.000E-03, 0.000E+00
 3.900E+02, 1.001E+02,-3.382E+01,-4.188E+01,-2.501E+01, 4.364E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.858E-01, 0.000E+00, 2.000E-03, 0.000E+00
 4.000E+02, 9.986E+01,-3.361E+01,-4.274E+01,-2.414E+01, 4.408E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.871E-01, 0.000E+00, 2.000E-03, 0.000E+00
 4.100E+02, 1.003E+02,-3.389E+01,-4.178E+01,-2.530E+01, 4.388E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.954E-01, 0.000E+00, 2.000E-03, 0.000E+00
 4.200E+02, 1.000E+02,-3.382E+01,-4.150E+01,-2.538E+01, 4.411E-01, 0.000E+00, 0.000E+00, 0.000E+00,-2.157E-01, 0.000E+00, 2.000E-03, 0.000E+00
 4.300E+02, 1.001E+02,-3.382E+01,-4.160E+01,-2.534E+01, 4.405E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.618E-01, 0.000E+00, 2.000E-03, 0.000E+00
