s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 2.100E+02, 1.008E+02,-4.702E+01,-1.074E+01,-4.286E+01, 4.215E-01, 5.673E-03, 0.000E+00, 2.619E-02, 5.742E-01,-3.281E-02, 1.999E-03,-1.936E-03, 4.876E+00
 2.200E+02, 1.006E+02,-4.788E+01,-9.487E+00,-4.312E+01, 4.226E-01, 8.935E-03, 0.000E+00, 1.877E-02, 5.596E-01,-2.916E-02, 1.999E-03,-1.831E-03, 5.375E+00
 2.300E+02, 1.004E+02,-4.854E+01,-8.118E+00,-4.368E+01, 4.236E-01,-1.614E-02, 0.000E+00,-5.174E-02, 4.606E-01,-2.521E-02, 1.999E-03,-1.700E-03, 4.004E+00
 2.400E+02, 1.008E+02,-4.940E+01,-7.663E+00,-4.370E+01, 4.234E-01,-3.110E-03, 0.000E+00,-1.103E-02, 5.004E-01,-2.355E-02, 1.999E-03,-1.731E-03, 3.712E+00
 2.500E+02, 1.007E+02,-5.006E+01,-6.740E+00,-4.378E+01, 4.230E-01, 1.094E-02, 0.000E+00, 4.228E-02, 5.453E-01,-2.076E-02, 1.999E-03,-1.637E-03, 4.832E+00
 2.600E+02, 1.005E+02,-5.059E+01,-5.528E+00,-4.430E+01, 4.236E-01,-8.604E-03, 0.000E+00,-3.897E-02, 4.671E-01,-1.740E-02, 1.999E-03,-1.456E-03, 3.797E+00
 2.700E+02, 1.007E+02,-5.118E+01,-5.088E+00,-4.439E+01, 4.234E-01,-2.985E-02, 0.000E+00,-9.738E-02, 3.954E-01,-1.607E-02, 1.999E-03,-1.442E-03, 1.214E+00
 2.800E+02, 1.005E+02,-5.164E+01,-4.493E+00,-4.416E+01, 4.226E-01, 6.771E-02, 0.000E+00, 2.243E-01, 7.317E-01,-1.427E-02, 1.999E-03,-1.366E-03, 7.149E+00
 2.900E+02, 1.009E+02,-5.214E+01,-4.660E+00,-4.409E+01, 4.207E-01,-1.568E-02, 0.000E+00,-5.799E-02, 4.362E-01,-1.478E-02, 1.999E-03,-1.447E-03, 5.610E+00
 3.000E+02, 1.008E+02,-5.254E+01,-4.036E+00,-4.414E+01, 4.215E-01,-1.204E-02, 0.000E+00,-3.335E-02, 4.524E-01,-1.292E-02, 1.999E-03,-1.359E-03, 4.726E+00
 3.100E+02, 1.010E+02,-5.292E+01,-4.002E+00,-4.399E+01, 4.214E-01, 1.804E-02, 0.000E+00, 6.868E-02, 5.443E-01,-1.257E-02, 1.999E-03,-1.462E-03, 6.549E+00
 3.200E+02, 1.005E+02,-5.320E+01,-3.336E+00,-4.403E+01, 4.234E-01,-4.015E-02, 0.000E+00,-1.376E-01, 3.441E-01,-1.095E-02, 1.999E-03,-1.276E-03, 2.902E+00
 3.300E+02, 1.006E+02,-5.362E+01,-2.599E+00,-4.425E+01, 4.208E-01, 3.226E-02, 0.000E+00, 1.150E-01, 5.999E-01,-8.673E-03, 1.999E-03,-1.193E-03, 5.951E+00
 3.400E+02, 1.006E+02,-5.388E+01,-2.464E+00,-4.419E+01, 4.234E-01,-1.659E-02, 0.000E+00,-6.613E-02, 4.293E-01,-8.243E-03, 1.999E-03,-1.212E-03, 4.197E+00
 3.500E+02, 1.004E+02,-5.393E+01,-2.762E+00,-4.373E+01, 4.219E-01,-5.507E-02, 0.000E+00,-1.924E-01, 3.036E-01,-9.193E-03, 1.999E-03,-1.259E-03,-9.041E-01
 3.600E+02, 1.007E+02,-5.429E+01,-2.931E+00,-4.321E+01, 4.231E-01, 6.508E-02, 0.000E+00, 2.336E-01, 7.134E-01,-9.571E-03, 1.999E-03,-1.347E-03, 5.292E+00
 3.700E+02, 1.009E+02,-5.462E+01,-2.628E+00,-4.347E+01, 4.229E-01, 3.750E-02, 0.000E+00, 1.379E-01, 6.321E-01,-8.581E-03, 1.999E-03,-1.331E-03, 8.944E+00
 3.800E+02, 1.009E+02,-5.483E+01,-3.015E+00,-4.318E+01, 4.227E-01,-6.833E-02, 0.000E+00,-2.499E-01, 2.265E-01,-9.421E-03, 1.999E-03,-1.593E-03, 2.313E+00
 3.900E+02, 1.008E+02,-5.507E+01,-1.877E+00,-4.374E+01, 4.224E-01, 1.540E-02, 0.000E+00, 6.401E-02, 5.506E-01,-6.238E-03, 1.999E-03,-1.290E-03, 4.008E+00
 4.000E+02, 1.006E+02,-5.515E+01,-2.335E+00,-4.305E+01, 4.227E-01, 1.424E-02, 0.000E+00, 5.153E-02, 5.340E-01,-7.461E-03, 1.999E-03,-1.446E-03, 5.377E+00
 4.100E+02, 1.004E+02,-5.528E+01,-2.403E+00,-4.272E+01, 4.222E-01,-8.482E-03, 0.000E+00,-3.506E-02, 4.483E-01,-7.659E-03, 1.999E-03,-1.497E-03, 4.448E+00
 4.200E+02, 1.008E+02,-5.563E+01,-2.435E+00,-4.276E+01, 4.228E-01,-2.240E-02, 0.000E+00,-7.492E-02, 3.978E-01,-7.621E-03, 1.999E-03,-1.544E-03, 2.460E+00
 4.300E+02, 1.008E+02,-5.580E+01,-1.278E+00,-4.349E+01, 4.233E-01, 4.467E-02, 0.000E+00, 1.595E-01, 6.474E-01,-4.235E-03, 1.999E-03,-1.341E-03, 6.684E+00
 4.400E+02, 1.005E+02,-5.573E+01,-2.408E+00,-4.231E+01, 4.256E-01,-1.392E-02, 0.000E+00,-4.646E-02, 4.286E-01,-7.336E-03, 1.999E-03,-1.663E-03, 5.452E+00
 4.500E+02, 1.005E+02,-5.599E+01,-2.322E+00,-4.215E+01, 4.251E-01,-1.960E-02, 0.000E+00,-7.274E-02, 4.154E-01,-7.073E-03, 1.999E-03,-1.669E-03, 3.523E+00
 4.600E+02, 1.004E+02,-5.616E+01,-1.890E+00,-4.217E+01, 4.241E-01, 4.355E-02, 0.000E+00, 1.415E-01, 6.311E-01,-5.638E-03, 1.999E-03,-1.665E-03, 7.277E+00
 4.700E+02, 1.006E+02,-5.639E+01,-1.881E+00,-4.248E+01, 4.276E-01,-6.696E-02, 0.000E+00,-2.094E-01, 2.331E-01,-5.285E-03, 1.999E-03,-1.828E-03, 1.730E+00
 4.800E+02, 1.000E+02,-5.626E+01,-1.664E+00,-4.192E+01, 4.230E-01, 4.620E-02, 0.000E+00, 1.381E-01, 6.309E-01,-4.743E-03, 1.999E-03,-1.770E-03, 5.401E+00
 4.900E+02, 1.011E+02,-5.659E+01,-2.361E+00,-4.224E+01, 4.227E-01,-4.780E-02, 0.000E+00,-1.575E-01, 3.047E-01,-6.678E-03, 1.999E-03,-1.975E-03, 1.227E+00
 5.000E+02, 1.003E+02,-5.656E+01,-2.038E+00,-4.156E+01, 4.269E-01, 3.892E-02, 0.000E+00, 1.411E-01, 6.094E-01,-5.742E-03, 1.999E-03,-1.901E-03, 4.963E+00
 5.100E+02, 1.007E+02,-5.681E+01,-1.573E+00,-4.238E+01, 4.182E-01,-2.751E-02, 0.000E+00,-8.555E-02, 3.753E-01,-4.562E-03, 1.999E-03,-1.756E-03, 2.693E+00
 5.200E+02, 1.003E+02,-5.684E+01,-4.766E-01,-4.280E+01, 4.185E-01, 6.513E-02, 0.000E+00, 2.198E-01, 7.003E-01,-1.163E-03, 1.999E-03,-1.630E-03, 8.528E+00
 5.300E+02, 1.010E+02,-5.693E+01,-1.627E+00,-4.240E+01, 4.195E-01,-1.470E-02, 0.000E+00,-3.838E-02, 4.125E-01,-4.813E-03, 1.999E-03,-1.747E-03, 7.512E+00
 5.400E+02, 1.006E+02,-5.699E+01,-1.073E+00,-4.258E+01, 4.207E-01,-5.967E-02, 0.000E+00,-2.206E-01, 2.671E-01,-3.099E-03, 1.999E-03,-1.721E-03, 1.658E+00
 5.500E+02, 1.012E+02,-5.729E+01,-1.533E+00,-4.204E+01, 4.227E-01, 9.161E-02, 0.000E+00, 3.475E-01, 7.962E-01,-4.217E-03, 1.999E-03,-1.863E-03, 1.089E+01
 5.600E+02, 1.005E+02,-5.730E+01,-9.076E-01,-4.231E+01, 4.197E-01,-3.170E-02, 0.000E+00,-1.300E-01, 3.535E-01,-2.282E-03, 1.999E-03,-1.874E-03, 7.439E+00
 5.700E+02, 1.008E+02,-5.739E+01,-1.533E+00,-4.182E+01, 4.187E-01, 2.107E-03, 0.000E+00, 8.512E-03, 4.746E-01,-4.343E-03, 1.999E-03,-1.906E-03, 7.664E+00
 5.800E+02, 1.004E+02,-5.735E+01,-1.542E+00,-4.149E+01, 4.190E-01,-2.147E-02, 0.000E+00,-8.280E-02, 4.012E-01,-4.554E-03, 1.999E-03,-1.842E-03, 5.467E+00
 5.900E+02, 1.010E+02,-5.760E+01,-2.274E+00,-4.112E+01, 4.201E-01,-7.005E-03, 0.000E+00,-1.805E-02, 4.484E-01,-6.336E-03, 1.999E-03,-2.194E-03, 4.989E+00
 6.000E+02, 1.006E+02,-5.771E+01,-1.339E+00,-4.146E+01, 4.188E-01,-6.378E-03, 0.000E+00,-2.228E-02, 4.571E-01,-3.819E-03, 1.999E-03,-1.890E-03, 4.398E+00
 6.100E+02, 1.009E+02,-5.792E+01,-1.219E+00,-4.176E+01, 4.178E-01,-2.355E-02, 0.000E+00,-8.004E-02, 4.006E-01,-3.332E-03, 1.999E-03,-1.949E-03, 2.275E+00
 6.200E+02, 1.010E+02,-5.788E+01,-2.007E+00,-4.099E+01, 4.174E-01, 1.234E-02, 0.000E+00, 4.096E-02, 5.131E-01,-5.660E-03, 1.999E-03,-2.134E-03, 3.360E+00
 6.300E+02, 1.003E+02,-5.784E+01,-1.470E+00,-4.088E+01, 4.193E-01, 9.576E-03, 0.000E+00, 3.865E-02, 5.009E-01,-4.167E-03, 1.999E-03,-1.977E-03, 4.385E+00
 6.400E+02, 1.009E+02,-5.812E+01,-2.330E+00,-4.037E+01, 4.211E-01, 1.896E-02, 0.000E+00, 7.920E-02, 5.574E-01,-6.061E-03, 1.999E-03,-2.483E-03, 6.488E+00
 6.500E+02, 9.999E+01,-5.812E+01,-1.581E+00,-4.032E+01, 4.237E-01,-1.876E-02, 0.000E+00,-7.031E-02, 3.771E-01,-3.956E-03, 1.999E-03,-2.317E-03, 4.625E+00
 6.600E+02, 1.008E+02,-5.835E+01,-2.114E+00,-4.030E+01, 4.222E-01, 9.948E-03, 0.000E+00, 3.100E-02, 5.137E-01,-5.081E-03, 1.999E-03,-2.656E-03, 5.447E+00
 6.700E+02, 1.008E+02,-5.841E+01,-3.163E+00,-3.930E+01, 4.230E-01,-5.777E-02, 0.000E+00,-1.845E-01, 2.698E-01,-8.090E-03, 1.999E-03,-2.979E-03, 5.589E-01
 6.800E+02, 1.006E+02,-5.869E+01,-1.156E+00,-4.049E+01, 4.203E-01, 7.040E-02, 0.000E+00, 2.360E-01, 7.128E-01,-2.405E-03, 1.999E-03,-2.360E-03, 6.818E+00
 6.900E+02, 1.008E+02,-5.862E+01,-2.615E+00,-3.960E+01, 4.239E-01,-3.568E-02, 0.000E+00,-1.343E-01, 3.340E-01,-6.360E-03, 1.999E-03,-2.950E-03, 3.254E+00
 7.000E+02, 1.008E+02,-5.880E+01,-1.943E+00,-3.990E+01, 4.185E-01, 3.832E-02, 0.000E+00, 1.502E-01, 5.965E-01,-4.231E-03, 1.999E-03,-2.862E-03, 7.240E+00
 7.100E+02, 1.006E+02,-5.862E+01,-1.787E+00,-4.023E+01, 4.170E-01,-3.300E-02, 0.000E+00,-1.360E-01, 3.615E-01,-4.823E-03, 1.999E-03,-2.291E-03, 3.638E+00
