s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
-6.000E+02, 0.000E+00, 0.000E+00,-6.186E-04,-5.005E-07, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-6.191E-04, 0.000E+00, 0.000E+00, 0.000E+00,-8.496E-01
-5.399E+02, 0.000E+00, 0.000E+00,-3.746E-03,-2.486E-02,-2.215E-01, 3.470E-15,-1.010E-01, 0.000E+00,-2.841E-01,-3.511E-01, 1.146E-03, 0.000E+00, 0.000E+00,-4.620E+01
-4.800E+02, 0.000E+00, 0.000E+00, 5.498E-02, 1.158E-02,-6.039E-02, 2.270E-15, 7.824E-04, 0.000E+00, 2.758E-03, 6.954E-03, 7.657E-04, 0.000E+00, 0.000E+00,-4.576E+01
-4.200E+02, 0.000E+00, 0.000E+00, 7.779E-02,-9.583E-02, 2.427E-02, 1.841E-15, 6.143E-04, 0.000E+00, 2.141E-03, 6.852E-03, 1.389E-04, 0.000E+00, 0.000E+00,-4.542E+01
-3.600E+02, 0.000E+00, 0.000E+00, 8.116E-02,-1.322E-01, 5.590E-02, 1.786E-15, 2.019E-05, 0.000E+00, 7.088E-05, 4.898E-03,-1.411E-04, 0.000E+00, 0.000E+00,-4.541E+01
-2.999E+02, 0.000E+00, 0.000E+00, 7.548E-02,-1.243E-01, 5.405E-02, 1.862E-15, 1.190E-04, 0.000E+00, 4.097E-04, 5.374E-03,-3.170E-04, 0.000E+00, 0.000E+00,-4.534E+01
-2.400E+02, 0.000E+00, 0.000E+00, 6.597E-02,-1.055E-01, 4.472E-02, 1.955E-15, 6.143E-05, 0.000E+00, 2.010E-04, 5.283E-03,-3.185E-04, 0.000E+00, 0.000E+00,-4.531E+01
-1.800E+02, 0.000E+00, 0.000E+00, 5.596E-02,-9.013E-02, 3.900E-02, 1.971E-15,-1.259E-04, 0.000E+00,-4.273E-04, 4.700E-03,-2.821E-04, 0.000E+00, 0.000E+00,-4.538E+01
-1.199E+02, 0.000E+00, 0.000E+00, 4.816E-02,-7.123E-02, 2.824E-02, 2.126E-15,-9.760E-06, 0.000E+00,-3.700E-05, 5.162E-03,-2.231E-04, 0.000E+00, 0.000E+00,-4.539E+01
-5.999E+01, 0.000E+00, 0.000E+00, 4.166E-02,-6.095E-02, 2.446E-02, 2.144E-15,-2.094E-05, 0.000E+00,-8.818E-05, 5.143E-03,-2.133E-04, 0.000E+00, 0.000E+00,-4.540E+01
 2.713E-03, 0.000E+00, 0.000E+00, 3.532E-02,-5.009E-02, 1.968E-02, 2.208E-15,-1.346E-04, 0.000E+00,-4.586E-04, 4.781E-03,-1.544E-04, 0.000E+00, 0.000E+00,-4.547E+01
 6.001E+01, 1.123E+02, 0.000E+00,-2.418E+01,-7.308E+01,-1.477E+01, 4.786E-01, 1.027E-01, 0.000E+00, 3.595E-01, 7.979E-01,-2.225E-01, 2.250E-03,-3.031E-03, 1.185E+01
 1.200E+02, 1.501E+02, 0.000E+00,-5.547E+01,-5.185E+01,-4.313E+01, 6.251E-01,-5.122E-02, 0.000E+00,-1.803E-01, 2.305E-01,-1.532E-01, 2.998E-03,-3.607E-03,-1.689E+01
 1.800E+02, 1.502E+02, 0.000E+00,-7.374E+01,-2.237E+01,-5.439E+01, 5.904E-01,-2.303E-02, 0.000E+00,-7.963E-02, 2.198E-01,-5.291E-02, 2.998E-03,-5.645E-03,-2.959E+01
 2.400E+02, 1.503E+02, 0.000E+00,-8.147E+01,-1.295E+01,-5.617E+01, 5.624E-01,-1.240E-02, 0.000E+00,-4.085E-02, 2.635E-01,-1.300E-02, 2.998E-03,-1.004E-02,-3.610E+01
 3.000E+02, 1.501E+02, 0.000E+00,-8.438E+01,-1.105E+01,-5.500E+01, 5.478E-01,-1.776E-02, 0.000E+00,-5.955E-02, 2.267E-01,-1.406E-03, 2.998E-03,-1.405E-02,-4.560E+01
 3.600E+02, 1.502E+02, 0.000E+00,-8.658E+01,-9.818E+00,-5.396E+01, 5.249E-01, 1.783E-02, 0.000E+00, 6.419E-02, 3.446E-01, 7.198E-03, 2.998E-03,-1.827E-02,-3.536E+01
