s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1
-6.00E+01, 0.00E+00,-5.18E-04, 9.58E-08, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00,-5.18E-04, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00,-5.91E-01
-5.50E+01, 9.94E+02,-3.61E+02, 2.80E+00,-3.65E+01, 0.00E+00, 2.33E+02,-6.33E+00, 8.21E+02, 8.26E+02, 0.00E+00, 2.45E-02, 0.00E+00, 0.00E+00, 1.21E+04
-5.00E+01, 1.13E+03,-4.27E+02, 2.90E+00,-8.48E+01, 0.00E+00, 2.44E+02,-7.20E+00, 8.59E+02, 8.57E+02, 0.00E+00, 2.51E-02, 0.00E+00, 0.00E+00, 2.48E+04
-4.50E+01, 1.11E+03,-4.52E+02, 2.84E+00,-1.28E+02, 0.00E+00, 2.09E+02,-7.36E+00, 7.38E+02, 7.37E+02, 0.00E+00, 2.49E-02, 0.00E+00, 0.00E+00, 3.57E+04
-4.00E+01, 1.13E+03,-5.01E+02, 2.91E+00,-1.69E+02, 0.00E+00, 1.80E+02,-7.51E+00, 6.42E+02, 6.40E+02, 0.00E+00, 2.51E-02, 0.00E+00, 0.00E+00, 4.51E+04
-3.50E+01, 1.13E+03,-5.43E+02, 2.90E+00,-2.05E+02, 0.00E+00, 1.46E+02,-7.67E+00, 5.24E+02, 5.22E+02, 0.00E+00, 2.52E-02, 0.00E+00, 0.00E+00, 5.27E+04
-3.00E+01, 1.11E+03,-5.82E+02, 2.87E+00,-2.35E+02, 0.00E+00, 1.14E+02,-7.64E+00, 4.09E+02, 4.06E+02, 0.00E+00, 2.49E-02, 0.00E+00, 0.00E+00, 5.86E+04
-2.50E+01, 1.13E+03,-6.30E+02, 2.99E+00,-2.58E+02, 0.00E+00, 9.28E+01,-7.80E+00, 3.36E+02, 3.33E+02, 0.00E+00, 2.51E-02, 0.00E+00, 0.00E+00, 6.34E+04
-2.00E+01, 1.14E+03,-6.68E+02, 2.92E+00,-2.75E+02, 0.00E+00, 7.49E+01,-7.86E+00, 2.69E+02, 2.67E+02, 0.00E+00, 2.53E-02, 0.00E+00, 0.00E+00, 6.73E+04
-1.50E+01, 1.12E+03,-6.91E+02, 2.97E+00,-2.85E+02, 0.00E+00, 5.58E+01,-7.87E+00, 2.01E+02, 1.98E+02, 0.00E+00, 2.51E-02, 0.00E+00, 0.00E+00, 7.02E+04
-9.99E+00, 1.12E+03,-7.13E+02, 3.01E+00,-2.93E+02, 0.00E+00, 4.22E+01,-7.90E+00, 1.52E+02, 1.50E+02, 0.00E+00, 2.52E-02, 0.00E+00, 0.00E+00, 7.24E+04
-5.00E+00, 1.13E+03,-7.35E+02, 3.06E+00,-3.01E+02, 0.00E+00, 3.58E+01,-7.90E+00, 1.29E+02, 1.26E+02, 0.00E+00, 2.51E-02, 0.00E+00, 0.00E+00, 7.43E+04
 2.19E-04, 1.11E+03,-7.39E+02, 2.94E+00,-3.02E+02, 0.00E+00, 2.75E+01,-7.87E+00, 9.69E+01, 9.46E+01, 0.00E+00, 2.50E-02, 0.00E+00, 0.00E+00, 7.57E+04
 5.00E+00, 1.11E+03,-5.98E+02, 3.74E+01,-2.85E+02, 0.00E+00,-3.16E+02,-1.36E+03,-1.41E+03,-1.41E+03, 0.00E+00, 2.51E-02, 0.00E+00, 4.82E-01, 5.93E+04
 1.00E+01, 1.14E+03,-4.30E+02, 2.87E+01,-1.84E+02, 0.00E+00,-1.13E+02,-1.03E+03,-5.93E+02,-5.91E+02, 0.00E+00, 2.49E-02, 0.00E+00, 3.50E-01, 5.34E+04
 1.50E+01, 1.13E+03,-3.71E+02, 2.70E+01,-1.25E+02, 0.00E+00,-3.11E+01,-8.91E+02,-2.62E+02,-2.61E+02, 0.00E+00, 2.50E-02, 0.00E+00, 2.94E-01, 5.18E+04
 2.00E+01, 1.09E+03,-3.42E+02, 2.50E+01,-1.03E+02, 0.00E+00,-1.85E+00,-8.05E+02,-1.38E+02,-1.37E+02, 0.00E+00, 2.51E-02, 0.00E+00, 2.55E-01, 5.17E+04
 2.50E+01, 1.09E+03,-3.32E+02, 2.37E+01,-8.94E+01, 0.00E+00, 2.42E+01,-7.47E+02,-2.97E+01,-2.89E+01, 0.00E+00, 2.50E-02, 0.00E+00, 2.28E-01, 5.29E+04
 3.00E+01, 1.12E+03,-3.30E+02, 2.30E+01,-8.51E+01, 0.00E+00, 4.45E+01,-7.14E+02, 5.36E+01, 5.46E+01, 0.00E+00, 2.50E-02, 0.00E+00, 2.12E-01, 5.53E+04
 3.50E+01, 1.06E+03,-3.14E+02, 2.42E+01,-8.41E+01, 0.00E+00, 2.37E+01,-7.37E+02,-2.86E+01,-2.81E+01, 0.00E+00, 2.47E-02, 0.00E+00, 2.19E-01, 5.65E+04
 4.00E+01, 7.57E+02,-2.25E+02, 2.22E+01,-7.15E+01, 0.00E+00,-3.55E+01,-6.85E+02,-2.38E+02,-2.38E+02, 0.00E+00, 2.47E-02, 0.00E+00, 1.95E-01, 5.46E+04
 4.50E+01, 1.74E+01,-3.92E+01, 1.45E+01,-2.28E+01, 0.00E+00,-1.67E+02,-4.77E+02,-6.74E+02,-6.74E+02, 0.00E+00, 2.45E-02, 0.00E+00, 1.15E-01, 4.60E+04
 5.00E+01, 1.64E-01,-1.48E+01, 8.43E+00, 1.09E+01, 0.00E+00,-1.02E+02,-3.02E+02,-3.99E+02,-3.99E+02, 0.00E+00, 2.48E-02, 0.00E+00, 4.96E-02, 4.07E+04
 5.50E+01, 0.00E+00,-4.31E+00, 6.84E+00, 3.27E+01, 0.00E+00,-6.93E+01,-2.39E+02,-2.73E+02,-2.73E+02, 0.00E+00, 2.44E-02, 0.00E+00, 3.48E-02, 3.71E+04
 6.00E+01, 0.00E+00, 2.18E+00, 6.14E+00, 4.61E+01, 0.00E+00,-5.12E+01,-2.08E+02,-2.04E+02,-2.04E+02, 0.00E+00, 2.46E-02, 0.00E+00, 3.05E-02, 3.44E+04
 6.50E+01, 0.00E+00, 6.48E+00, 5.60E+00, 5.62E+01, 0.00E+00,-3.82E+01,-1.86E+02,-1.56E+02,-1.56E+02, 0.00E+00, 2.44E-02, 0.00E+00, 2.73E-02, 3.24E+04
 7.00E+01, 0.00E+00, 9.45E+00, 5.13E+00, 6.06E+01, 0.00E+00,-2.85E+01,-1.65E+02,-1.18E+02,-1.18E+02, 0.00E+00, 2.34E-02, 0.00E+00, 2.43E-02, 3.09E+04
 7.50E+01, 0.00E+00, 1.15E+01, 4.69E+00, 6.36E+01, 0.00E+00,-2.15E+01,-1.50E+02,-9.18E+01,-9.17E+01, 0.00E+00, 2.34E-02, 0.00E+00, 2.17E-02, 2.98E+04
 8.00E+01, 0.00E+00, 1.30E+01, 4.31E+00, 6.45E+01, 0.00E+00,-1.64E+01,-1.37E+02,-7.17E+01,-7.17E+01, 0.00E+00, 2.33E-02, 0.00E+00, 1.94E-02, 2.90E+04
 8.50E+01, 0.00E+00, 1.39E+01, 3.95E+00, 6.43E+01, 0.00E+00,-1.24E+01,-1.26E+02,-5.61E+01,-5.61E+01, 0.00E+00, 2.23E-02, 0.00E+00, 1.71E-02, 2.83E+04
 9.00E+01, 0.00E+00, 1.46E+01, 3.58E+00, 6.41E+01, 0.00E+00,-9.88E+00,-1.18E+02,-4.59E+01,-4.58E+01, 0.00E+00, 2.38E-02, 0.00E+00, 1.50E-02, 2.78E+04
 9.50E+01, 0.00E+00, 1.51E+01, 3.36E+00, 6.23E+01, 0.00E+00,-7.33E+00,-1.09E+02,-3.59E+01,-3.59E+01, 0.00E+00, 2.34E-02, 0.00E+00, 1.37E-02, 2.74E+04
 1.00E+02, 0.00E+00, 1.53E+01, 3.09E+00, 6.11E+01, 0.00E+00,-5.74E+00,-1.03E+02,-2.94E+01,-2.93E+01, 0.00E+00, 2.42E-02, 0.00E+00, 1.21E-02, 2.71E+04
 1.05E+02, 0.00E+00, 1.55E+01, 2.85E+00, 5.95E+01, 0.00E+00,-4.38E+00,-9.70E+01,-2.36E+01,-2.35E+01, 0.00E+00, 2.33E-02, 0.00E+00, 1.07E-02, 2.69E+04
 1.10E+02, 0.00E+00, 1.55E+01, 2.74E+00, 5.79E+01, 0.00E+00,-3.34E+00,-9.21E+01,-1.93E+01,-1.93E+01, 0.00E+00, 2.35E-02, 0.00E+00, 9.79E-03, 2.67E+04
 1.15E+02, 0.00E+00, 1.55E+01, 2.54E+00, 5.70E+01, 0.00E+00,-2.65E+00,-8.87E+01,-1.63E+01,-1.63E+01, 0.00E+00, 2.38E-02, 0.00E+00, 8.76E-03, 2.66E+04
 1.20E+02, 0.00E+00, 1.55E+01, 2.45E+00, 5.52E+01, 0.00E+00,-2.26E+00,-8.53E+01,-1.44E+01,-1.44E+01, 0.00E+00, 2.26E-02, 0.00E+00, 8.07E-03, 2.65E+04
 1.25E+02, 0.00E+00, 1.54E+01, 2.40E+00, 5.41E+01, 0.00E+00,-1.44E+00,-8.14E+01,-1.10E+01,-1.09E+01, 0.00E+00, 2.16E-02, 0.00E+00, 7.37E-03, 2.64E+04
 1.30E+02, 0.00E+00, 1.54E+01, 2.31E+00, 5.27E+01, 0.00E+00,-1.18E+00,-7.91E+01,-9.92E+00,-9.89E+00, 0.00E+00, 2.24E-02, 0.00E+00, 7.04E-03, 2.63E+04
 1.35E+02, 0.00E+00, 1.53E+01, 2.18E+00, 5.15E+01, 0.00E+00,-1.11E+00,-7.72E+01,-9.39E+00,-9.36E+00, 0.00E+00, 2.25E-02, 0.00E+00, 6.42E-03, 2.63E+04
 1.40E+02, 0.00E+00, 1.51E+01, 2.12E+00, 5.09E+01, 0.00E+00,-7.73E-01,-7.51E+01,-7.79E+00,-7.77E+00, 0.00E+00, 2.18E-02, 0.00E+00, 5.95E-03, 2.62E+04
 1.45E+02, 0.00E+00, 1.50E+01, 2.05E+00, 4.99E+01, 0.00E+00,-6.11E-01,-7.35E+01,-7.14E+00,-7.11E+00, 0.00E+00, 2.24E-02, 0.00E+00, 5.58E-03, 2.62E+04
 1.50E+02, 0.00E+00, 1.48E+01, 1.98E+00, 4.82E+01, 0.00E+00,-6.25E-01,-7.13E+01,-6.96E+00,-6.93E+00, 0.00E+00, 2.27E-02, 0.00E+00, 5.10E-03, 2.62E+04
 1.55E+02, 0.00E+00, 1.47E+01, 1.89E+00, 4.72E+01, 0.00E+00,-5.20E-01,-6.95E+01,-6.23E+00,-6.21E+00, 0.00E+00, 2.20E-02, 0.00E+00, 4.61E-03, 2.61E+04
 1.60E+02, 0.00E+00, 1.45E+01, 1.83E+00, 4.64E+01, 0.00E+00,-4.01E-01,-6.80E+01,-5.68E+00,-5.66E+00, 0.00E+00, 2.25E-02, 0.00E+00, 4.21E-03, 2.61E+04
 1.65E+02, 0.00E+00, 1.44E+01, 1.79E+00, 4.47E+01, 0.00E+00,-4.33E-01,-6.61E+01,-5.65E+00,-5.63E+00, 0.00E+00, 2.33E-02, 0.00E+00, 3.84E-03, 2.61E+04
