s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1
-6.00E+01, 0.00E+00,-5.18E-04, 9.58E-08, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00,-5.18E-04, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00,-5.91E-01
-5.50E+01, 1.00E+03,-3.64E+02, 2.61E+00,-4.82E+01, 0.00E+00, 2.31E+02,-6.32E+00, 8.15E+02, 8.15E+02, 0.00E+00, 2.44E-02, 0.00E+00, 0.00E+00, 1.20E+04
-5.00E+01, 1.16E+03,-4.37E+02, 2.73E+00,-9.73E+01, 0.00E+00, 2.49E+02,-7.12E+00, 8.75E+02, 8.71E+02, 0.00E+00, 2.51E-02, 0.00E+00, 0.00E+00, 2.50E+04
-4.50E+01, 1.15E+03,-4.67E+02, 2.76E+00,-1.35E+02, 0.00E+00, 2.18E+02,-7.32E+00, 7.69E+02, 7.64E+02, 0.00E+00, 2.49E-02, 0.00E+00, 0.00E+00, 3.63E+04
-4.00E+01, 1.15E+03,-5.10E+02, 2.81E+00,-1.75E+02, 0.00E+00, 1.80E+02,-7.52E+00, 6.41E+02, 6.36E+02, 0.00E+00, 2.50E-02, 0.00E+00, 0.00E+00, 4.57E+04
-3.50E+01, 1.15E+03,-5.55E+02, 2.89E+00,-2.09E+02, 0.00E+00, 1.47E+02,-7.68E+00, 5.27E+02, 5.23E+02, 0.00E+00, 2.52E-02, 0.00E+00, 0.00E+00, 5.33E+04
-3.00E+01, 1.15E+03,-6.03E+02, 2.92E+00,-2.38E+02, 0.00E+00, 1.17E+02,-7.68E+00, 4.23E+02, 4.17E+02, 0.00E+00, 2.49E-02, 0.00E+00, 0.00E+00, 5.94E+04
-2.50E+01, 1.15E+03,-6.48E+02, 3.00E+00,-2.58E+02, 0.00E+00, 9.51E+01,-7.83E+00, 3.44E+02, 3.38E+02, 0.00E+00, 2.52E-02, 0.00E+00, 0.00E+00, 6.44E+04
-2.00E+01, 1.14E+03,-6.85E+02, 3.07E+00,-2.75E+02, 0.00E+00, 6.90E+01,-7.97E+00, 2.50E+02, 2.45E+02, 0.00E+00, 2.53E-02, 0.00E+00, 0.00E+00, 6.80E+04
-1.50E+01, 1.15E+03,-7.12E+02, 3.07E+00,-2.88E+02, 0.00E+00, 5.83E+01,-7.94E+00, 2.10E+02, 2.05E+02, 0.00E+00, 2.51E-02, 0.00E+00, 0.00E+00, 7.10E+04
-1.00E+01, 1.17E+03,-7.41E+02, 3.13E+00,-2.94E+02, 0.00E+00, 5.15E+01,-8.01E+00, 1.86E+02, 1.83E+02, 0.00E+00, 2.52E-02, 0.00E+00, 0.00E+00, 7.37E+04
-5.00E+00, 1.11E+03,-7.42E+02, 3.10E+00,-2.99E+02, 0.00E+00, 2.84E+01,-7.98E+00, 1.02E+02, 9.70E+01, 0.00E+00, 2.50E-02, 0.00E+00, 0.00E+00, 7.52E+04
 1.05E-03, 1.17E+03,-7.73E+02, 3.11E+00,-3.04E+02, 0.00E+00, 3.57E+01,-7.98E+00, 1.27E+02, 1.23E+02, 0.00E+00, 2.51E-02, 0.00E+00, 0.00E+00, 7.70E+04
 5.00E+00, 1.15E+03,-6.41E+02, 3.56E+01,-2.96E+02, 0.00E+00,-2.50E+02,-1.14E+03,-1.14E+03,-1.14E+03, 0.00E+00, 2.50E-02, 0.00E+00, 4.20E-01, 6.40E+04
 1.00E+01, 1.11E+03,-4.52E+02, 2.99E+01,-2.18E+02, 0.00E+00,-1.19E+02,-9.68E+02,-6.17E+02,-6.17E+02, 0.00E+00, 2.48E-02, 0.00E+00, 3.52E-01, 5.78E+04
 1.50E+01, 1.11E+03,-3.46E+02, 2.70E+01,-1.66E+02, 0.00E+00,-2.21E+01,-8.37E+02,-2.31E+02,-2.30E+02, 0.00E+00, 2.49E-02, 0.00E+00, 2.97E-01, 5.66E+04
 2.00E+01, 1.09E+03,-3.10E+02, 2.61E+01,-1.51E+02, 0.00E+00, 4.47E+00,-7.87E+02,-1.25E+02,-1.24E+02, 0.00E+00, 2.51E-02, 0.00E+00, 2.75E-01, 5.69E+04
 2.50E+01, 8.10E+02,-2.28E+02, 2.47E+01,-1.19E+02, 0.00E+00,-4.03E+01,-7.24E+02,-2.77E+02,-2.76E+02, 0.00E+00, 2.51E-02, 0.00E+00, 2.48E-01, 5.48E+04
 3.00E+01, 1.67E+02,-9.14E+01, 1.87E+01,-7.07E+01, 0.00E+00,-1.66E+02,-5.65E+02,-7.08E+02,-7.08E+02, 0.00E+00, 2.44E-02, 0.00E+00, 1.84E-01, 4.61E+04
 3.50E+01, 4.44E+00,-3.31E+01, 1.15E+01,-2.38E+01, 0.00E+00,-1.31E+02,-3.58E+02,-5.31E+02,-5.31E+02, 0.00E+00, 2.46E-02, 0.00E+00, 9.88E-02, 3.93E+04
 4.00E+01, 1.61E-01,-1.49E+01, 7.64E+00, 6.19E+00, 0.00E+00,-7.72E+01,-2.28E+02,-3.06E+02,-3.06E+02, 0.00E+00, 2.49E-02, 0.00E+00, 4.69E-02, 3.53E+04
 4.50E+01, 0.00E+00,-6.57E+00, 6.27E+00, 1.97E+01, 0.00E+00,-5.17E+01,-1.73E+02,-2.05E+02,-2.05E+02, 0.00E+00, 2.45E-02, 0.00E+00, 3.01E-02, 3.26E+04
 5.00E+01, 0.00E+00,-1.34E+00, 5.70E+00, 2.78E+01, 0.00E+00,-3.91E+01,-1.50E+02,-1.57E+02,-1.57E+02, 0.00E+00, 2.47E-02, 0.00E+00, 2.58E-02, 3.05E+04
 5.50E+01, 0.00E+00, 2.26E+00, 5.26E+00, 3.41E+01, 0.00E+00,-3.06E+01,-1.36E+02,-1.25E+02,-1.25E+02, 0.00E+00, 2.44E-02, 0.00E+00, 2.31E-02, 2.89E+04
 6.00E+01, 0.00E+00, 4.93E+00, 4.95E+00, 3.66E+01, 0.00E+00,-2.43E+01,-1.23E+02,-1.01E+02,-1.01E+02, 0.00E+00, 2.31E-02, 0.00E+00, 2.10E-02, 2.77E+04
 6.50E+01, 0.00E+00, 6.95E+00, 4.58E+00, 3.98E+01, 0.00E+00,-1.91E+01,-1.13E+02,-8.12E+01,-8.12E+01, 0.00E+00, 2.41E-02, 0.00E+00, 1.88E-02, 2.67E+04
 7.00E+01, 0.00E+00, 8.48E+00, 4.28E+00, 4.06E+01, 0.00E+00,-1.52E+01,-1.04E+02,-6.60E+01,-6.60E+01, 0.00E+00, 2.42E-02, 0.00E+00, 1.69E-02, 2.59E+04
 7.50E+01, 0.00E+00, 9.63E+00, 4.03E+00, 4.12E+01, 0.00E+00,-1.18E+01,-9.58E+01,-5.28E+01,-5.28E+01, 0.00E+00, 2.34E-02, 0.00E+00, 1.52E-02, 2.53E+04
 8.00E+01, 0.00E+00, 1.05E+01, 3.72E+00, 4.13E+01, 0.00E+00,-9.82E+00,-9.04E+01,-4.47E+01,-4.47E+01, 0.00E+00, 2.45E-02, 0.00E+00, 1.35E-02, 2.48E+04
 8.50E+01, 0.00E+00, 1.12E+01, 3.56E+00, 4.02E+01, 0.00E+00,-7.67E+00,-8.35E+01,-3.62E+01,-3.62E+01, 0.00E+00, 2.31E-02, 0.00E+00, 1.24E-02, 2.44E+04
 9.00E+01, 0.00E+00, 1.17E+01, 3.33E+00, 4.02E+01, 0.00E+00,-6.18E+00,-7.93E+01,-3.03E+01,-3.03E+01, 0.00E+00, 2.40E-02, 0.00E+00, 1.11E-02, 2.40E+04
 9.50E+01, 0.00E+00, 1.21E+01, 3.20E+00, 3.84E+01, 0.00E+00,-5.13E+00,-7.46E+01,-2.60E+01,-2.60E+01, 0.00E+00, 2.40E-02, 0.00E+00, 1.03E-02, 2.38E+04
 1.00E+02, 0.00E+00, 1.23E+01, 3.05E+00, 3.84E+01, 0.00E+00,-3.93E+00,-7.08E+01,-2.10E+01,-2.10E+01, 0.00E+00, 2.34E-02, 0.00E+00, 9.13E-03, 2.36E+04
 1.05E+02, 0.00E+00, 1.25E+01, 3.00E+00, 3.74E+01, 0.00E+00,-3.30E+00,-6.81E+01,-1.85E+01,-1.85E+01, 0.00E+00, 2.36E-02, 0.00E+00, 8.67E-03, 2.34E+04
 1.10E+02, 0.00E+00, 1.27E+01, 2.84E+00, 3.65E+01, 0.00E+00,-2.79E+00,-6.54E+01,-1.62E+01,-1.62E+01, 0.00E+00, 2.31E-02, 0.00E+00, 7.94E-03, 2.33E+04
 1.15E+02, 0.00E+00, 1.28E+01, 2.73E+00, 3.65E+01, 0.00E+00,-2.14E+00,-6.34E+01,-1.36E+01,-1.36E+01, 0.00E+00, 2.38E-02, 0.00E+00, 7.38E-03, 2.31E+04
 1.20E+02, 0.00E+00, 1.28E+01, 2.70E+00, 3.58E+01, 0.00E+00,-1.49E+00,-6.08E+01,-1.10E+01,-1.10E+01, 0.00E+00, 2.28E-02, 0.00E+00, 6.94E-03, 2.31E+04
 1.25E+02, 0.00E+00, 1.28E+01, 2.61E+00, 3.46E+01, 0.00E+00,-1.55E+00,-5.93E+01,-1.09E+01,-1.09E+01, 0.00E+00, 2.25E-02, 0.00E+00, 6.40E-03, 2.30E+04
 1.30E+02, 0.00E+00, 1.28E+01, 2.52E+00, 3.33E+01, 0.00E+00,-1.19E+00,-5.69E+01,-9.48E+00,-9.48E+00, 0.00E+00, 2.36E-02, 0.00E+00, 6.03E-03, 2.29E+04
 1.35E+02, 0.00E+00, 1.28E+01, 2.45E+00, 3.33E+01, 0.00E+00,-9.20E-01,-5.58E+01,-8.25E+00,-8.25E+00, 0.00E+00, 2.35E-02, 0.00E+00, 5.52E-03, 2.29E+04
 1.40E+02, 0.00E+00, 1.27E+01, 2.38E+00, 3.27E+01, 0.00E+00,-7.73E-01,-5.47E+01,-7.62E+00,-7.62E+00, 0.00E+00, 2.38E-02, 0.00E+00, 5.27E-03, 2.28E+04
 1.45E+02, 0.00E+00, 1.27E+01, 2.34E+00, 3.22E+01, 0.00E+00,-6.24E-01,-5.34E+01,-6.82E+00,-6.81E+00, 0.00E+00, 2.29E-02, 0.00E+00, 4.93E-03, 2.28E+04
 1.50E+02, 0.00E+00, 1.27E+01, 2.29E+00, 3.14E+01, 0.00E+00,-4.24E-01,-5.18E+01,-5.89E+00,-5.89E+00, 0.00E+00, 2.24E-02, 0.00E+00, 4.65E-03, 2.28E+04
 1.55E+02, 0.00E+00, 1.26E+01, 2.24E+00, 3.14E+01, 0.00E+00,-3.35E-01,-5.14E+01,-5.54E+00,-5.54E+00, 0.00E+00, 2.35E-02, 0.00E+00, 4.35E-03, 2.28E+04
 1.60E+02, 0.00E+00, 1.25E+01, 2.19E+00, 2.98E+01, 0.00E+00,-2.99E-01,-4.94E+01,-5.20E+00,-5.20E+00, 0.00E+00, 2.33E-02, 0.00E+00, 4.04E-03, 2.27E+04
 1.65E+02, 0.00E+00, 1.24E+01, 2.18E+00, 2.95E+01, 0.00E+00,-3.37E-01,-4.89E+01,-5.20E+00,-5.20E+00, 0.00E+00, 2.31E-02, 0.00E+00, 3.69E-03, 2.27E+04
