s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,MLR_WATER VAPOR
-6.00E+01, 0.00E+00,-5.01E-04, 9.58E-08, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00,-5.01E-04, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00
-5.50E+01, 5.32E+02,-1.99E+02, 6.37E+00,-2.80E+01, 0.00E+00, 0.00E+00,-2.86E+00, 3.08E+02, 3.09E+02, 0.00E+00, 1.27E-02, 0.00E+00, 0.00E+00
-5.00E+01, 6.14E+02,-2.33E+02,-6.02E+00,-5.13E+01, 0.00E+00, 0.00E+00,-3.01E+00, 3.24E+02, 3.20E+02, 0.00E+00, 1.31E-02, 0.00E+00, 0.00E+00
-4.50E+01, 5.98E+02,-2.36E+02,-3.32E+01,-6.11E+01, 0.00E+00, 0.00E+00,-3.01E+00, 2.69E+02, 2.66E+02, 0.00E+00, 1.30E-02, 0.00E+00, 0.00E+00
-4.00E+01, 6.09E+02,-2.48E+02,-6.85E+01,-7.63E+01, 0.00E+00, 0.00E+00,-3.05E+00, 2.16E+02, 2.13E+02, 0.00E+00, 1.31E-02, 0.00E+00, 0.00E+00
-3.50E+01, 6.11E+02,-2.62E+02,-8.92E+01,-8.95E+01, 0.00E+00, 0.00E+00,-3.10E+00, 1.71E+02, 1.68E+02, 0.00E+00, 1.31E-02, 0.00E+00, 0.00E+00
-3.00E+01, 6.01E+02,-2.69E+02,-1.06E+02,-9.91E+01, 0.00E+00, 0.00E+00,-3.15E+00, 1.27E+02, 1.24E+02, 0.00E+00, 1.30E-02, 0.00E+00, 0.00E+00
-2.50E+01, 6.06E+02,-2.81E+02,-1.16E+02,-1.09E+02, 0.00E+00, 0.00E+00,-3.11E+00, 1.01E+02, 9.72E+01, 0.00E+00, 1.31E-02, 0.00E+00, 0.00E+00
-2.00E+01, 6.10E+02,-2.92E+02,-1.27E+02,-1.16E+02, 0.00E+00, 0.00E+00,-3.24E+00, 7.43E+01, 7.07E+01, 0.00E+00, 1.32E-02, 0.00E+00, 0.00E+00
-1.50E+01, 6.03E+02,-2.97E+02,-1.30E+02,-1.21E+02, 0.00E+00, 0.00E+00,-3.06E+00, 5.56E+01, 5.22E+01, 0.00E+00, 1.31E-02, 0.00E+00, 0.00E+00
-9.98E+00, 6.06E+02,-3.04E+02,-1.37E+02,-1.25E+02, 0.00E+00, 0.00E+00,-3.24E+00, 4.02E+01, 3.68E+01, 0.00E+00, 1.32E-02, 0.00E+00, 0.00E+00
-5.00E+00, 6.01E+02,-3.08E+02,-1.37E+02,-1.28E+02, 0.00E+00, 0.00E+00,-3.17E+00, 2.88E+01, 2.51E+01, 0.00E+00, 1.31E-02, 0.00E+00, 0.00E+00
 9.75E-04, 6.07E+02,-3.14E+02,-1.40E+02,-1.30E+02, 0.00E+00, 0.00E+00,-3.24E+00, 2.35E+01, 2.03E+01, 0.00E+00, 1.31E-02, 0.00E+00, 0.00E+00
 5.00E+00, 6.01E+02,-2.64E+02,-4.02E+01,-1.19E+02, 0.00E+00, 0.00E+00,-6.24E+02,-4.44E+02,-4.45E+02, 0.00E+00, 1.31E-02, 0.00E+00, 2.15E-01
 1.00E+01, 5.92E+02,-2.00E+02,-2.76E+01,-7.34E+01, 0.00E+00, 0.00E+00,-4.46E+02,-1.55E+02,-1.56E+02, 0.00E+00, 1.30E-02, 0.00E+00, 1.44E-01
