s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
-6.00E+01, 0.00E+00,-5.18E-04, 9.58E-08, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00,-5.18E-04, 0.00E+00, 0.00E+00,-5.91E-01
-5.50E+01, 2.71E+02,-1.05E+02, 7.64E-01,-1.86E+01, 0.00E+00, 5.79E+01,-1.98E+00, 2.03E+02, 2.03E+02, 6.25E-03, 6.34E-03, 3.00E+03
-5.00E+01, 2.98E+02,-1.16E+02, 8.00E-01,-3.53E+01, 0.00E+00, 5.94E+01,-2.07E+00, 2.07E+02, 2.05E+02, 6.43E-03, 6.52E-03, 6.09E+03
-4.50E+01, 2.98E+02,-1.19E+02, 7.98E-01,-3.78E+01, 0.00E+00, 5.74E+01,-2.05E+00, 2.00E+02, 1.98E+02, 6.38E-03, 6.48E-03, 9.08E+03
-4.00E+01, 2.96E+02,-1.21E+02, 8.03E-01,-4.54E+01, 0.00E+00, 5.24E+01,-2.06E+00, 1.83E+02, 1.81E+02, 6.41E-03, 6.51E-03, 1.18E+04
-3.50E+01, 2.96E+02,-1.25E+02, 8.03E-01,-5.08E+01, 0.00E+00, 4.85E+01,-2.07E+00, 1.69E+02, 1.68E+02, 6.46E-03, 6.55E-03, 1.44E+04
-3.00E+01, 2.95E+02,-1.28E+02, 8.05E-01,-5.77E+01, 0.00E+00, 4.40E+01,-2.04E+00, 1.53E+02, 1.52E+02, 6.37E-03, 6.46E-03, 1.66E+04
-2.50E+01, 2.97E+02,-1.34E+02, 7.76E-01,-6.25E+01, 0.00E+00, 4.07E+01,-2.07E+00, 1.42E+02, 1.40E+02, 6.46E-03, 6.55E-03, 1.88E+04
-2.00E+01, 2.99E+02,-1.38E+02, 8.25E-01,-6.81E+01, 0.00E+00, 3.72E+01,-2.09E+00, 1.29E+02, 1.28E+02, 6.50E-03, 6.60E-03, 2.07E+04
-1.50E+01, 2.97E+02,-1.43E+02, 8.09E-01,-7.39E+01, 0.00E+00, 3.26E+01,-2.07E+00, 1.14E+02, 1.12E+02, 6.44E-03, 6.54E-03, 2.24E+04
-9.99E+00, 2.97E+02,-1.45E+02, 8.22E-01,-7.84E+01, 0.00E+00, 2.95E+01,-2.09E+00, 1.03E+02, 1.01E+02, 6.48E-03, 6.57E-03, 2.39E+04
-5.00E+00, 2.96E+02,-1.49E+02, 7.94E-01,-8.21E+01, 0.00E+00, 2.61E+01,-2.07E+00, 9.07E+01, 8.92E+01, 6.44E-03, 6.53E-03, 2.53E+04
 2.00E-02, 2.95E+02,-1.52E+02, 8.13E-01,-8.60E+01, 0.00E+00, 2.30E+01,-2.07E+00, 7.96E+01, 7.81E+01, 6.43E-03, 6.53E-03, 2.65E+04
 5.00E+00, 2.96E+02,-1.39E+02, 4.56E+00,-8.94E+01, 0.00E+00,-1.30E+02,-4.87E+02,-5.43E+02,-5.44E+02, 6.43E-03, 1.72E-01, 1.97E+04
 1.00E+01, 2.88E+02,-1.12E+02, 2.93E+00,-6.92E+01, 0.00E+00,-6.42E+01,-3.25E+02,-2.80E+02,-2.79E+02, 6.38E-03, 1.10E-01, 1.64E+04
 1.50E+01, 2.96E+02,-1.06E+02, 2.51E+00,-5.95E+01, 0.00E+00,-2.81E+01,-2.41E+02,-1.36E+02,-1.36E+02, 6.48E-03, 7.76E-02, 1.49E+04
 2.00E+01, 2.92E+02,-1.01E+02, 2.17E+00,-5.14E+01, 0.00E+00,-9.90E+00,-1.94E+02,-6.19E+01,-6.22E+01, 6.39E-03, 5.74E-02, 1.44E+04
 2.50E+01, 2.93E+02,-9.91E+01, 2.09E+00,-4.66E+01, 0.00E+00,-7.06E-01,-1.74E+02,-2.48E+01,-2.51E+01, 6.44E-03, 4.80E-02, 1.44E+04
 3.00E+01, 2.93E+02,-9.83E+01, 2.00E+00,-4.50E+01, 0.00E+00, 3.56E+00,-1.62E+02,-6.44E+00,-6.69E+00, 6.45E-03, 4.14E-02, 1.46E+04
 3.50E+01, 2.90E+02,-9.68E+01, 2.00E+00,-4.36E+01, 0.00E+00, 5.78E+00,-1.55E+02, 3.03E+00, 2.69E+00, 6.38E-03, 3.80E-02, 1.49E+04
 4.00E+01, 2.93E+02,-9.74E+01, 2.00E+00,-4.37E+01, 0.00E+00, 7.71E+00,-1.51E+02, 1.11E+01, 1.07E+01, 6.45E-03, 3.55E-02, 1.53E+04
 4.50E+01, 2.95E+02,-9.73E+01, 2.03E+00,-4.25E+01, 0.00E+00, 9.28E+00,-1.49E+02, 1.79E+01, 1.76E+01, 6.44E-03, 3.36E-02, 1.58E+04
 5.00E+01, 2.87E+02,-9.44E+01, 2.08E+00,-4.20E+01, 0.00E+00, 6.15E+00,-1.53E+02, 6.22E+00, 5.96E+00, 6.44E-03, 3.42E-02, 1.61E+04
 5.50E+01, 2.95E+02,-9.70E+01, 2.07E+00,-4.19E+01, 0.00E+00, 9.30E+00,-1.49E+02, 1.87E+01, 1.85E+01, 6.41E-03, 3.16E-02, 1.66E+04
 6.00E+01, 2.90E+02,-9.53E+01, 2.14E+00,-4.21E+01, 0.00E+00, 6.30E+00,-1.53E+02, 7.91E+00, 7.60E+00, 6.40E-03, 3.19E-02, 1.69E+04
 6.50E+01, 2.93E+02,-9.66E+01, 2.13E+00,-4.26E+01, 0.00E+00, 7.75E+00,-1.50E+02, 1.38E+01, 1.35E+01, 6.47E-03, 3.05E-02, 1.73E+04
