s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
-6.00E+01, 0.00E+00,-5.18E-04, 9.58E-08, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00,-5.18E-04, 0.00E+00, 0.00E+00,-5.91E-01
-5.50E+01, 5.23E+02,-1.96E+02, 1.55E+00,-2.75E+01, 0.00E+00, 1.17E+02,-4.04E+00, 4.13E+02, 4.14E+02, 1.27E-02, 1.29E-02, 6.09E+03
-5.00E+01, 6.23E+02,-2.39E+02, 1.60E+00,-5.80E+01, 0.00E+00, 1.31E+02,-4.16E+00, 4.58E+02, 4.54E+02, 1.31E-02, 1.32E-02, 1.29E+04
-4.50E+01, 6.10E+02,-2.46E+02, 1.59E+00,-7.30E+01, 0.00E+00, 1.16E+02,-4.16E+00, 4.08E+02, 4.04E+02, 1.30E-02, 1.32E-02, 1.90E+04
-4.00E+01, 6.14E+02,-2.61E+02, 1.63E+00,-9.08E+01, 0.00E+00, 1.05E+02,-4.20E+00, 3.68E+02, 3.64E+02, 1.31E-02, 1.33E-02, 2.44E+04
-3.50E+01, 6.17E+02,-2.77E+02, 1.64E+00,-1.09E+02, 0.00E+00, 9.24E+01,-4.22E+00, 3.25E+02, 3.22E+02, 1.31E-02, 1.33E-02, 2.93E+04
-3.00E+01, 5.96E+02,-2.83E+02, 1.62E+00,-1.20E+02, 0.00E+00, 7.64E+01,-4.18E+00, 2.70E+02, 2.66E+02, 1.30E-02, 1.32E-02, 3.32E+04
-2.50E+01, 6.25E+02,-3.08E+02, 1.65E+00,-1.34E+02, 0.00E+00, 7.25E+01,-4.23E+00, 2.56E+02, 2.53E+02, 1.31E-02, 1.33E-02, 3.70E+04
-2.00E+01, 6.23E+02,-3.21E+02, 1.67E+00,-1.47E+02, 0.00E+00, 6.18E+01,-4.26E+00, 2.18E+02, 2.14E+02, 1.32E-02, 1.34E-02, 4.02E+04
-1.50E+01, 6.12E+02,-3.31E+02, 1.62E+00,-1.55E+02, 0.00E+00, 4.95E+01,-4.22E+00, 1.75E+02, 1.72E+02, 1.31E-02, 1.33E-02, 4.28E+04
-9.99E+00, 6.12E+02,-3.43E+02, 1.68E+00,-1.63E+02, 0.00E+00, 4.18E+01,-4.26E+00, 1.47E+02, 1.44E+02, 1.32E-02, 1.34E-02, 4.50E+04
-5.00E+00, 6.15E+02,-3.55E+02, 1.62E+00,-1.69E+02, 0.00E+00, 3.63E+01,-4.22E+00, 1.28E+02, 1.24E+02, 1.31E-02, 1.33E-02, 4.69E+04
 7.62E-03, 6.07E+02,-3.61E+02, 1.68E+00,-1.74E+02, 0.00E+00, 2.88E+01,-4.23E+00, 1.01E+02, 9.77E+01, 1.31E-02, 1.33E-02, 4.84E+04
 5.01E+00, 6.31E+02,-3.09E+02, 1.94E+01,-1.68E+02, 0.00E+00,-1.71E+02,-7.70E+02,-7.64E+02,-7.67E+02, 1.32E-02, 3.15E-01, 3.95E+04
 1.00E+01, 5.93E+02,-2.50E+02, 1.62E+01,-1.25E+02, 0.00E+00,-1.30E+02,-7.09E+02,-6.04E+02,-6.05E+02, 1.30E-02, 2.90E-01, 3.27E+04
 1.50E+01, 5.93E+02,-2.10E+02, 1.34E+01,-9.15E+01, 0.00E+00,-6.63E+01,-5.92E+02,-3.52E+02,-3.53E+02, 1.30E-02, 2.42E-01, 2.93E+04
 2.00E+01, 5.95E+02,-1.83E+02, 1.20E+01,-7.00E+01, 0.00E+00,-1.80E+01,-4.97E+02,-1.61E+02,-1.61E+02, 1.30E-02, 2.02E-01, 2.83E+04
 2.50E+01, 6.03E+02,-1.71E+02, 1.12E+01,-6.20E+01, 0.00E+00, 1.26E+01,-4.32E+02,-3.68E+01,-3.74E+01, 1.32E-02, 1.74E-01, 2.90E+04
 3.00E+01, 5.81E+02,-1.58E+02, 1.08E+01,-5.62E+01, 0.00E+00, 2.29E+01,-3.93E+02, 7.99E+00, 7.33E+00, 1.28E-02, 1.57E-01, 3.02E+04
 3.50E+01, 6.02E+02,-1.54E+02, 1.12E+01,-5.45E+01, 0.00E+00, 3.58E+01,-3.85E+02, 5.66E+01, 5.59E+01, 1.32E-02, 1.54E-01, 3.21E+04
 4.00E+01, 6.09E+02,-1.50E+02, 1.15E+01,-5.73E+01, 0.00E+00, 3.93E+01,-3.82E+02, 7.04E+01, 7.01E+01, 1.32E-02, 1.52E-01, 3.41E+04
 4.50E+01, 6.07E+02,-1.43E+02, 1.22E+01,-5.96E+01, 0.00E+00, 3.77E+01,-3.92E+02, 6.27E+01, 6.24E+01, 1.32E-02, 1.55E-01, 3.61E+04
 5.00E+01, 5.97E+02,-1.38E+02, 1.29E+01,-5.80E+01, 0.00E+00, 3.37E+01,-4.01E+02, 4.74E+01, 4.69E+01, 1.31E-02, 1.58E-01, 3.78E+04
 5.50E+01, 5.94E+02,-1.33E+02, 1.29E+01,-6.08E+01, 0.00E+00, 3.61E+01,-3.92E+02, 5.73E+01, 5.68E+01, 1.30E-02, 1.54E-01, 3.97E+04
 6.00E+01, 5.87E+02,-1.24E+02, 1.31E+01,-6.32E+01, 0.00E+00, 3.58E+01,-3.91E+02, 5.75E+01, 5.73E+01, 1.32E-02, 1.53E-01, 4.16E+04
 6.50E+01, 5.44E+02,-1.08E+02, 1.37E+01,-6.06E+01, 0.00E+00, 2.42E+01,-4.01E+02, 1.35E+01, 1.30E+01, 1.30E-02, 1.56E-01, 4.28E+04
