s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1
 1.70E+02, 0.00E+00, 1.06E+01, 2.63E+00, 1.82E+01, 0.00E+00,-9.29E-01,-3.89E+01,-8.31E+00,-8.31E+00, 0.00E+00, 2.28E-02, 0.00E+00, 5.76E-03, 2.67E+04
 1.75E+02, 0.00E+00, 1.06E+01, 2.60E+00, 1.79E+01, 0.00E+00,-8.39E-01,-3.82E+01,-7.82E+00,-7.82E+00, 0.00E+00, 2.31E-02, 0.00E+00, 5.39E-03, 2.67E+04
 1.80E+02, 0.00E+00, 1.06E+01, 2.51E+00, 1.71E+01, 0.00E+00,-7.72E-01,-3.69E+01,-7.43E+00,-7.43E+00, 0.00E+00, 2.31E-02, 0.00E+00, 5.13E-03, 2.66E+04
 1.85E+02, 0.00E+00, 1.06E+01, 2.46E+00, 1.66E+01, 0.00E+00,-6.66E-01,-3.58E+01,-6.87E+00,-6.87E+00, 0.00E+00, 2.26E-02, 0.00E+00, 4.86E-03, 2.66E+04
 1.90E+02, 0.00E+00, 1.06E+01, 2.40E+00, 1.64E+01, 0.00E+00,-4.73E-01,-3.49E+01,-6.00E+00,-5.99E+00, 0.00E+00, 2.27E-02, 0.00E+00, 4.51E-03, 2.66E+04
 1.95E+02, 0.00E+00, 1.06E+01, 2.40E+00, 1.53E+01, 0.00E+00,-4.32E-01,-3.36E+01,-5.75E+00,-5.75E+00, 0.00E+00, 2.24E-02, 0.00E+00, 4.33E-03, 2.66E+04
 2.00E+02, 0.00E+00, 1.06E+01, 2.32E+00, 1.50E+01, 0.00E+00,-5.28E-01,-3.33E+01,-5.91E+00,-5.91E+00, 0.00E+00, 2.24E-02, 0.00E+00, 3.97E-03, 2.65E+04
 2.05E+02, 0.00E+00, 1.06E+01, 2.30E+00, 1.44E+01, 0.00E+00,-4.24E-01,-3.24E+01,-5.48E+00,-5.48E+00, 0.00E+00, 2.24E-02, 0.00E+00, 3.85E-03, 2.65E+04
 2.10E+02, 0.00E+00, 1.05E+01, 2.28E+00, 1.35E+01, 0.00E+00,-4.28E-01,-3.11E+01,-5.31E+00,-5.32E+00, 0.00E+00, 2.16E-02, 0.00E+00, 3.63E-03, 2.65E+04
 2.15E+02, 0.00E+00, 1.04E+01, 2.25E+00, 1.35E+01, 0.00E+00,-3.87E-01,-3.09E+01,-5.06E+00,-5.06E+00, 0.00E+00, 2.18E-02, 0.00E+00, 3.41E-03, 2.65E+04
 2.20E+02, 0.00E+00, 1.05E+01, 2.22E+00, 1.35E+01, 0.00E+00,-2.43E-01,-3.03E+01,-4.34E+00,-4.34E+00, 0.00E+00, 2.10E-02, 0.00E+00, 3.14E-03, 2.65E+04
 2.25E+02, 0.00E+00, 1.04E+01, 2.19E+00, 1.29E+01, 0.00E+00,-2.08E-01,-2.94E+01,-4.13E+00,-4.13E+00, 0.00E+00, 2.10E-02, 0.00E+00, 3.01E-03, 2.64E+04
