s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1
-6.00E+01, 0.00E+00,-5.18E-04, 9.58E-08, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00,-5.18E-04, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00,-5.91E-01
-5.50E+01, 1.00E+03,-3.69E+02, 2.77E+00,-4.79E+01, 0.00E+00, 2.29E+02,-5.98E+00, 8.08E+02, 8.10E+02, 0.00E+00, 2.45E-02, 0.00E+00, 0.00E+00, 1.19E+04
-5.00E+01, 1.16E+03,-4.38E+02, 2.86E+00,-9.86E+01, 0.00E+00, 2.47E+02,-6.88E+00, 8.68E+02, 8.64E+02, 0.00E+00, 2.50E-02, 0.00E+00, 0.00E+00, 2.48E+04
-4.50E+01, 1.14E+03,-4.66E+02, 2.84E+00,-1.37E+02, 0.00E+00, 2.13E+02,-7.08E+00, 7.53E+02, 7.49E+02, 0.00E+00, 2.49E-02, 0.00E+00, 0.00E+00, 3.59E+04
-4.00E+01, 1.17E+03,-5.20E+02, 2.91E+00,-1.82E+02, 0.00E+00, 1.81E+02,-7.27E+00, 6.45E+02, 6.40E+02, 0.00E+00, 2.51E-02, 0.00E+00, 0.00E+00, 4.53E+04
-3.50E+01, 1.14E+03,-5.57E+02, 2.95E+00,-2.13E+02, 0.00E+00, 1.43E+02,-7.46E+00, 5.15E+02, 5.12E+02, 0.00E+00, 2.52E-02, 0.00E+00, 0.00E+00, 5.27E+04
-3.00E+01, 1.14E+03,-6.05E+02, 2.89E+00,-2.44E+02, 0.00E+00, 1.12E+02,-7.43E+00, 4.02E+02, 3.97E+02, 0.00E+00, 2.48E-02, 0.00E+00, 0.00E+00, 5.86E+04
-2.50E+01, 1.17E+03,-6.55E+02, 3.00E+00,-2.62E+02, 0.00E+00, 9.46E+01,-7.70E+00, 3.42E+02, 3.40E+02, 0.00E+00, 2.52E-02, 0.00E+00, 0.00E+00, 6.35E+04
-2.00E+01, 1.17E+03,-6.94E+02, 3.03E+00,-2.81E+02, 0.00E+00, 7.33E+01,-7.76E+00, 2.65E+02, 2.60E+02, 0.00E+00, 2.53E-02, 0.00E+00, 0.00E+00, 6.73E+04
-1.50E+01, 1.17E+03,-7.22E+02, 2.97E+00,-2.91E+02, 0.00E+00, 6.15E+01,-7.72E+00, 2.22E+02, 2.17E+02, 0.00E+00, 2.51E-02, 0.00E+00, 0.00E+00, 7.05E+04
-9.98E+00, 1.17E+03,-7.43E+02, 2.95E+00,-2.98E+02, 0.00E+00, 5.07E+01,-7.75E+00, 1.83E+02, 1.78E+02, 0.00E+00, 2.52E-02, 0.00E+00, 0.00E+00, 7.32E+04
-4.98E+00, 1.12E+03,-7.41E+02, 2.97E+00,-3.04E+02, 0.00E+00, 2.75E+01,-7.75E+00, 9.89E+01, 9.42E+01, 0.00E+00, 2.50E-02, 0.00E+00, 0.00E+00, 7.46E+04
 1.02E-02, 1.15E+03,-7.60E+02, 3.01E+00,-3.03E+02, 0.00E+00, 3.15E+01,-7.75E+00, 1.12E+02, 1.09E+02, 0.00E+00, 2.51E-02, 0.00E+00, 0.00E+00, 7.63E+04
 5.00E+00, 1.17E+03,-5.75E+02, 5.05E+01,-2.98E+02, 0.00E+00,-3.97E+02,-1.75E+03,-1.80E+03,-1.80E+03, 0.00E+00, 2.51E-02, 0.00E+00, 6.56E-01, 5.56E+04
 1.00E+01, 1.10E+03,-3.20E+02, 3.59E+01,-1.73E+02, 0.00E+00,-1.53E+02,-1.28E+03,-7.92E+02,-7.91E+02, 0.00E+00, 2.48E-02, 0.00E+00, 4.65E-01, 4.77E+04
 1.50E+01, 1.10E+03,-2.39E+02, 3.02E+01,-1.04E+02, 0.00E+00,-2.07E+01,-1.02E+03,-2.56E+02,-2.56E+02, 0.00E+00, 2.51E-02, 0.00E+00, 3.55E-01, 4.66E+04
 2.00E+01, 7.30E+02,-1.50E+02, 2.67E+01,-7.78E+01, 0.00E+00,-7.00E+01,-8.69E+02,-4.10E+02,-4.10E+02, 0.00E+00, 2.49E-02, 0.00E+00, 2.92E-01, 4.29E+04
 2.50E+01, 5.77E+01,-2.49E+01, 1.46E+01,-2.67E+01, 0.00E+00,-1.54E+02,-5.03E+02,-6.37E+02,-6.36E+02, 0.00E+00, 2.44E-02, 0.00E+00, 1.43E-01, 3.49E+04
 3.00E+01, 1.54E-01,-3.71E+00, 6.57E+00, 2.73E+00, 0.00E+00,-7.60E+01,-2.26E+02,-2.97E+02,-2.97E+02, 0.00E+00, 2.41E-02, 0.00E+00, 3.75E-02, 3.10E+04
 3.50E+01, 0.00E+00, 3.08E+00, 5.55E+00, 2.06E+01, 0.00E+00,-5.04E+01,-1.77E+02,-1.98E+02,-1.98E+02, 0.00E+00, 2.36E-02, 0.00E+00, 2.68E-02, 2.83E+04
 4.00E+01, 0.00E+00, 7.11E+00, 5.06E+00, 3.41E+01, 0.00E+00,-3.61E+01,-1.55E+02,-1.45E+02,-1.45E+02, 0.00E+00, 2.46E-02, 0.00E+00, 2.38E-02, 2.65E+04
 4.50E+01, 0.00E+00, 1.01E+01, 4.61E+00, 4.16E+01, 0.00E+00,-2.59E+01,-1.37E+02,-1.07E+02,-1.07E+02, 0.00E+00, 2.39E-02, 0.00E+00, 2.10E-02, 2.51E+04
 5.00E+01, 0.00E+00, 1.20E+01, 4.20E+00, 4.66E+01, 0.00E+00,-1.91E+01,-1.24E+02,-8.07E+01,-8.07E+01, 0.00E+00, 2.32E-02, 0.00E+00, 1.87E-02, 2.41E+04
 5.50E+01, 0.00E+00, 1.32E+01, 3.94E+00, 4.82E+01, 0.00E+00,-1.40E+01,-1.13E+02,-6.13E+01,-6.13E+01, 0.00E+00, 2.22E-02, 0.00E+00, 1.67E-02, 2.34E+04
 6.00E+01, 0.00E+00, 1.42E+01, 3.65E+00, 4.93E+01, 0.00E+00,-1.02E+01,-1.03E+02,-4.65E+01,-4.64E+01, 0.00E+00, 2.23E-02, 0.00E+00, 1.49E-02, 2.28E+04
 6.50E+01, 0.00E+00, 1.48E+01, 3.36E+00, 4.93E+01, 0.00E+00,-7.62E+00,-9.63E+01,-3.65E+01,-3.64E+01, 0.00E+00, 2.33E-02, 0.00E+00, 1.33E-02, 2.25E+04
 7.00E+01, 0.00E+00, 1.51E+01, 3.09E+00, 4.91E+01, 0.00E+00,-5.69E+00,-9.04E+01,-2.88E+01,-2.88E+01, 0.00E+00, 2.47E-02, 0.00E+00, 1.17E-02, 2.22E+04
 7.50E+01, 0.00E+00, 1.53E+01, 2.91E+00, 4.86E+01, 0.00E+00,-4.12E+00,-8.51E+01,-2.25E+01,-2.24E+01, 0.00E+00, 2.38E-02, 0.00E+00, 1.06E-02, 2.19E+04
 8.00E+01, 0.00E+00, 1.54E+01, 2.70E+00, 4.72E+01, 0.00E+00,-3.18E+00,-8.07E+01,-1.86E+01,-1.86E+01, 0.00E+00, 2.41E-02, 0.00E+00, 9.66E-03, 2.18E+04
 8.50E+01, 0.00E+00, 1.55E+01, 2.62E+00, 4.69E+01, 0.00E+00,-2.25E+00,-7.75E+01,-1.48E+01,-1.48E+01, 0.00E+00, 2.35E-02, 0.00E+00, 8.89E-03, 2.17E+04
 9.00E+01, 0.00E+00, 1.55E+01, 2.55E+00, 4.47E+01, 0.00E+00,-1.54E+00,-7.28E+01,-1.16E+01,-1.16E+01, 0.00E+00, 2.13E-02, 0.00E+00, 8.21E-03, 2.16E+04
 9.50E+01, 0.00E+00, 1.54E+01, 2.43E+00, 4.51E+01, 0.00E+00,-1.38E+00,-7.25E+01,-1.10E+01,-1.09E+01, 0.00E+00, 2.39E-02, 0.00E+00, 7.48E-03, 2.15E+04
 1.00E+02, 0.00E+00, 1.52E+01, 2.24E+00, 4.42E+01, 0.00E+00,-1.06E+00,-7.03E+01,-9.66E+00,-9.64E+00, 0.00E+00, 2.48E-02, 0.00E+00, 7.04E-03, 2.14E+04
 1.05E+02, 0.00E+00, 1.52E+01, 2.20E+00, 4.29E+01, 0.00E+00,-5.31E-01,-6.71E+01,-7.34E+00,-7.31E+00, 0.00E+00, 2.34E-02, 0.00E+00, 6.55E-03, 2.14E+04
 1.10E+02, 0.00E+00, 1.51E+01, 2.14E+00, 4.27E+01, 0.00E+00,-4.37E-01,-6.62E+01,-6.70E+00,-6.67E+00, 0.00E+00, 2.31E-02, 0.00E+00, 5.99E-03, 2.14E+04
 1.15E+02, 0.00E+00, 1.50E+01, 2.08E+00, 4.14E+01, 0.00E+00,-6.88E-02,-6.36E+01,-5.14E+00,-5.13E+00, 0.00E+00, 2.33E-02, 0.00E+00, 5.61E-03, 2.14E+04
 1.20E+02, 0.00E+00, 1.49E+01, 2.00E+00, 4.03E+01, 0.00E+00,-1.62E-01,-6.25E+01,-5.40E+00,-5.38E+00, 0.00E+00, 2.43E-02, 0.00E+00, 5.12E-03, 2.14E+04
 1.25E+02, 0.00E+00, 1.48E+01, 1.90E+00, 3.94E+01, 0.00E+00,-1.83E-01,-6.11E+01,-5.21E+00,-5.19E+00, 0.00E+00, 2.42E-02, 0.00E+00, 4.67E-03, 2.14E+04
 1.30E+02, 0.00E+00, 1.47E+01, 1.92E+00, 3.83E+01, 0.00E+00, 2.01E-02,-5.91E+01,-4.23E+00,-4.21E+00, 0.00E+00, 2.34E-02, 0.00E+00, 4.34E-03, 2.14E+04
 1.35E+02, 0.00E+00, 1.47E+01, 1.83E+00, 3.67E+01, 0.00E+00,-1.37E-01,-5.77E+01,-4.61E+00,-4.59E+00, 0.00E+00, 2.37E-02, 0.00E+00, 3.87E-03, 2.14E+04
 1.40E+02, 0.00E+00, 1.45E+01, 1.80E+00, 3.62E+01, 0.00E+00,-1.08E-01,-5.66E+01,-4.30E+00,-4.28E+00, 0.00E+00, 2.33E-02, 0.00E+00, 3.51E-03, 2.14E+04
 1.45E+02, 0.00E+00, 1.44E+01, 1.82E+00, 3.52E+01, 0.00E+00, 1.16E-01,-5.47E+01,-3.23E+00,-3.21E+00, 0.00E+00, 2.27E-02, 0.00E+00, 3.19E-03, 2.14E+04
 1.50E+02, 0.00E+00, 1.42E+01, 1.78E+00, 3.47E+01, 0.00E+00, 1.85E-01,-5.36E+01,-2.75E+00,-2.73E+00, 0.00E+00, 2.18E-02, 0.00E+00, 2.85E-03, 2.14E+04
 1.55E+02, 0.00E+00, 1.41E+01, 1.69E+00, 3.36E+01, 0.00E+00, 1.21E-02,-5.27E+01,-3.37E+00,-3.35E+00, 0.00E+00, 2.29E-02, 0.00E+00, 2.57E-03, 2.14E+04
 1.60E+02, 0.00E+00, 1.39E+01, 1.65E+00, 3.30E+01, 0.00E+00,-1.08E-01,-5.22E+01,-3.76E+00,-3.74E+00, 0.00E+00, 2.40E-02, 0.00E+00, 2.28E-03, 2.14E+04
 1.65E+02, 0.00E+00, 1.39E+01, 1.63E+00, 3.17E+01, 0.00E+00,-1.46E-01,-5.08E+01,-3.73E+00,-3.71E+00, 0.00E+00, 2.37E-02, 0.00E+00, 2.02E-03, 2.14E+04
