s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1
-6.00E+01, 0.00E+00,-5.18E-04, 9.58E-08, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00,-5.18E-04, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00,-5.91E-01
-5.50E+01, 2.68E+02,-1.03E+02, 7.59E-01,-1.82E+01, 0.00E+00, 5.81E+01,-1.57E+00, 2.03E+02, 2.04E+02, 0.00E+00, 6.26E-03, 0.00E+00, 0.00E+00, 3.01E+03
-5.00E+01, 2.97E+02,-1.14E+02, 7.85E-01,-3.51E+01, 0.00E+00, 5.97E+01,-1.69E+00, 2.08E+02, 2.06E+02, 0.00E+00, 6.44E-03, 0.00E+00, 0.00E+00, 6.11E+03
-4.50E+01, 2.96E+02,-1.17E+02, 7.76E-01,-3.77E+01, 0.00E+00, 5.73E+01,-1.71E+00, 1.99E+02, 1.98E+02, 0.00E+00, 6.39E-03, 0.00E+00, 0.00E+00, 9.10E+03
-4.00E+01, 2.95E+02,-1.19E+02, 7.84E-01,-4.54E+01, 0.00E+00, 5.24E+01,-1.72E+00, 1.83E+02, 1.81E+02, 0.00E+00, 6.43E-03, 0.00E+00, 0.00E+00, 1.18E+04
-3.50E+01, 2.94E+02,-1.23E+02, 7.71E-01,-5.10E+01, 0.00E+00, 4.86E+01,-1.74E+00, 1.69E+02, 1.68E+02, 0.00E+00, 6.45E-03, 0.00E+00, 0.00E+00, 1.44E+04
-3.00E+01, 2.95E+02,-1.27E+02, 7.71E-01,-5.73E+01, 0.00E+00, 4.45E+01,-1.73E+00, 1.55E+02, 1.54E+02, 0.00E+00, 6.37E-03, 0.00E+00, 0.00E+00, 1.67E+04
-2.50E+01, 2.97E+02,-1.33E+02, 7.78E-01,-6.39E+01, 0.00E+00, 4.06E+01,-1.79E+00, 1.42E+02, 1.40E+02, 0.00E+00, 6.46E-03, 0.00E+00, 0.00E+00, 1.88E+04
-2.00E+01, 2.97E+02,-1.37E+02, 7.87E-01,-6.97E+01, 0.00E+00, 3.64E+01,-1.82E+00, 1.27E+02, 1.26E+02, 0.00E+00, 6.50E-03, 0.00E+00, 0.00E+00, 2.07E+04
-1.50E+01, 2.95E+02,-1.40E+02, 7.78E-01,-7.46E+01, 0.00E+00, 3.26E+01,-1.82E+00, 1.14E+02, 1.12E+02, 0.00E+00, 6.44E-03, 0.00E+00, 0.00E+00, 2.24E+04
-9.99E+00, 2.94E+02,-1.43E+02, 7.69E-01,-7.85E+01, 0.00E+00, 2.95E+01,-1.86E+00, 1.03E+02, 1.01E+02, 0.00E+00, 6.48E-03, 0.00E+00, 0.00E+00, 2.39E+04
-4.99E+00, 2.96E+02,-1.47E+02, 7.93E-01,-8.33E+01, 0.00E+00, 2.64E+01,-1.85E+00, 9.18E+01, 9.05E+01, 0.00E+00, 6.43E-03, 0.00E+00, 0.00E+00, 2.53E+04
 2.89E-03, 2.93E+02,-1.50E+02, 7.71E-01,-8.72E+01, 0.00E+00, 2.30E+01,-1.85E+00, 7.98E+01, 7.82E+01, 0.00E+00, 6.42E-03, 0.00E+00, 0.00E+00, 2.65E+04
 5.00E+00, 2.97E+02,-1.40E+02, 4.56E+00,-9.13E+01, 0.00E+00,-1.03E+02,-4.05E+02,-4.37E+02,-4.38E+02, 0.00E+00, 6.50E-03, 0.00E+00, 1.44E-01, 2.11E+04
 1.00E+01, 2.87E+02,-1.14E+02, 3.78E+00,-6.89E+01, 0.00E+00,-6.01E+01,-3.15E+02,-2.68E+02,-2.68E+02, 0.00E+00, 6.35E-03, 0.00E+00, 1.09E-01, 1.80E+04
 1.50E+01, 2.89E+02,-1.07E+02, 3.16E+00,-6.08E+01, 0.00E+00,-2.71E+01,-2.33E+02,-1.35E+02,-1.35E+02, 0.00E+00, 6.34E-03, 0.00E+00, 7.74E-02, 1.66E+04
 2.00E+01, 2.95E+02,-1.05E+02, 2.96E+00,-5.25E+01, 0.00E+00,-8.69E+00,-1.94E+02,-6.20E+01,-6.21E+01, 0.00E+00, 6.48E-03, 0.00E+00, 6.05E-02, 1.61E+04
 2.50E+01, 2.89E+02,-1.01E+02, 2.88E+00,-4.83E+01, 0.00E+00,-2.67E+00,-1.77E+02,-3.69E+01,-3.71E+01, 0.00E+00, 6.45E-03, 0.00E+00, 5.27E-02, 1.60E+04
 3.00E+01, 2.95E+02,-1.01E+02, 2.87E+00,-4.59E+01, 0.00E+00, 4.31E+00,-1.65E+02,-1.02E+01,-1.04E+01, 0.00E+00, 6.45E-03, 0.00E+00, 4.73E-02, 1.62E+04
 3.50E+01, 2.89E+02,-9.84E+01, 2.87E+00,-4.30E+01, 0.00E+00, 6.94E+00,-1.55E+02, 2.11E+00, 1.92E+00, 0.00E+00, 6.43E-03, 0.00E+00, 4.25E-02, 1.66E+04
 4.00E+01, 2.96E+02,-1.00E+02, 2.89E+00,-4.31E+01, 0.00E+00, 9.40E+00,-1.53E+02, 1.21E+01, 1.19E+01, 0.00E+00, 6.43E-03, 0.00E+00, 3.98E-02, 1.71E+04
 4.50E+01, 2.90E+02,-9.87E+01, 2.93E+00,-4.30E+01, 0.00E+00, 9.19E+00,-1.49E+02, 1.16E+01, 1.13E+01, 0.00E+00, 6.38E-03, 0.00E+00, 3.85E-02, 1.76E+04
 5.00E+01, 2.94E+02,-9.99E+01, 2.97E+00,-4.18E+01, 0.00E+00, 1.12E+01,-1.47E+02, 1.99E+01, 1.97E+01, 0.00E+00, 6.53E-03, 0.00E+00, 3.66E-02, 1.81E+04
 5.50E+01, 2.88E+02,-9.82E+01, 2.97E+00,-4.32E+01, 0.00E+00, 8.81E+00,-1.46E+02, 1.21E+01, 1.19E+01, 0.00E+00, 6.38E-03, 0.00E+00, 3.55E-02, 1.86E+04
 6.00E+01, 2.90E+02,-9.82E+01, 3.02E+00,-4.26E+01, 0.00E+00, 9.76E+00,-1.46E+02, 1.61E+01, 1.58E+01, 0.00E+00, 6.40E-03, 0.00E+00, 3.45E-02, 1.91E+04
 6.50E+01, 2.91E+02,-9.81E+01, 3.04E+00,-4.09E+01, 0.00E+00, 1.06E+01,-1.47E+02, 1.92E+01, 1.91E+01, 0.00E+00, 6.41E-03, 0.00E+00, 3.38E-02, 1.97E+04
 7.00E+01, 2.88E+02,-9.79E+01, 3.12E+00,-4.28E+01, 0.00E+00, 8.76E+00,-1.46E+02, 1.30E+01, 1.28E+01, 0.00E+00, 6.37E-03, 0.00E+00, 3.34E-02, 2.01E+04
 7.50E+01, 2.91E+02,-9.79E+01, 3.10E+00,-4.21E+01, 0.00E+00, 1.03E+01,-1.45E+02, 1.87E+01, 1.85E+01, 0.00E+00, 6.38E-03, 0.00E+00, 3.22E-02, 2.06E+04
 8.00E+01, 2.92E+02,-9.88E+01, 3.25E+00,-4.29E+01, 0.00E+00, 8.23E+00,-1.51E+02, 1.14E+01, 1.12E+01, 0.00E+00, 6.44E-03, 0.00E+00, 3.36E-02, 2.11E+04
 8.50E+01, 2.95E+02,-9.97E+01, 3.19E+00,-4.23E+01, 0.00E+00, 1.06E+01,-1.47E+02, 2.00E+01, 1.98E+01, 0.00E+00, 6.49E-03, 0.00E+00, 3.17E-02, 2.16E+04
 9.00E+01, 2.90E+02,-9.78E+01, 3.32E+00,-4.19E+01, 0.00E+00, 8.05E+00,-1.52E+02, 1.04E+01, 1.02E+01, 0.00E+00, 6.38E-03, 0.00E+00, 3.29E-02, 2.21E+04
 9.50E+01, 2.88E+02,-9.61E+01, 3.28E+00,-4.11E+01, 0.00E+00, 8.77E+00,-1.48E+02, 1.45E+01, 1.44E+01, 0.00E+00, 6.45E-03, 0.00E+00, 3.10E-02, 2.25E+04
 1.00E+02, 2.97E+02,-9.94E+01, 3.31E+00,-4.24E+01, 0.00E+00, 1.02E+01,-1.50E+02, 1.93E+01, 1.91E+01, 0.00E+00, 6.43E-03, 0.00E+00, 3.09E-02, 2.30E+04
 1.05E+02, 2.86E+02,-9.66E+01, 3.35E+00,-4.20E+01, 0.00E+00, 6.67E+00,-1.52E+02, 6.63E+00, 6.47E+00, 0.00E+00, 6.39E-03, 0.00E+00, 3.11E-02, 2.34E+04
 1.10E+02, 2.92E+02,-9.69E+01, 3.48E+00,-3.98E+01, 0.00E+00, 7.91E+00,-1.57E+02, 1.05E+01, 1.04E+01, 0.00E+00, 6.43E-03, 0.00E+00, 3.24E-02, 2.38E+04
 1.15E+02, 2.89E+02,-9.61E+01, 3.35E+00,-4.17E+01, 0.00E+00, 7.88E+00,-1.51E+02, 1.19E+01, 1.17E+01, 0.00E+00, 6.46E-03, 0.00E+00, 2.96E-02, 2.42E+04
 1.20E+02, 2.91E+02,-9.54E+01, 3.33E+00,-4.22E+01, 0.00E+00, 9.67E+00,-1.48E+02, 1.86E+01, 1.84E+01, 0.00E+00, 6.42E-03, 0.00E+00, 2.82E-02, 2.47E+04
 1.25E+02, 2.94E+02,-9.69E+01, 3.39E+00,-4.25E+01, 0.00E+00, 9.24E+00,-1.50E+02, 1.71E+01, 1.70E+01, 0.00E+00, 6.42E-03, 0.00E+00, 2.88E-02, 2.52E+04
 1.30E+02, 2.89E+02,-9.47E+01, 3.42E+00,-4.24E+01, 0.00E+00, 7.30E+00,-1.53E+02, 9.91E+00, 9.66E+00, 0.00E+00, 6.40E-03, 0.00E+00, 2.91E-02, 2.56E+04
 1.35E+02, 2.96E+02,-9.61E+01, 3.52E+00,-4.22E+01, 0.00E+00, 8.43E+00,-1.56E+02, 1.33E+01, 1.31E+01, 0.00E+00, 6.47E-03, 0.00E+00, 3.01E-02, 2.60E+04
 1.40E+02, 2.92E+02,-9.37E+01, 3.47E+00,-4.21E+01, 0.00E+00, 7.51E+00,-1.57E+02, 1.04E+01, 1.02E+01, 0.00E+00, 6.41E-03, 0.00E+00, 2.90E-02, 2.64E+04
 1.45E+02, 2.93E+02,-9.40E+01, 3.49E+00,-4.13E+01, 0.00E+00, 8.17E+00,-1.56E+02, 1.34E+01, 1.34E+01, 0.00E+00, 6.48E-03, 0.00E+00, 2.90E-02, 2.68E+04
 1.50E+02, 2.90E+02,-9.24E+01, 3.40E+00,-4.28E+01, 0.00E+00, 7.46E+00,-1.54E+02, 1.11E+01, 1.09E+01, 0.00E+00, 6.39E-03, 0.00E+00, 2.78E-02, 2.72E+04
 1.55E+02, 2.99E+02,-9.44E+01, 3.50E+00,-4.33E+01, 0.00E+00, 1.02E+01,-1.54E+02, 2.11E+01, 2.08E+01, 0.00E+00, 6.48E-03, 0.00E+00, 2.78E-02, 2.78E+04
 1.60E+02, 2.96E+02,-9.20E+01, 3.44E+00,-4.40E+01, 0.00E+00, 9.02E+00,-1.55E+02, 1.71E+01, 1.69E+01, 0.00E+00, 6.48E-03, 0.00E+00, 2.72E-02, 2.82E+04
 1.65E+02, 2.91E+02,-9.06E+01, 3.48E+00,-4.29E+01, 0.00E+00, 7.59E+00,-1.57E+02, 1.19E+01, 1.17E+01, 0.00E+00, 6.44E-03, 0.00E+00, 2.73E-02, 2.86E+04
