s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,MLR_WATER VAPOR
-6.00E+01, 0.00E+00,-5.01E-04, 9.58E-08, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00,-5.01E-04, 0.00E+00, 0.00E+00, 0.00E+00, 0.00E+00
-5.50E+01, 2.66E+02,-9.97E+01, 3.36E+00,-1.14E+01, 3.36E-11, 0.00E+00,-1.68E+00, 1.54E+02, 1.56E+02, 4.30E-01, 6.26E-03, 1.05E-10, 0.00E+00
-5.00E+01, 2.87E+02,-1.06E+02, 5.92E-01,-2.24E+01, 9.04E-07, 0.00E+00,-1.76E+00, 1.58E+02, 1.57E+02, 5.02E-01, 6.42E-03, 2.79E-06, 0.00E+00
-4.50E+01, 2.89E+02,-1.09E+02,-9.07E+00,-2.53E+01, 3.74E-06, 0.00E+00,-1.74E+00, 1.44E+02, 1.44E+02, 5.02E-01, 6.40E-03, 1.16E-05, 0.00E+00
-4.00E+01, 2.88E+02,-1.11E+02,-1.84E+01,-3.16E+01, 8.74E-06, 0.00E+00,-1.78E+00, 1.26E+02, 1.26E+02, 5.02E-01, 6.44E-03, 2.70E-05, 0.00E+00
-3.50E+01, 2.88E+02,-1.14E+02,-3.37E+01,-3.61E+01, 4.95E-06, 0.00E+00,-1.78E+00, 1.04E+02, 1.03E+02, 5.02E-01, 6.45E-03, 1.54E-05, 0.00E+00
-3.00E+01, 2.90E+02,-1.17E+02,-4.13E+01,-3.97E+01, 1.28E-05, 0.00E+00,-1.73E+00, 9.06E+01, 8.99E+01, 5.02E-01, 6.37E-03, 4.00E-05, 0.00E+00
-2.50E+01, 2.88E+02,-1.20E+02,-5.12E+01,-4.29E+01, 1.20E-05, 0.00E+00,-1.76E+00, 7.36E+01, 7.28E+01, 5.02E-01, 6.47E-03, 3.74E-05, 0.00E+00
-2.00E+01, 2.92E+02,-1.24E+02,-5.77E+01,-4.73E+01, 1.57E-05, 0.00E+00,-1.77E+00, 6.19E+01, 6.10E+01, 5.02E-01, 6.50E-03, 4.88E-05, 0.00E+00
-1.50E+01, 2.91E+02,-1.26E+02,-6.65E+01,-4.97E+01, 1.74E-05, 0.00E+00,-1.74E+00, 4.77E+01, 4.68E+01, 5.02E-01, 6.44E-03, 5.37E-05, 0.00E+00
-9.99E+00, 2.91E+02,-1.28E+02,-7.14E+01,-5.16E+01, 2.02E-05, 0.00E+00,-1.76E+00, 3.86E+01, 3.76E+01, 5.02E-01, 6.47E-03, 6.27E-05, 0.00E+00
-4.99E+00, 2.89E+02,-1.29E+02,-7.37E+01,-5.33E+01, 1.93E-05, 0.00E+00,-1.74E+00, 3.13E+01, 3.06E+01, 5.02E-01, 6.43E-03, 5.96E-05, 0.00E+00
 7.47E-04, 2.91E+02,-1.32E+02,-8.02E+01,-5.45E+01, 2.37E-05, 0.00E+00,-1.77E+00, 2.33E+01, 2.23E+01, 5.02E-01, 6.43E-03, 7.32E-05, 0.00E+00
 5.00E+00, 2.89E+02,-1.18E+02,-2.10E+01,-5.64E+01, 9.57E-04, 0.00E+00,-4.41E+02,-3.46E+02,-3.47E+02, 5.01E-01, 6.39E-03, 6.87E-04, 1.74E-01
 1.00E+01, 2.91E+02,-9.80E+01,-5.54E+00,-3.07E+01, 2.08E-03, 0.00E+00,-3.30E+02,-1.73E+02,-1.73E+02, 5.00E-01, 6.47E-03, 1.22E-03, 1.29E-01
