s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C
Time,"TC_23","TC_20","TC_17","TC_14","TC_3","TC_22","TC_19","TC_16","TC_13","TC_11","TC_2","TC_21","TC_18","TC_15","TC_12","TC_10","TC_1","HF_10","HF_5","HF_9","HF_7","HF_4","HF_2","HF_8","HF_6","HF_3","HF_1","TC_32","TC_31","TC_30","TC_29","TC_28","TC_37","TC_36","TC_35","TC_34","TC_33"
 0.0000000E+000, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001,-2.2172165E-006,-1.1819773E-006,-3.0421937E-006,-2.1416649E-006,-1.5417533E-006,-9.3553876E-007,-5.3349030E-006,-3.7346109E-006,-2.7972561E-006,-1.9713111E-006, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001
 1.0009414E+001, 4.0011673E+001, 4.0000135E+001, 4.0000072E+001, 4.0000037E+001, 4.0000000E+001, 4.0036374E+001, 4.0000203E+001, 4.0000102E+001, 4.0000063E+001, 4.0000017E+001, 4.0000009E+001, 4.0025535E+001, 4.0000142E+001, 4.0000069E+001, 4.0000042E+001, 4.0000022E+001, 3.9999993E+001, 5.9146966E-005, 2.7752881E-005, 9.9760735E-005, 6.3556502E-005, 4.2080852E-005, 2.1764199E-005, 1.0861551E-004, 6.3507191E-005, 3.8996867E-005, 1.8664852E-005, 4.0106671E+001, 4.0120849E+001, 4.0333228E+001, 4.0708049E+001, 4.0794131E+001, 4.0109994E+001, 4.0136555E+001, 4.0386516E+001, 4.0629778E+001, 4.0697362E+001
 2.0003514E+001, 4.1929696E+001, 4.0009514E+001, 4.0007065E+001, 4.0005810E+001, 4.0000794E+001, 4.2105541E+001, 4.0014931E+001, 4.0017583E+001, 4.0012757E+001, 4.0010213E+001, 4.0000932E+001, 4.1627848E+001, 4.0218898E+001, 4.0210665E+001, 4.0199922E+001, 4.0081652E+001, 4.0016768E+001, 1.0142857E-002, 6.9460425E-003, 1.4454238E-002, 1.3319501E-002, 1.1547419E-002, 9.7302991E-003, 2.6410887E-002, 2.4788831E-002, 2.4219074E-002, 1.7367546E-002, 4.7427256E+001, 4.9408115E+001, 5.2663620E+001, 5.4623313E+001, 5.4554067E+001, 4.6935448E+001, 4.8738544E+001, 5.1700678E+001, 5.2772056E+001, 5.2294685E+001
 3.0005218E+001, 5.3005005E+001, 4.0068967E+001, 4.0056457E+001, 4.0069587E+001, 4.0430657E+001, 5.4270600E+001, 4.1155788E+001, 4.1132934E+001, 4.1475639E+001, 4.1823200E+001, 4.1584690E+001, 5.1680163E+001, 4.6594990E+001, 4.6622289E+001, 4.6732984E+001, 4.6430643E+001, 4.4797965E+001, 3.1569128E-002, 2.3710283E-002, 1.0388675E-001, 1.0170855E-001, 1.0222432E-001, 1.0353359E-001, 2.8307320E-001, 2.8769653E-001, 2.8650081E-001, 2.9560555E-001, 7.5294787E+001, 8.0247347E+001, 8.6559179E+001, 8.9001575E+001, 8.8180170E+001, 7.4565109E+001, 7.9003074E+001, 8.4374317E+001, 8.4788803E+001, 8.2483547E+001
 4.0003120E+001, 7.6654997E+001, 4.0233549E+001, 4.0221186E+001, 4.0220149E+001, 4.2074958E+001, 8.0563495E+001, 5.0549911E+001, 5.0522462E+001, 5.1006676E+001, 5.0897154E+001, 4.9512107E+001, 7.2223638E+001, 6.4267400E+001, 6.4197076E+001, 6.4017702E+001, 6.4052604E+001, 6.0181917E+001, 6.8102026E-002, 4.7892933E-002, 4.9502080E-001, 4.7098644E-001, 4.7083213E-001, 4.8528388E-001, 5.5835175E-001, 5.7133730E-001, 5.9600993E-001, 6.4668806E-001, 1.2129590E+002, 1.3037138E+002, 1.3875022E+002, 1.3894081E+002, 1.3692540E+002, 1.1528437E+002, 1.2866676E+002, 1.3850812E+002, 1.3947530E+002, 1.3389729E+002
 5.0009017E+001, 1.1132801E+002, 4.0880244E+001, 4.0645843E+001, 4.0427617E+001, 4.3793139E+001, 1.2419267E+002, 6.6852665E+001, 6.5853967E+001, 6.6076681E+001, 6.7434940E+001, 6.0762302E+001, 1.0401395E+002, 8.3470181E+001, 8.3786352E+001, 8.4644598E+001, 8.6218859E+001, 8.1265723E+001, 1.2528682E-001, 7.2469773E-002, 7.9998047E-001, 6.8658074E-001, 5.9260251E-001, 5.6881906E-001, 9.2422818E-001, 9.7773846E-001, 1.0581515E+000, 1.1715764E+000, 1.4131708E+002, 1.7208530E+002, 1.9967510E+002, 1.9982126E+002, 1.9723475E+002, 1.4826704E+002, 1.8270128E+002, 1.9989896E+002, 2.0271812E+002, 1.9731259E+002
 6.0006893E+001, 1.6303273E+002, 4.3272189E+001, 4.2183313E+001, 4.1623000E+001, 4.9836651E+001, 1.8798652E+002, 9.0720634E+001, 8.9326758E+001, 8.6988209E+001, 8.5895105E+001, 7.6195412E+001, 1.5240287E+002, 1.1982465E+002, 1.2155663E+002, 1.2241035E+002, 1.2241203E+002, 1.1005357E+002, 4.6333154E-001, 2.9704123E-001, 1.8116522E+000, 1.7162121E+000, 1.6419875E+000, 1.5105602E+000, 2.1906521E+000, 2.2127117E+000, 2.2615941E+000, 2.3500978E+000, 2.2186352E+002, 2.6517054E+002, 2.8831902E+002, 2.9244686E+002, 2.9104228E+002, 2.2395735E+002, 2.6135284E+002, 2.8421220E+002, 2.8425127E+002, 2.7547976E+002
 7.0004483E+001, 3.1436698E+002, 4.7338253E+001, 4.6681400E+001, 4.5369318E+001, 6.1789106E+001, 3.4440654E+002, 1.4232731E+002, 1.3873177E+002, 1.3708178E+002, 1.3089854E+002, 1.1013305E+002, 2.6848518E+002, 1.6833176E+002, 1.7262020E+002, 1.7385385E+002, 1.7283492E+002, 1.5060796E+002, 2.1307113E+000, 1.2479836E+000, 6.1435380E+000, 5.0917839E+000, 4.3604188E+000, 3.5778266E+000, 2.9623614E+000, 2.9894663E+000, 3.0896578E+000, 3.1684843E+000, 5.4915136E+002, 5.8403661E+002, 6.0926639E+002, 6.0301650E+002, 5.9047146E+002, 4.6831677E+002, 5.5222100E+002, 6.1457612E+002, 6.2182497E+002, 6.0790939E+002
 8.0003903E+001, 4.6277686E+002, 5.9204654E+001, 5.7231489E+001, 5.0926435E+001, 7.0578275E+001, 5.1799457E+002, 2.0663000E+002, 1.9010970E+002, 1.7654619E+002, 1.6430673E+002, 1.3759203E+002, 3.7688983E+002, 1.8281585E+002, 1.8519517E+002, 1.8952888E+002, 1.9520098E+002, 1.7732100E+002, 3.1710110E+000, 1.7011939E+000, 9.3530542E+000, 7.5185185E+000, 6.1132767E+000, 4.6275553E+000, 4.8129043E+000, 4.4457360E+000, 4.3070612E+000, 4.3737480E+000, 7.0509551E+002, 7.3721210E+002, 7.7289067E+002, 7.7826881E+002, 7.7044660E+002, 5.5044471E+002, 6.6604500E+002, 7.2837531E+002, 7.4736160E+002, 7.4470199E+002
