s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C
Time,TC_23,TC_20,TC_17,TC_14,TC_3,TC_22,TC_19,TC_16,TC_13,TC_11,TC_2,TC_21,TC_18,TC_15,TC_12,TC_10,TC_1,HF_10,HF_5,HF_9,HF_7,HF_4,HF_2,HF_8,HF_6,HF_3,HF_1,TC_32,TC_31,TC_30,TC_29,TC_28,TC_37,TC_36,TC_35,TC_34,TC_33
 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001,-2.8234138E-004,-1.6341679E-004,-3.8636851E-004,-2.8031123E-004,-2.1640474E-004,-1.8164483E-004,-1.4347721E-004,-1.0252136E-004,-9.1800165E-005,-1.1848276E-004, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001
 1.0018490E+001, 2.9999972E+001, 2.9999941E+001, 2.9999948E+001, 2.9999950E+001, 2.9999977E+001, 2.9999973E+001, 2.9999950E+001, 2.9999954E+001, 2.9999955E+001, 2.9999966E+001, 2.9999981E+001, 2.9999972E+001, 2.9999962E+001, 2.9999968E+001, 2.9999977E+001, 2.9999979E+001, 2.9999982E+001,-2.3510211E-005,-1.8736535E-005,-2.0201105E-005,-1.7019598E-005,-1.4405027E-005,-9.7381838E-006,-1.8925751E-005,-1.3561475E-005,-1.0263496E-005,-7.1609521E-006, 3.0003327E+001, 3.0011888E+001, 3.0205648E+001, 3.0434772E+001, 3.0460811E+001, 3.0003699E+001, 3.0029257E+001, 3.0196958E+001, 3.0322113E+001, 3.0361970E+001
 2.0012175E+001, 3.0000863E+001, 3.0000467E+001, 3.0000206E+001, 3.0000126E+001, 2.9999986E+001, 3.0003815E+001, 3.0000338E+001, 3.0000230E+001, 3.0000140E+001, 3.0000053E+001, 3.0000012E+001, 3.0000664E+001, 3.0000235E+001, 3.0000167E+001, 3.0000143E+001, 3.0000068E+001, 2.9999970E+001, 1.1147008E-003, 4.2857209E-004, 1.0419976E-003, 7.1513491E-004, 4.7757433E-004, 2.4641567E-004, 5.0057786E-004, 3.7558255E-004, 2.7892911E-004, 1.6693166E-004, 3.3644567E+001, 3.5070952E+001, 3.7322029E+001, 3.8648521E+001, 3.8275176E+001, 3.5083380E+001, 3.6442453E+001, 3.8352370E+001, 3.9099878E+001, 3.8761073E+001
 3.0007583E+001, 3.0012968E+001, 3.0243537E+001, 3.0282014E+001, 3.0242357E+001, 3.0053938E+001, 3.1982618E+001, 3.1492873E+001, 3.1289833E+001, 3.1079374E+001, 3.0787107E+001, 3.0142430E+001, 3.2147205E+001, 3.1260429E+001, 3.1040396E+001, 3.0850232E+001, 3.0581682E+001, 3.0131443E+001, 1.3188185E-002, 1.7162556E-002, 1.0411130E-001, 9.5613368E-002, 8.6231020E-002, 6.7925730E-002, 8.6815091E-002, 7.8690162E-002, 7.1131260E-002, 5.8194083E-002, 5.4272552E+001, 5.7716548E+001, 6.1447875E+001, 6.2089085E+001, 6.0437305E+001, 6.1051802E+001, 6.4678565E+001, 6.8896236E+001, 6.8902480E+001, 6.5814503E+001
 4.0009621E+001, 3.0772613E+001, 3.1633992E+001, 3.1722302E+001, 3.1703650E+001, 3.0694653E+001, 4.1610942E+001, 3.9937006E+001, 3.9110316E+001, 3.8244417E+001, 3.6797454E+001, 3.2627729E+001, 3.9919120E+001, 3.8390462E+001, 3.7897252E+001, 3.7394641E+001, 3.6646992E+001, 3.4314525E+001, 4.4116872E-002, 4.3863673E-002, 2.1456697E-001, 2.0122885E-001, 1.9217094E-001, 1.7979892E-001, 1.5538091E-001, 1.6813012E-001, 1.7466100E-001, 1.8339686E-001, 9.3628783E+001, 1.0021895E+002, 1.0786306E+002, 1.0767470E+002, 1.0519549E+002, 1.1032270E+002, 1.1685289E+002, 1.2448951E+002, 1.2862234E+002, 1.2551710E+002
 5.0005887E+001, 3.1689375E+001, 3.2679212E+001, 3.2789427E+001, 3.3077006E+001, 3.2467071E+001, 5.8303995E+001, 5.1357303E+001, 4.9888398E+001, 4.8421755E+001, 4.5740174E+001, 3.8704194E+001, 4.7293136E+001, 4.6131321E+001, 4.6070448E+001, 4.5708744E+001, 4.4912945E+001, 4.1833962E+001, 1.4631594E-002, 2.0446874E-002, 4.8566727E-001, 4.7033649E-001, 4.4039102E-001, 3.8368304E-001, 4.0789552E-001, 4.2491787E-001, 4.3277329E-001, 4.1903001E-001, 1.6656176E+002, 1.7508268E+002, 1.8221036E+002, 1.8053035E+002, 1.7645374E+002, 1.7607214E+002, 1.8816867E+002, 1.9802077E+002, 1.9990085E+002, 1.9499645E+002
 6.0004433E+001, 3.2944901E+001, 3.3355289E+001, 3.3456019E+001, 3.3801323E+001, 3.5703138E+001, 7.9784694E+001, 6.4323742E+001, 6.1698035E+001, 5.9467391E+001, 5.5149233E+001, 4.5193167E+001, 7.6011742E+001, 6.6976252E+001, 6.6660059E+001, 6.5893835E+001, 6.3873549E+001, 5.5051390E+001, 7.3192314E-002, 6.1063706E-002, 5.4159573E-001, 4.9619716E-001, 4.6779480E-001, 3.9184024E-001, 6.8378145E-001, 7.0166657E-001, 7.0844443E-001, 6.9905275E-001, 2.4185685E+002, 2.5457525E+002, 2.6794173E+002, 2.6978576E+002, 2.6438112E+002, 2.4376090E+002, 2.6134758E+002, 2.7681333E+002, 2.7667413E+002, 2.6928464E+002
 7.0000802E+001, 3.8727512E+001, 3.8612110E+001, 3.8085615E+001, 3.8050021E+001, 3.9585001E+001, 9.2305986E+001, 7.2472980E+001, 6.8865679E+001, 6.6041596E+001, 6.0759878E+001, 4.9222374E+001, 8.9570404E+001, 7.5617437E+001, 7.4323023E+001, 7.2907054E+001, 7.0003181E+001, 5.9667733E+001, 1.5803859E-001, 1.6062761E-001, 5.9401455E-001, 5.4812206E-001, 5.0864189E-001, 4.5821999E-001, 6.1402138E-001, 5.8554106E-001, 5.6418239E-001, 5.3566350E-001, 2.9733270E+002, 3.1039711E+002, 3.2339497E+002, 3.2464280E+002, 3.1935334E+002, 3.0181690E+002, 3.2451529E+002, 3.4720245E+002, 3.4667280E+002, 3.4031273E+002
 8.0001333E+001, 4.2971712E+001, 4.4013609E+001, 4.3326402E+001, 4.3053609E+001, 4.2612507E+001, 1.0735180E+002, 8.0394994E+001, 7.5845412E+001, 7.2299557E+001, 6.6284317E+001, 5.3790717E+001, 9.6103763E+001, 8.1583094E+001, 7.9405314E+001, 7.7331151E+001, 7.3630145E+001, 6.2062321E+001, 2.0170258E-001, 1.8828557E-001, 5.9554124E-001, 5.5196491E-001, 5.2125874E-001, 4.7324498E-001, 5.6732559E-001, 5.8475366E-001, 5.9571798E-001, 5.8826981E-001, 3.3507672E+002, 3.4762525E+002, 3.5914999E+002, 3.5901107E+002, 3.5247689E+002, 3.6230755E+002, 3.8459787E+002, 4.0268884E+002, 4.0161137E+002, 3.9467748E+002
