s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C
Time,TC_23,TC_20,TC_17,TC_14,TC_3,TC_22,TC_19,TC_16,TC_13,TC_11,TC_2,TC_21,TC_18,TC_15,TC_12,TC_10,TC_1,HF_10,HF_5,HF_9,HF_7,HF_4,HF_2,HF_8,HF_6,HF_3,HF_1,TC_32,TC_31,TC_30,TC_29,TC_28,TC_37,TC_36,TC_35,TC_34,TC_33
 0.0000000E+000, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001,-2.2142419E-006,-1.1800932E-006,-3.0381381E-006,-2.1381178E-006,-1.5385693E-006,-9.3329085E-007,-5.3325925E-006,-3.7334553E-006,-2.7966420E-006,-1.9710535E-006, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001, 4.0000000E+001
 1.0005625E+001, 4.0141669E+001, 4.0001526E+001, 4.0000779E+001, 4.0000494E+001, 4.0000045E+001, 4.0139741E+001, 4.0002519E+001, 4.0001081E+001, 4.0000659E+001, 4.0000312E+001, 4.0000052E+001, 4.0168686E+001, 4.0001377E+001, 4.0000769E+001, 4.0000480E+001, 4.0000249E+001, 4.0000027E+001, 2.7018851E-003, 1.0255299E-003, 4.2598890E-003, 2.6190164E-003, 1.6214291E-003, 7.5892694E-004, 2.7560972E-003, 1.6907920E-003, 1.0728858E-003, 5.4820071E-004, 4.1462399E+001, 4.2006908E+001, 4.3566341E+001, 4.5078458E+001, 4.5276803E+001, 4.1580434E+001, 4.2164189E+001, 4.3611485E+001, 4.4462533E+001, 4.4554166E+001
 2.0004437E+001, 5.0810388E+001, 4.0335801E+001, 4.0070718E+001, 4.0053162E+001, 4.0532398E+001, 4.6647939E+001, 4.0521312E+001, 4.0467147E+001, 4.0531143E+001, 4.0478556E+001, 4.0978944E+001, 4.8493895E+001, 4.5508260E+001, 4.5127124E+001, 4.4622925E+001, 4.3809407E+001, 4.2322262E+001, 7.5286879E-002, 5.2232640E-002, 1.7366767E-001, 1.4584933E-001, 1.2963627E-001, 1.0476243E-001, 2.9442981E-001, 2.9135575E-001, 2.8206622E-001, 2.6874377E-001, 8.5567511E+001, 9.3090972E+001, 1.0558310E+002, 1.1155252E+002, 1.1124446E+002, 8.2335327E+001, 8.8528512E+001, 9.8497017E+001, 1.0077740E+002, 9.7362402E+001
 3.0005074E+001, 8.1566570E+001, 4.0771181E+001, 4.0831377E+001, 4.2044097E+001, 4.4474249E+001, 9.3694174E+001, 5.8176876E+001, 5.7555674E+001, 5.7203185E+001, 5.6861747E+001, 5.4654819E+001, 8.1955125E+001, 6.6655499E+001, 6.6790362E+001, 6.8262111E+001, 6.8093994E+001, 6.6404277E+001, 2.6525291E-001, 2.2321218E-001, 1.4511368E+000, 1.2859548E+000, 1.1750469E+000, 1.0575560E+000, 1.4089624E+000, 1.3881236E+000, 1.4294043E+000, 1.4925204E+000, 2.1580096E+002, 2.3811508E+002, 2.7787667E+002, 2.9735989E+002, 3.0047611E+002, 1.9330121E+002, 2.1163553E+002, 2.2930329E+002, 2.3240535E+002, 2.2529295E+002
 4.0001534E+001, 1.3338277E+002, 4.1811979E+001, 4.2027750E+001, 4.3571915E+001, 4.8764176E+001, 1.7954845E+002, 8.5620802E+001, 8.4686124E+001, 8.5515864E+001, 8.5087981E+001, 7.2934061E+001, 1.5455565E+002, 1.1355084E+002, 1.1480379E+002, 1.1602813E+002, 1.1762552E+002, 1.1267657E+002, 4.6885924E-001, 3.0519377E-001, 2.2873593E+000, 1.9106252E+000, 1.7246318E+000, 1.4538089E+000, 2.4066642E+000, 2.3894870E+000, 2.3954625E+000, 2.4229870E+000, 3.5637842E+002, 3.9837933E+002, 4.3941326E+002, 4.5673260E+002, 4.5949423E+002, 3.2228602E+002, 3.5601809E+002, 3.8581144E+002, 3.9347916E+002, 3.8912106E+002
 5.0007136E+001, 1.7040065E+002, 4.3121303E+001, 4.2945795E+001, 4.3862506E+001, 4.9240873E+001, 2.4837373E+002, 1.0769680E+002, 1.0451401E+002, 1.0515614E+002, 1.0327177E+002, 8.5258957E+001, 2.1568713E+002, 1.5294892E+002, 1.5185802E+002, 1.5012631E+002, 1.5097051E+002, 1.4275615E+002, 5.5673160E-001, 3.6035064E-001, 2.6689510E+000, 2.2335272E+000, 1.9500019E+000, 1.7393474E+000, 2.6829575E+000, 2.6292574E+000, 2.5332621E+000, 2.5750604E+000, 4.1952082E+002, 4.9280419E+002, 5.2200461E+002, 5.3212819E+002, 5.3356507E+002, 3.7591520E+002, 4.1585553E+002, 4.5191224E+002, 4.6095564E+002, 4.5740433E+002
 6.0007476E+001, 1.9529801E+002, 4.4222764E+001, 4.3851023E+001, 4.4525873E+001, 5.3013544E+001, 2.9489225E+002, 1.3097471E+002, 1.2643361E+002, 1.2582699E+002, 1.2360994E+002, 9.9552266E+001, 2.5576731E+002, 1.7509762E+002, 1.7431205E+002, 1.7280900E+002, 1.7419744E+002, 1.6288716E+002, 6.1872116E-001, 4.2264206E-001, 2.9949216E+000, 2.4994415E+000, 2.1176548E+000, 1.7767055E+000, 2.9545869E+000, 2.8990165E+000, 2.8414927E+000, 2.9065204E+000, 4.6515777E+002, 5.5614387E+002, 6.0355851E+002, 5.7806642E+002, 5.7294107E+002, 4.0752835E+002, 4.5834515E+002, 4.9508716E+002, 5.0422370E+002, 5.0147438E+002
 7.0000850E+001, 2.1304125E+002, 4.5308680E+001, 4.5273982E+001, 4.7072870E+001, 5.7190863E+001, 3.1742072E+002, 1.3880607E+002, 1.3254229E+002, 1.3069499E+002, 1.2632838E+002, 1.1084893E+002, 2.8498085E+002, 1.8982001E+002, 1.8890845E+002, 1.8640248E+002, 1.8403069E+002, 1.7145821E+002, 6.7550880E-001, 4.5958523E-001, 2.9790113E+000, 2.4281013E+000, 2.0894288E+000, 1.7049967E+000, 2.9447374E+000, 2.9276376E+000, 2.9187668E+000, 2.8503558E+000, 4.7855854E+002, 5.8010916E+002, 6.5135031E+002, 6.2790141E+002, 6.1500515E+002, 4.2907967E+002, 4.8152663E+002, 5.1234388E+002, 5.2383819E+002, 5.2270906E+002
 8.0002507E+001, 2.2009122E+002, 4.6208061E+001, 4.5914623E+001, 4.7315324E+001, 5.8934792E+001, 3.3156632E+002, 1.3761479E+002, 1.3449617E+002, 1.3371239E+002, 1.2878408E+002, 1.1593438E+002, 3.0544030E+002, 1.9952239E+002, 1.9719114E+002, 1.9321396E+002, 1.9102101E+002, 1.7242060E+002, 7.0237383E-001, 4.4741014E-001, 3.1896875E+000, 2.7209239E+000, 2.3625743E+000, 1.9744853E+000, 2.9866403E+000, 2.8974851E+000, 2.9070539E+000, 2.9819061E+000, 4.8951498E+002, 5.7961474E+002, 6.5001461E+002, 6.3899146E+002, 6.2508178E+002, 4.3352736E+002, 4.8346967E+002, 5.2090166E+002, 5.3436082E+002, 5.3397227E+002
