s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.350E+02, 2.818E+03,-1.257E+03,-1.542E+03,-1.656E+01, 5.348E-02, 0.000E+00, 0.000E+00, 6.943E+00, 2.274E+00, 8.580E-02, 8.580E-02
 1.400E+02, 2.840E+03,-1.260E+03,-1.584E+03,-1.558E+01, 5.703E-02, 0.000E+00, 0.000E+00,-1.569E+01,-2.020E+01, 8.947E-02, 8.947E-02
 1.450E+02, 2.891E+03,-1.284E+03,-1.587E+03,-1.628E+01, 5.869E-02, 0.000E+00, 0.000E+00, 8.212E+00, 3.524E+00, 8.953E-02, 8.953E-02
 1.500E+02, 2.881E+03,-1.282E+03,-1.576E+03,-1.690E+01, 5.773E-02, 0.000E+00, 0.000E+00, 1.010E+01, 5.927E+00, 8.911E-02, 8.911E-02
 1.550E+02, 2.783E+03,-1.242E+03,-1.547E+03,-1.754E+01, 5.462E-02, 0.000E+00, 0.000E+00,-1.817E+01,-2.327E+01, 8.877E-02, 8.877E-02
 1.600E+02, 2.994E+03,-1.330E+03,-1.639E+03,-1.608E+01, 5.609E-02, 0.000E+00, 0.000E+00, 1.352E+01, 8.897E+00, 9.025E-02, 9.025E-02
 1.650E+02, 2.920E+03,-1.296E+03,-1.637E+03,-1.700E+01, 5.595E-02, 0.000E+00, 0.000E+00,-2.488E+01,-3.000E+01, 9.088E-02, 9.088E-02
 1.700E+02, 2.841E+03,-1.263E+03,-1.562E+03,-1.577E+01, 5.132E-02, 0.000E+00, 0.000E+00, 4.840E+00, 9.035E-01, 8.887E-02, 8.887E-02
 1.750E+02, 3.031E+03,-1.341E+03,-1.669E+03,-1.871E+01, 6.270E-02, 0.000E+00, 0.000E+00, 7.520E+00, 2.425E+00, 9.379E-02, 9.379E-02
 1.800E+02, 2.945E+03,-1.306E+03,-1.642E+03,-1.643E+01, 5.809E-02, 0.000E+00, 0.000E+00,-1.424E+01,-1.900E+01, 9.191E-02, 9.191E-02
 1.850E+02, 3.009E+03,-1.332E+03,-1.639E+03,-1.739E+01, 6.127E-02, 0.000E+00, 0.000E+00, 2.625E+01, 2.099E+01, 9.303E-02, 9.303E-02
 1.900E+02, 3.090E+03,-1.363E+03,-1.672E+03,-1.623E+01, 6.405E-02, 0.000E+00, 0.000E+00, 4.285E+01, 3.893E+01, 9.528E-02, 9.528E-02
 1.950E+02, 2.960E+03,-1.321E+03,-1.683E+03,-1.777E+01, 6.033E-02, 0.000E+00, 0.000E+00,-5.533E+01,-6.084E+01, 9.295E-02, 9.295E-02
 2.000E+02, 3.006E+03,-1.337E+03,-1.651E+03,-1.811E+01, 5.856E-02, 0.000E+00, 0.000E+00, 5.747E+00, 5.552E-01, 9.341E-02, 9.341E-02
 2.050E+02, 2.934E+03,-1.301E+03,-1.618E+03,-1.526E+01, 5.500E-02, 0.000E+00, 0.000E+00, 3.673E+00,-2.680E-01, 9.220E-02, 9.220E-02
 2.100E+02, 2.988E+03,-1.325E+03,-1.665E+03,-1.751E+01, 5.715E-02, 0.000E+00, 0.000E+00,-1.412E+01,-1.945E+01, 9.314E-02, 9.314E-02
 2.150E+02, 3.051E+03,-1.353E+03,-1.677E+03,-1.639E+01, 5.930E-02, 0.000E+00, 0.000E+00, 9.213E+00, 4.832E+00, 9.421E-02, 9.421E-02
 2.200E+02, 2.932E+03,-1.298E+03,-1.611E+03,-1.545E+01, 5.575E-02, 0.000E+00, 0.000E+00, 1.131E+01, 7.818E+00, 9.398E-02, 9.398E-02
 2.250E+02, 2.994E+03,-1.328E+03,-1.639E+03,-1.500E+01, 5.498E-02, 0.000E+00, 0.000E+00, 1.728E+01, 1.311E+01, 9.206E-02, 9.206E-02
 2.300E+02, 2.993E+03,-1.327E+03,-1.678E+03,-1.889E+01, 5.499E-02, 0.000E+00, 0.000E+00,-2.424E+01,-3.039E+01, 9.220E-02, 9.220E-02
 2.350E+02, 3.014E+03,-1.337E+03,-1.663E+03,-1.970E+01, 5.303E-02, 0.000E+00, 0.000E+00, 1.812E-01,-6.155E+00, 9.317E-02, 9.317E-02
 2.400E+02, 3.035E+03,-1.343E+03,-1.676E+03,-1.658E+01, 5.694E-02, 0.000E+00, 0.000E+00, 4.173E+00,-3.613E-01, 9.307E-02, 9.307E-02
 2.450E+02, 3.004E+03,-1.336E+03,-1.663E+03,-1.452E+01, 5.872E-02, 0.000E+00, 0.000E+00,-4.019E+00,-8.377E+00, 9.199E-02, 9.199E-02
 2.500E+02, 3.033E+03,-1.347E+03,-1.693E+03,-1.983E+01, 6.519E-02, 0.000E+00, 0.000E+00,-2.125E+01,-2.721E+01, 9.496E-02, 9.496E-02
 2.550E+02, 3.001E+03,-1.331E+03,-1.642E+03,-1.481E+01, 5.963E-02, 0.000E+00, 0.000E+00, 1.770E+01, 1.379E+01, 9.291E-02, 9.291E-02
 2.600E+02, 2.934E+03,-1.302E+03,-1.627E+03,-1.448E+01, 5.412E-02, 0.000E+00, 0.000E+00,-5.160E+00,-9.484E+00, 9.159E-02, 9.159E-02
 2.650E+02, 2.998E+03,-1.331E+03,-1.637E+03,-1.585E+01, 5.528E-02, 0.000E+00, 0.000E+00, 1.811E+01, 1.415E+01, 9.301E-02, 9.301E-02
 2.700E+02, 2.957E+03,-1.309E+03,-1.654E+03,-1.686E+01, 5.683E-02, 0.000E+00, 0.000E+00,-1.768E+01,-2.269E+01, 9.328E-02, 9.328E-02
 2.750E+02, 3.011E+03,-1.333E+03,-1.647E+03,-1.830E+01, 5.825E-02, 0.000E+00, 0.000E+00, 1.855E+01, 1.327E+01, 9.353E-02, 9.353E-02
 2.800E+02, 2.991E+03,-1.320E+03,-1.670E+03,-1.619E+01, 5.618E-02, 0.000E+00, 0.000E+00,-1.090E+01,-1.576E+01, 9.356E-02, 9.356E-02
 2.850E+02, 3.080E+03,-1.358E+03,-1.714E+03,-1.860E+01, 5.642E-02, 0.000E+00, 0.000E+00,-5.794E+00,-1.106E+01, 9.458E-02, 9.458E-02
 2.900E+02, 3.160E+03,-1.399E+03,-1.724E+03,-2.103E+01, 6.190E-02, 0.000E+00, 0.000E+00, 2.274E+01, 1.577E+01, 9.722E-02, 9.722E-02
 2.950E+02, 3.018E+03,-1.341E+03,-1.689E+03,-1.950E+01, 5.733E-02, 0.000E+00, 0.000E+00,-2.600E+01,-3.176E+01, 9.407E-02, 9.407E-02
 3.000E+02, 3.043E+03,-1.350E+03,-1.678E+03,-1.584E+01, 5.570E-02, 0.000E+00, 0.000E+00, 4.278E+00,-5.034E-01, 9.378E-02, 9.378E-02
