s,kW/m2,kW/m2,kg/s/m2,C,C
Time,"qdot","mdot_ideal","mdot","Tsurf","Tsurf_max"
 0.000E+00, 2.000E+01, 1.654E-02, 0.000E+00, 2.000E+01, 2.000E+01
 1.000E+01, 3.685E+01, 3.047E-02, 1.632E-02, 5.534E+01, 5.819E+01
 2.000E+01, 5.113E+01, 4.229E-02, 3.667E-02, 6.454E+01, 6.923E+01
 3.000E+01, 2.312E+01, 1.912E-02, 1.734E-02, 6.238E+01, 6.643E+01
 4.000E+01, 1.221E+01, 1.010E-02, 9.123E-03, 5.917E+01, 6.493E+01
 5.000E+01, 1.085E+01, 8.974E-03, 8.036E-03, 5.736E+01, 6.483E+01
 6.000E+01, 1.009E+01, 8.348E-03, 7.425E-03, 5.628E+01, 6.481E+01
 7.000E+01, 9.704E+00, 8.025E-03, 7.127E-03, 5.568E+01, 6.479E+01
 8.000E+01, 9.795E+00, 8.100E-03, 7.204E-03, 5.543E+01, 6.479E+01
 9.000E+01, 9.516E+00, 7.870E-03, 7.008E-03, 5.515E+01, 6.477E+01
 1.000E+02, 9.220E+00, 7.625E-03, 6.815E-03, 5.492E+01, 6.475E+01
 1.100E+02, 9.322E+00, 7.710E-03, 6.864E-03, 5.489E+01, 6.474E+01
 1.200E+02, 9.434E+00, 7.802E-03, 6.953E-03, 5.497E+01, 6.473E+01
 1.300E+02, 9.924E+00, 8.208E-03, 7.358E-03, 5.529E+01, 6.473E+01
 1.400E+02, 1.052E+01, 8.696E-03, 7.802E-03, 5.565E+01, 6.477E+01
 1.500E+02, 1.051E+01, 8.694E-03, 7.856E-03, 5.590E+01, 6.479E+01
 1.600E+02, 1.068E+01, 8.832E-03, 8.009E-03, 5.609E+01, 6.478E+01
 1.700E+02, 1.088E+01, 8.994E-03, 8.205E-03, 5.629E+01, 6.480E+01
 1.800E+02, 1.066E+01, 8.814E-03, 8.082E-03, 5.641E+01, 6.478E+01
 1.900E+02, 1.120E+01, 9.262E-03, 8.478E-03, 5.669E+01, 6.477E+01
 2.000E+02, 1.176E+01, 9.726E-03, 8.918E-03, 5.704E+01, 6.479E+01
 2.100E+02, 1.207E+01, 9.980E-03, 9.199E-03, 5.734E+01, 6.482E+01
 2.200E+02, 1.165E+01, 9.631E-03, 8.972E-03, 5.744E+01, 6.477E+01
 2.300E+02, 1.178E+01, 9.744E-03, 9.056E-03, 5.751E+01, 6.482E+01
 2.400E+02, 1.214E+01, 1.004E-02, 9.340E-03, 5.780E+01, 6.484E+01
 2.500E+02, 1.241E+01, 1.026E-02, 9.576E-03, 5.799E+01, 6.483E+01
 2.600E+02, 1.319E+01, 1.091E-02, 1.019E-02, 5.842E+01, 6.483E+01
 2.700E+02, 1.269E+01, 1.050E-02, 9.887E-03, 5.850E+01, 6.481E+01
 2.800E+02, 1.331E+01, 1.101E-02, 1.036E-02, 5.875E+01, 6.483E+01
 2.900E+02, 1.371E+01, 1.134E-02, 1.071E-02, 5.888E+01, 6.486E+01
 3.000E+02, 1.352E+01, 1.118E-02, 1.056E-02, 5.910E+01, 6.484E+01
 3.100E+02, 1.465E+01, 1.212E-02, 1.149E-02, 5.943E+01, 6.494E+01
 3.200E+02, 1.427E+01, 1.180E-02, 1.124E-02, 5.952E+01, 6.488E+01
 3.300E+02, 1.446E+01, 1.196E-02, 1.141E-02, 5.962E+01, 6.495E+01
 3.400E+02, 1.465E+01, 1.211E-02, 1.158E-02, 5.970E+01, 6.493E+01
 3.500E+02, 1.494E+01, 1.235E-02, 1.182E-02, 5.998E+01, 6.493E+01
 3.600E+02, 1.561E+01, 1.291E-02, 1.239E-02, 6.011E+01, 6.498E+01
 3.700E+02, 1.568E+01, 1.297E-02, 1.246E-02, 6.019E+01, 6.496E+01
 3.800E+02, 1.644E+01, 1.360E-02, 1.309E-02, 6.060E+01, 6.510E+01
 3.900E+02, 1.551E+01, 1.282E-02, 1.238E-02, 6.054E+01, 6.500E+01
 4.000E+02, 1.598E+01, 1.321E-02, 1.276E-02, 6.051E+01, 6.508E+01
