s,kW/m2,kW/m2,kg/s/m2,C,C
Time,"qdot","mdot_ideal","mdot","Tsurf","Tsurf_max"
 0.000E+00, 2.015E+01, 5.943E-02, 0.000E+00,-1.000E+01,-1.000E+01
 1.000E+01, 5.666E+01, 1.672E-01, 7.859E-02,-3.592E+00,-1.394E+00
 2.000E+01, 4.809E+01, 1.419E-01, 1.030E-01,-2.551E+00,-1.664E-01
 3.000E+01, 4.182E+01, 1.234E-01, 9.484E-02,-3.350E+00,-7.024E-01
 4.000E+01, 4.277E+01, 1.262E-01, 9.726E-02,-3.547E+00,-7.023E-01
 5.000E+01, 4.331E+01, 1.278E-01, 9.882E-02,-3.607E+00,-8.663E-01
 6.000E+01, 4.228E+01, 1.247E-01, 9.675E-02,-3.530E+00,-9.306E-01
 7.000E+01, 4.232E+01, 1.248E-01, 9.956E-02,-3.586E+00,-9.936E-01
 8.000E+01, 4.229E+01, 1.247E-01, 1.020E-01,-3.666E+00,-1.146E+00
 9.000E+01, 4.201E+01, 1.239E-01, 1.023E-01,-3.665E+00,-1.046E+00
 1.000E+02, 4.045E+01, 1.193E-01, 9.859E-02,-3.642E+00,-1.077E+00
 1.100E+02, 4.126E+01, 1.217E-01, 1.006E-01,-3.585E+00,-9.207E-01
 1.200E+02, 4.018E+01, 1.185E-01, 9.786E-02,-3.516E+00,-1.166E+00
 1.300E+02, 4.151E+01, 1.224E-01, 1.011E-01,-3.683E+00,-1.188E+00
 1.400E+02, 4.067E+01, 1.200E-01, 9.894E-02,-3.632E+00,-1.159E+00
 1.500E+02, 4.085E+01, 1.205E-01, 9.930E-02,-3.518E+00,-9.471E-01
 1.600E+02, 4.121E+01, 1.216E-01, 1.001E-01,-3.532E+00,-1.028E+00
 1.700E+02, 4.031E+01, 1.189E-01, 9.784E-02,-3.500E+00,-9.132E-01
 1.800E+02, 4.048E+01, 1.194E-01, 9.822E-02,-3.512E+00,-1.045E+00
 1.900E+02, 4.072E+01, 1.201E-01, 9.872E-02,-3.596E+00,-1.027E+00
 2.000E+02, 4.117E+01, 1.215E-01, 9.973E-02,-3.553E+00,-9.861E-01
 2.100E+02, 4.029E+01, 1.189E-01, 9.745E-02,-3.495E+00,-1.028E+00
 2.200E+02, 4.109E+01, 1.212E-01, 9.944E-02,-3.538E+00,-9.682E-01
 2.300E+02, 3.941E+01, 1.163E-01, 9.571E-02,-3.580E+00,-1.006E+00
 2.400E+02, 4.065E+01, 1.199E-01, 9.974E-02,-3.793E+00,-1.304E+00
 2.500E+02, 4.196E+01, 1.238E-01, 1.038E-01,-3.766E+00,-1.099E+00
 2.600E+02, 4.210E+01, 1.242E-01, 1.046E-01,-3.841E+00,-1.139E+00
 2.700E+02, 4.097E+01, 1.209E-01, 1.025E-01,-3.802E+00,-1.112E+00
 2.800E+02, 4.095E+01, 1.208E-01, 1.025E-01,-3.801E+00,-1.054E+00
 2.900E+02, 4.105E+01, 1.211E-01, 1.028E-01,-3.812E+00,-9.163E-01
 3.000E+02, 4.003E+01, 1.181E-01, 1.005E-01,-3.871E+00,-1.047E+00
 3.100E+02, 4.068E+01, 1.200E-01, 1.023E-01,-3.906E+00,-1.017E+00
 3.200E+02, 4.020E+01, 1.186E-01, 1.014E-01,-3.852E+00,-9.616E-01
 3.300E+02, 3.888E+01, 1.147E-01, 9.862E-02,-3.706E+00,-8.109E-01
 3.400E+02, 4.061E+01, 1.198E-01, 1.034E-01,-3.790E+00,-8.666E-01
 3.500E+02, 4.069E+01, 1.200E-01, 1.040E-01,-3.697E+00,-7.769E-01
 3.600E+02, 3.823E+01, 1.128E-01, 9.809E-02,-3.607E+00,-8.172E-01
 3.700E+02, 3.998E+01, 1.179E-01, 1.027E-01,-3.698E+00,-9.295E-01
 3.800E+02, 3.982E+01, 1.175E-01, 1.022E-01,-3.595E+00,-7.973E-01
 3.900E+02, 3.951E+01, 1.166E-01, 1.014E-01,-3.565E+00,-8.248E-01
 4.000E+02, 4.057E+01, 1.197E-01, 1.040E-01,-3.686E+00,-8.182E-01
