s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-1.1827432E-002, 8.0709198E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1827431E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0885999E-001, 1.1559862E+001,-4.7261145E+000, 8.5903579E-002,-3.1018143E-002,-2.1542171E-003, 0.0000000E+000, 0.0000000E+000, 6.0909332E+000, 6.8864791E+000, 0.0000000E+000, 4.5319889E-004, 0.0000000E+000, 0.0000000E+000
 1.0085069E+000, 2.6719256E+001,-1.0149658E+001, 2.6836210E-001,-7.3739465E-002,-4.4097710E-003, 0.0000000E+000, 0.0000000E+000, 1.6802774E+001, 1.6759810E+001, 0.0000000E+000, 5.1892808E-004, 0.0000000E+000, 0.0000000E+000
 1.5065842E+000, 2.1023962E+001,-6.4948950E+000, 2.2634428E-001,-1.0444630E-001,-4.3730366E-003, 0.0000000E+000, 0.0000000E+000, 1.4666280E+001, 1.4646592E+001, 0.0000000E+000, 4.7889401E-004, 0.0000000E+000, 0.0000000E+000
 2.0100753E+000, 2.1195244E+001,-6.9275462E+000, 2.2397479E-001,-1.3480599E-001,-4.2164337E-003, 0.0000000E+000, 0.0000000E+000, 1.4334498E+001, 1.4352650E+001, 0.0000000E+000, 4.9605488E-004, 0.0000000E+000, 0.0000000E+000
 2.5007899E+000, 2.3386612E+001,-7.8265307E+000, 2.3936539E-001,-1.6006368E-001,-4.3505952E-003, 0.0000000E+000, 0.0000000E+000, 1.5576386E+001, 1.5635032E+001, 0.0000000E+000, 5.5367325E-004, 0.0000000E+000, 0.0000000E+000
 3.0030293E+000, 2.6800306E+001,-8.9688906E+000, 2.7634043E-001,-1.7465901E-001,-4.6330376E-003, 0.0000000E+000, 0.0000000E+000, 1.7848853E+001, 1.7928464E+001, 0.0000000E+000, 6.3606609E-004, 0.0000000E+000, 0.0000000E+000
 3.5025795E+000, 3.1131525E+001,-1.0530696E+001, 3.3806469E-001,-1.9022681E-001,-5.0484051E-003, 0.0000000E+000, 0.0000000E+000, 2.0681834E+001, 2.0743618E+001, 0.0000000E+000, 7.3288747E-004, 0.0000000E+000, 0.0000000E+000
 4.0124297E+000, 3.5605678E+001,-1.1988580E+001, 3.8650076E-001,-2.0059614E-001,-5.4671082E-003, 0.0000000E+000, 0.0000000E+000, 2.3685094E+001, 2.3797535E+001, 0.0000000E+000, 8.3315520E-004, 0.0000000E+000, 0.0000000E+000
 4.5014157E+000, 4.0649458E+001,-1.3759313E+001, 8.6497867E-002,-2.3201500E-001,-6.1974427E-003, 0.0000000E+000, 0.0000000E+000, 2.6675359E+001, 2.6738431E+001, 0.0000000E+000, 9.3394119E-004, 0.0000000E+000, 0.0000000E+000
 5.0051689E+000, 4.1936458E+001,-1.4072726E+001,-1.2968736E+000,-2.6283957E-001,-6.2691566E-003, 0.0000000E+000, 0.0000000E+000, 2.6328739E+001, 2.6297749E+001, 0.0000000E+000, 9.6266015E-004, 0.0000000E+000, 0.0000000E+000
