s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_BUTANE,MLR_PRODUCTS
 2.900E+02, 2.525E+03,-7.600E+02,-1.761E+03,-2.169E+01,-2.437E-01, 0.000E+00, 0.000E+00,-1.530E+01,-1.820E+01, 0.000E+00, 5.837E-02, 0.000E+00
 3.000E+02, 2.523E+03,-7.590E+02,-1.737E+03,-2.228E+01,-2.587E-01, 0.000E+00, 0.000E+00, 7.481E+00, 4.608E+00, 0.000E+00, 5.993E-02, 0.000E+00
 3.100E+02, 2.720E+03,-8.205E+02,-1.892E+03,-2.205E+01,-2.788E-01, 0.000E+00, 0.000E+00,-1.160E+01,-1.424E+01, 0.000E+00, 6.183E-02, 0.000E+00
 3.200E+02, 2.381E+03,-7.131E+02,-1.645E+03,-1.753E+01,-2.139E-01, 0.000E+00, 0.000E+00, 8.124E+00, 5.935E+00, 0.000E+00, 5.507E-02, 0.000E+00
 3.300E+02, 2.568E+03,-7.741E+02,-1.776E+03,-1.970E+01,-2.691E-01, 0.000E+00, 0.000E+00,-1.207E-01,-2.571E+00, 0.000E+00, 5.974E-02, 0.000E+00
 3.400E+02, 2.378E+03,-7.145E+02,-1.641E+03,-1.756E+01,-2.240E-01, 0.000E+00, 0.000E+00, 7.031E+00, 4.873E+00, 0.000E+00, 5.544E-02, 0.000E+00
 3.500E+02, 2.407E+03,-7.216E+02,-1.687E+03,-1.833E+01,-2.084E-01, 0.000E+00, 0.000E+00,-1.868E+01,-2.085E+01, 0.000E+00, 5.583E-02, 0.000E+00
 3.600E+02, 2.387E+03,-7.160E+02,-1.661E+03,-1.872E+01,-2.258E-01, 0.000E+00, 0.000E+00,-6.654E+00,-8.547E+00, 0.000E+00, 5.522E-02, 0.000E+00
 3.700E+02, 2.359E+03,-7.016E+02,-1.635E+03,-1.807E+01,-2.052E-01, 0.000E+00, 0.000E+00, 6.285E+00, 3.380E+00, 0.000E+00, 5.412E-02, 0.000E+00
 3.800E+02, 2.336E+03,-6.968E+02,-1.598E+03,-1.679E+01,-1.979E-01, 0.000E+00, 0.000E+00, 2.576E+01, 2.383E+01, 0.000E+00, 5.427E-02, 0.000E+00
 3.900E+02, 2.627E+03,-7.887E+02,-1.820E+03,-2.146E+01,-2.796E-01, 0.000E+00, 0.000E+00,-4.837E-01,-2.965E+00, 0.000E+00, 6.112E-02, 0.000E+00
 4.000E+02, 2.593E+03,-7.783E+02,-1.802E+03,-2.081E+01,-2.582E-01, 0.000E+00, 0.000E+00,-6.721E+00,-9.151E+00, 0.000E+00, 5.989E-02, 0.000E+00
