s,kg/s/m2,C,C
Time,"MASS FLUX WATER","TMP WALL","TMP WALL MAX"
 7.8001000E+002, 1.4108485E-002, 9.9187402E+001, 9.9940814E+001
 7.9001000E+002, 1.3668165E-002, 9.9140315E+001, 9.9950499E+001
 8.0001000E+002, 1.2785393E-002, 9.9448840E+001, 9.9921009E+001
 8.1001000E+002, 1.2521569E-002, 9.9508635E+001, 9.9924237E+001
 8.2001000E+002, 1.2155169E-002, 9.9472146E+001, 9.9951598E+001
 8.3001000E+002, 1.1661365E-002, 9.9567482E+001, 9.9966580E+001
 8.4001000E+002, 1.1132380E-002, 9.9832160E+001, 1.0002307E+002
 8.5001000E+002, 1.0572365E-002, 1.0002541E+002, 1.0022556E+002
 8.6001000E+002, 7.7679910E-003, 1.0562474E+002, 1.0670224E+002
 8.7001000E+002, 1.1586172E-020, 1.5159295E+002, 1.5210723E+002
 8.8001000E+002,-7.2423888E-021, 1.7862703E+002, 1.7889160E+002
 8.9001000E+002,-7.3979248E-021, 1.9750712E+002, 1.9773587E+002
 9.0001000E+002,-7.5307566E-021, 2.1327255E+002, 2.1347125E+002
 9.1001000E+002,-7.3410415E-021, 2.2742947E+002, 2.2765586E+002
 9.2001000E+002,-7.1092223E-021, 2.4068327E+002, 2.4085227E+002
 9.3001000E+002,-6.9639206E-021, 2.5337196E+002, 2.5347705E+002
 9.4001000E+002,-6.8705162E-021, 2.6567469E+002, 2.6577415E+002
 9.5001000E+002,-6.7958654E-021, 2.7764499E+002, 2.7776120E+002
 9.6001000E+002,-6.8747717E-021, 2.8931875E+002, 2.8947130E+002
 9.7001000E+002,-6.6458113E-021, 3.0074920E+002, 3.0090776E+002
 9.8001000E+002,-6.5133385E-021, 3.1190256E+002, 3.1203523E+002
 9.9001000E+002,-6.2501451E-021, 3.2284426E+002, 3.2302596E+002
 1.0000100E+003,-6.0252300E-021, 3.3352021E+002, 3.3377660E+002
 1.0100100E+003,-5.8508016E-021, 3.4392411E+002, 3.4421310E+002
 1.0200100E+003,-5.7271883E-021, 3.5405107E+002, 3.5430608E+002
 1.0300100E+003,-5.7709673E-021, 3.6395179E+002, 3.6409125E+002
 1.0400100E+003,-5.7363410E-021, 3.7357267E+002, 3.7370255E+002
 1.0500100E+003,-5.4595830E-021, 3.8291347E+002, 3.8309577E+002
 1.0600100E+003,-4.9395094E-021, 3.9197389E+002, 3.9213368E+002
 1.0700100E+003,-4.8876306E-021, 4.0078432E+002, 4.0111587E+002
 1.0800100E+003,-5.0930067E-021, 4.0932572E+002, 4.0968295E+002
