s,kW/m2,kW/m2,kg/s/m2,C,C
Time,"qdot","mdot_ideal","mdot","Tsurf","Tsurf_max"
 0.000E+00, 2.000E+01, 2.040E-02, 0.000E+00, 2.000E+01, 2.000E+01
 1.000E+01, 3.576E+01, 3.648E-02, 1.727E-02, 6.302E+01, 6.828E+01
 2.000E+01, 4.567E+01, 4.658E-02, 3.966E-02, 7.725E+01, 8.530E+01
 3.000E+01, 3.030E+01, 3.091E-02, 2.765E-02, 7.594E+01, 8.266E+01
 4.000E+01, 2.722E+01, 2.776E-02, 2.513E-02, 7.549E+01, 8.165E+01
 5.000E+01, 2.827E+01, 2.883E-02, 2.648E-02, 7.563E+01, 8.179E+01
 6.000E+01, 2.778E+01, 2.833E-02, 2.651E-02, 7.568E+01, 8.204E+01
 7.000E+01, 2.800E+01, 2.856E-02, 2.699E-02, 7.580E+01, 8.242E+01
 8.000E+01, 2.790E+01, 2.846E-02, 2.717E-02, 7.573E+01, 8.198E+01
 9.000E+01, 2.759E+01, 2.815E-02, 2.709E-02, 7.574E+01, 8.212E+01
 1.000E+02, 2.794E+01, 2.850E-02, 2.752E-02, 7.579E+01, 8.248E+01
 1.100E+02, 2.787E+01, 2.843E-02, 2.762E-02, 7.572E+01, 8.183E+01
 1.200E+02, 2.813E+01, 2.869E-02, 2.799E-02, 7.595E+01, 8.282E+01
 1.300E+02, 2.850E+01, 2.907E-02, 2.846E-02, 7.597E+01, 8.300E+01
 1.400E+02, 2.827E+01, 2.883E-02, 2.831E-02, 7.602E+01, 8.258E+01
 1.500E+02, 2.824E+01, 2.880E-02, 2.835E-02, 7.601E+01, 8.282E+01
 1.600E+02, 2.845E+01, 2.902E-02, 2.863E-02, 7.605E+01, 8.289E+01
 1.700E+02, 2.812E+01, 2.868E-02, 2.836E-02, 7.600E+01, 8.292E+01
 1.800E+02, 2.906E+01, 2.964E-02, 2.940E-02, 7.612E+01, 8.334E+01
 1.900E+02, 2.911E+01, 2.970E-02, 2.951E-02, 7.610E+01, 8.306E+01
 2.000E+02, 2.865E+01, 2.922E-02, 2.903E-02, 7.616E+01, 8.289E+01
 2.100E+02, 2.861E+01, 2.918E-02, 2.906E-02, 7.608E+01, 8.282E+01
 2.200E+02, 2.891E+01, 2.949E-02, 2.938E-02, 7.611E+01, 8.289E+01
 2.300E+02, 2.867E+01, 2.925E-02, 2.919E-02, 7.605E+01, 8.277E+01
 2.400E+02, 2.864E+01, 2.921E-02, 2.915E-02, 7.609E+01, 8.294E+01
 2.500E+02, 2.910E+01, 2.969E-02, 2.967E-02, 7.613E+01, 8.302E+01
 2.600E+02, 2.902E+01, 2.960E-02, 2.962E-02, 7.614E+01, 8.282E+01
 2.700E+02, 2.883E+01, 2.940E-02, 2.943E-02, 7.619E+01, 8.297E+01
 2.800E+02, 2.880E+01, 2.938E-02, 2.941E-02, 7.617E+01, 8.258E+01
 2.900E+02, 2.919E+01, 2.977E-02, 2.984E-02, 7.611E+01, 8.281E+01
 3.000E+02, 2.944E+01, 3.003E-02, 3.014E-02, 7.623E+01, 8.261E+01
 3.100E+02, 2.897E+01, 2.955E-02, 2.968E-02, 7.622E+01, 8.280E+01
 3.200E+02, 2.922E+01, 2.980E-02, 2.990E-02, 7.621E+01, 8.322E+01
 3.300E+02, 2.934E+01, 2.993E-02, 3.006E-02, 7.623E+01, 8.282E+01
 3.400E+02, 2.948E+01, 3.006E-02, 3.022E-02, 7.627E+01, 8.274E+01
 3.500E+02, 2.939E+01, 2.998E-02, 3.017E-02, 7.625E+01, 8.298E+01
 3.600E+02, 2.924E+01, 2.982E-02, 2.998E-02, 7.623E+01, 8.261E+01
 3.700E+02, 2.951E+01, 3.010E-02, 3.028E-02, 7.622E+01, 8.303E+01
 3.800E+02, 2.920E+01, 2.978E-02, 2.996E-02, 7.624E+01, 8.287E+01
 3.900E+02, 2.946E+01, 3.005E-02, 3.023E-02, 7.620E+01, 8.237E+01
 4.000E+02, 2.933E+01, 2.992E-02, 3.011E-02, 7.619E+01, 8.254E+01
