s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_WATER VAPOR,MLR_TOTAL
 3.0000000E+001, 0.0000000E+000, 5.7249295E-005,-1.9479879E-003, 1.9609469E-003, 2.2317155E-004, 0.0000000E+000, 0.0000000E+000, 2.9386290E-004, 2.9337989E-004, 0.0000000E+000, 7.5645397E-006
 3.1200001E+001, 0.0000000E+000, 5.9452626E-005,-2.0402061E-003, 2.0211310E-003, 2.4634555E-004, 0.0000000E+000, 0.0000000E+000, 2.8805996E-004, 2.8672312E-004, 0.0000000E+000, 8.1263221E-006
 3.2400002E+001, 0.0000000E+000, 6.1711302E-005,-2.1114578E-003, 2.0795741E-003, 2.7320533E-004, 0.0000000E+000, 0.0000000E+000, 3.0465263E-004, 3.0303291E-004, 0.0000000E+000, 8.7821339E-006
 3.3599998E+001, 0.0000000E+000, 6.3983656E-005,-2.1756636E-003, 2.1351078E-003, 3.0344654E-004, 0.0000000E+000, 0.0000000E+000, 3.2872031E-004, 3.2687442E-004, 0.0000000E+000, 9.5224492E-006
 3.4799999E+001, 0.0000000E+000, 6.6256544E-005,-2.2402950E-003, 2.1864170E-003, 3.3602563E-004, 0.0000000E+000, 0.0000000E+000, 3.5068745E-004, 3.4840417E-004, 0.0000000E+000, 1.0319102E-005
 3.6000000E+001, 0.0000000E+000, 6.8497313E-005,-2.3204957E-003, 2.2358423E-003, 3.6856285E-004, 0.0000000E+000, 0.0000000E+000, 3.5503185E-004, 3.5240674E-004, 0.0000000E+000, 1.1105102E-005
 3.7200001E+001, 0.0000000E+000, 7.0712140E-005,-2.4354323E-003, 2.2840518E-003, 3.9860754E-004, 0.0000000E+000, 0.0000000E+000, 3.2133491E-004, 3.1793915E-004, 0.0000000E+000, 1.1812413E-005
 3.8400002E+001, 0.0000000E+000, 7.2952794E-005,-2.5631537E-003, 2.3301788E-003, 4.2460906E-004, 0.0000000E+000, 0.0000000E+000, 2.6981588E-004, 2.6458696E-004, 0.0000000E+000, 1.2398841E-005
 3.9599998E+001, 0.0000000E+000, 7.5238068E-005,-2.6939549E-003, 2.3768534E-003, 4.4703833E-004, 0.0000000E+000, 0.0000000E+000, 2.1119918E-004, 2.0517490E-004, 0.0000000E+000, 1.2874561E-005
 4.0799999E+001, 0.0000000E+000, 7.7660289E-005,-2.8197817E-003, 2.4228674E-003, 4.7029691E-004, 0.0000000E+000, 0.0000000E+000, 1.5676686E-004, 1.5104285E-004, 0.0000000E+000, 1.3350512E-005
 4.2000000E+001, 0.0000000E+000, 8.0212125E-005,-2.8676608E-003, 2.4648859E-003, 5.0041726E-004, 0.0000000E+000, 0.0000000E+000, 1.8300620E-004, 1.7785454E-004, 0.0000000E+000, 1.3988031E-005
 4.3209999E+001, 0.0000000E+000, 8.2841372E-005,-2.8719289E-003, 2.4985404E-003, 5.4108770E-004, 0.0000000E+000, 0.0000000E+000, 2.5584343E-004, 2.5054050E-004, 0.0000000E+000, 1.4902616E-005
 4.4410000E+001, 0.0000000E+000, 8.5439203E-005,-2.8871392E-003, 2.5307755E-003, 5.8852837E-004, 0.0000000E+000, 0.0000000E+000, 3.2263752E-004, 3.1760387E-004, 0.0000000E+000, 1.6014740E-005
 4.5610001E+001, 0.0000000E+000, 8.7895194E-005,-2.9624034E-003, 2.5625978E-003, 6.3440713E-004, 0.0000000E+000, 0.0000000E+000, 3.2617094E-004, 3.2249668E-004, 0.0000000E+000, 1.7109655E-005
 4.6810001E+001, 0.0000000E+000, 9.0202014E-005,-3.0860802E-003, 2.5928178E-003, 6.7445745E-004, 0.0000000E+000, 0.0000000E+000, 2.7475705E-004, 2.7139706E-004, 0.0000000E+000, 1.8056723E-005
