s,kW/m2,kW/m2,kg/s/m2,C,C
Time,"qdot","mdot_ideal","mdot","Tsurf","Tsurf_max"
 0.000E+00, 2.000E+01, 4.020E-02, 0.000E+00, 2.000E+01, 2.000E+01
 1.000E+01, 2.886E+01, 5.800E-02, 1.269E-03, 3.662E+01, 4.262E+01
 2.000E+01, 7.039E+01, 1.415E-01, 4.570E-02, 7.436E+01, 8.115E+01
 3.000E+01, 5.577E+01, 1.121E-01, 7.191E-02, 7.853E+01, 8.064E+01
 4.000E+01, 5.200E+01, 1.045E-01, 7.348E-02, 7.843E+01, 8.049E+01
 5.000E+01, 4.846E+01, 9.740E-02, 7.849E-02, 7.846E+01, 8.038E+01
 6.000E+01, 4.659E+01, 9.364E-02, 7.965E-02, 7.845E+01, 8.033E+01
 7.000E+01, 4.596E+01, 9.237E-02, 7.968E-02, 7.849E+01, 8.030E+01
 8.000E+01, 4.377E+01, 8.798E-02, 7.681E-02, 7.857E+01, 8.029E+01
 9.000E+01, 4.462E+01, 8.968E-02, 7.898E-02, 7.852E+01, 8.025E+01
 1.000E+02, 4.420E+01, 8.884E-02, 7.902E-02, 7.856E+01, 8.030E+01
 1.100E+02, 4.417E+01, 8.878E-02, 7.958E-02, 7.857E+01, 8.028E+01
 1.200E+02, 4.404E+01, 8.851E-02, 8.003E-02, 7.848E+01, 8.025E+01
 1.300E+02, 4.560E+01, 9.166E-02, 8.348E-02, 7.831E+01, 8.023E+01
 1.400E+02, 4.359E+01, 8.761E-02, 8.019E-02, 7.845E+01, 8.024E+01
 1.500E+02, 4.493E+01, 9.031E-02, 8.310E-02, 7.830E+01, 8.022E+01
 1.600E+02, 4.405E+01, 8.853E-02, 8.189E-02, 7.846E+01, 8.023E+01
 1.700E+02, 4.383E+01, 8.809E-02, 8.183E-02, 7.846E+01, 8.024E+01
 1.800E+02, 4.391E+01, 8.826E-02, 8.254E-02, 7.845E+01, 8.024E+01
 1.900E+02, 4.271E+01, 8.585E-02, 8.171E-02, 7.856E+01, 8.021E+01
 2.000E+02, 4.203E+01, 8.448E-02, 8.126E-02, 7.851E+01, 8.021E+01
 2.100E+02, 4.374E+01, 8.791E-02, 8.522E-02, 7.832E+01, 8.020E+01
 2.200E+02, 4.359E+01, 8.761E-02, 8.536E-02, 7.835E+01, 8.019E+01
 2.300E+02, 4.394E+01, 8.832E-02, 8.661E-02, 7.829E+01, 8.017E+01
 2.400E+02, 4.333E+01, 8.710E-02, 8.527E-02, 7.848E+01, 8.019E+01
 2.500E+02, 4.347E+01, 8.737E-02, 8.583E-02, 7.841E+01, 8.018E+01
 2.600E+02, 4.248E+01, 8.538E-02, 8.392E-02, 7.846E+01, 8.019E+01
 2.700E+02, 4.391E+01, 8.825E-02, 8.695E-02, 7.838E+01, 8.018E+01
 2.800E+02, 4.338E+01, 8.719E-02, 8.587E-02, 7.836E+01, 8.019E+01
 2.900E+02, 4.168E+01, 8.377E-02, 8.251E-02, 7.852E+01, 8.017E+01
 3.000E+02, 4.405E+01, 8.854E-02, 8.743E-02, 7.848E+01, 8.016E+01
 3.100E+02, 4.161E+01, 8.363E-02, 8.243E-02, 7.847E+01, 8.018E+01
 3.200E+02, 4.229E+01, 8.499E-02, 8.383E-02, 7.859E+01, 8.017E+01
 3.300E+02, 4.239E+01, 8.520E-02, 8.414E-02, 7.851E+01, 8.017E+01
 3.400E+02, 4.464E+01, 8.973E-02, 8.878E-02, 7.826E+01, 8.016E+01
 3.500E+02, 4.275E+01, 8.592E-02, 8.490E-02, 7.851E+01, 8.017E+01
 3.600E+02, 4.319E+01, 8.681E-02, 8.588E-02, 7.838E+01, 8.018E+01
 3.700E+02, 4.250E+01, 8.543E-02, 8.448E-02, 7.839E+01, 8.016E+01
 3.800E+02, 4.408E+01, 8.859E-02, 8.772E-02, 7.826E+01, 8.016E+01
 3.900E+02, 4.241E+01, 8.525E-02, 8.428E-02, 7.845E+01, 8.017E+01
 4.000E+02, 4.310E+01, 8.663E-02, 8.581E-02, 7.828E+01, 8.015E+01
