s,kg/s,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,kW/m2,kW/m2,kW/m2,kW/m2,C,C,kW/m2
 9.0000396E+001, 7.0497776E-002, 1.8784054E-001, 3.4104853E-001, 6.1819338E+001, 4.9465917E+001, 7.4624079E-001, 6.4830086E-001, 7.3082132E+001, 1.0073849E+002, 1.1591370E+002, 1.1109361E+002, 9.6936141E+001, 9.8367376E+001, 4.5839022E+001
 1.0000103E+002, 8.1428050E-002, 1.6661344E-001, 2.9484682E-001, 6.3677948E+001, 5.1556978E+001, 7.8896470E-001, 7.0641726E-001, 7.4987859E+001, 1.0058434E+002, 1.1535520E+002, 1.2377242E+002, 9.7025582E+001, 9.8366174E+001, 4.9106352E+001
 1.1000118E+002, 8.4291757E-002, 1.8533928E-001, 3.8452463E-001, 6.1968972E+001, 5.2727219E+001, 7.7592353E-001, 7.3117552E-001, 7.3097380E+001, 9.6799972E+001, 1.0800570E+002, 1.1456049E+002, 9.7046316E+001, 9.8360155E+001, 4.8622128E+001
 1.2000106E+002, 8.8952061E-002, 1.5091306E-001, 3.8857599E-001, 6.1620285E+001, 5.3119961E+001, 7.7429986E-001, 7.2026413E-001, 7.2678061E+001, 9.6506818E+001, 1.0914452E+002, 1.1612608E+002, 9.7030899E+001, 9.8353393E+001, 4.9222821E+001
 1.3000006E+002, 9.0090856E-002, 1.4588318E-001, 4.2370192E-001, 6.0275915E+001, 5.0758980E+001, 7.3227111E-001, 7.1342463E-001, 7.1471836E+001, 9.5573216E+001, 1.0856006E+002, 1.1648837E+002, 9.6993396E+001, 9.8351677E+001, 4.8042080E+001
 1.4000127E+002, 9.5040372E-002, 1.0798727E-001, 3.6840945E-001, 6.0826237E+001, 5.2313837E+001, 6.7754902E-001, 7.1091790E-001, 7.2410645E+001, 9.8598552E+001, 1.1276827E+002, 1.2061767E+002, 9.7037995E+001, 9.8362969E+001, 4.9162639E+001
 1.5000136E+002, 9.1345902E-002, 1.3643892E-001, 3.0799948E-001, 5.7436215E+001, 4.9490655E+001, 5.7712641E-001, 7.0314071E-001, 6.8580011E+001, 9.4791862E+001, 1.1064304E+002, 1.2000824E+002, 9.6936196E+001, 9.8363836E+001, 4.6936119E+001
 1.6000145E+002, 8.6067494E-002, 1.7589782E-001, 2.4394822E-001, 5.4443809E+001, 4.8147995E+001, 5.4274378E-001, 6.8066437E-001, 6.4799458E+001, 9.0613806E+001, 1.0695468E+002, 1.1467871E+002, 9.6957555E+001, 9.8353396E+001, 4.5084058E+001
 1.7000125E+002, 7.9996483E-002, 2.2165485E-001, 2.5666437E-001, 5.1826344E+001, 4.8015308E+001, 6.1196386E-001, 6.3082344E-001, 6.1330898E+001, 8.4024740E+001, 1.0252984E+002, 1.1290624E+002, 9.7076515E+001, 9.8352790E+001, 4.3815201E+001
 1.8000058E+002, 6.9851803E-002, 3.6046633E-001, 2.0980538E-001, 5.0057879E+001, 4.5473179E+001, 6.3116565E-001, 5.8469646E-001, 5.8881503E+001, 7.9662233E+001, 9.8014595E+001, 1.0960931E+002, 9.7061583E+001, 9.8361509E+001, 4.1170023E+001
 1.9000115E+002, 6.4047103E-002, 3.7558181E-001, 2.2168920E-001, 5.0631963E+001, 4.5158619E+001, 6.5223775E-001, 5.4142293E-001, 5.9426950E+001, 8.0433812E+001, 9.9187993E+001, 1.0974445E+002, 9.7177986E+001, 9.8366786E+001, 4.1176070E+001
 2.0000114E+002, 5.5238249E-002, 3.6699874E-001, 2.0708657E-001, 4.8743995E+001, 4.2199901E+001, 6.0147957E-001, 4.9306873E-001, 5.7094859E+001, 7.6655854E+001, 9.5659729E+001, 1.0584527E+002, 9.7300662E+001, 9.8369788E+001, 3.9485950E+001
 2.1000160E+002, 4.8486628E-002, 3.9864572E-001, 2.6023318E-001, 4.7334665E+001, 4.1425193E+001, 5.6595451E-001, 5.0199593E-001, 5.5381888E+001, 7.4184226E+001, 9.3003619E+001, 1.0356787E+002, 9.7323170E+001, 9.8385073E+001, 3.8485419E+001
 2.2000122E+002, 3.7629432E-002, 3.8896935E-001, 2.4082906E-001, 3.9216027E+001, 3.7006079E+001, 4.7267953E-001, 3.9992988E-001, 4.5521666E+001, 5.9768712E+001, 7.5439875E+001, 8.8359006E+001, 9.7291688E+001, 9.8710865E+001, 3.3682021E+001
 2.3000069E+002, 3.3874786E-002, 4.2483322E-001, 3.8326817E-001, 3.7995733E+001, 3.6521529E+001, 3.8681931E-001, 3.9118076E-001, 4.3620968E+001, 5.6845813E+001, 7.0618351E+001, 8.1758337E+001, 9.7248316E+001, 9.8916834E+001, 3.3418548E+001
 2.4000160E+002, 3.3019397E-002, 4.7759377E-001, 4.5131423E-001, 3.9499545E+001, 3.8576679E+001, 3.3360857E-001, 3.5131334E-001, 4.5235299E+001, 5.9225008E+001, 7.2502153E+001, 8.2605446E+001, 9.7272271E+001, 9.9014144E+001, 3.5320348E+001
 2.5000255E+002, 3.4513626E-002, 5.0294832E-001, 5.7965884E-001, 4.1733571E+001, 4.4982875E+001, 2.5713809E-001, 2.9099154E-001, 4.7061144E+001, 5.9730831E+001, 7.2151196E+001, 8.2237884E+001, 9.7341806E+001, 9.9140900E+001, 4.0152543E+001
 2.6000139E+002, 3.4375463E-002, 6.8665285E-001, 1.1880489E+000, 4.7269602E+001, 5.7851681E+001, 1.8783392E-001, 1.6600113E-001, 5.2407274E+001, 6.3510830E+001, 7.3864053E+001, 8.1947972E+001, 9.7331690E+001, 9.9225235E+001, 4.6840369E+001
 2.7000061E+002, 2.9146433E-002, 7.4675521E-001, 1.3912999E+000, 5.8675619E+001, 6.4182449E+001, 1.1655125E-001, 1.3262201E-001, 6.3743841E+001, 7.3426780E+001, 7.9344446E+001, 8.2804882E+001, 9.7379905E+001, 9.9304914E+001, 5.3530773E+001
 2.8000143E+002, 2.3395825E-002, 9.3748139E-001, 1.7903465E+000, 7.4465769E+001, 6.8693504E+001, 5.0054529E-002, 8.9664714E-002, 8.0293999E+001, 8.5544373E+001, 8.6796293E+001, 8.6824875E+001, 9.7385724E+001, 9.9315162E+001, 5.7924616E+001
 2.9000232E+002, 1.8133397E-002, 9.1298873E-001, 1.8230526E+000, 7.7030471E+001, 6.8046554E+001, 1.5543985E-002, 5.5460977E-002, 8.0163860E+001, 8.1857433E+001, 8.0743013E+001, 7.9255600E+001, 9.7272940E+001, 9.9249015E+001, 6.0889121E+001
 3.0000134E+002, 1.4201939E-002, 9.3162194E-001, 1.9908861E+000, 7.3966538E+001, 6.9801256E+001, 3.2088733E-003, 3.2137664E-002, 7.6321520E+001, 7.7031767E+001, 7.4761162E+001, 7.1451728E+001, 9.7029202E+001, 9.9070640E+001, 5.9922855E+001
 3.1000117E+002, 1.0587643E-002, 7.9688576E-001, 1.9370928E+000, 5.8504454E+001, 6.4431312E+001, 7.0515890E-004, 1.5838971E-002, 5.9223335E+001, 5.8676749E+001, 5.6112140E+001, 5.2706876E+001, 9.6767311E+001, 9.8934335E+001, 5.4333525E+001
 3.2000081E+002, 8.2679494E-003, 7.3435086E-001, 2.0193585E+000, 4.3305740E+001, 6.2909358E+001, 1.7411475E-004, 1.3321740E-002, 4.2365894E+001, 4.0251575E+001, 3.7287473E+001, 3.4003673E+001, 9.6349819E+001, 9.8788802E+001, 4.8246473E+001
 3.3000308E+002, 6.4819932E-003, 5.8617910E-001, 1.6252786E+000, 2.5690313E+001, 5.2135217E+001, 4.1086133E-005, 6.5892249E-003, 2.3250400E+001, 1.9629932E+001, 1.6851111E+001, 1.4572679E+001, 9.5886279E+001, 9.8871854E+001, 4.0620230E+001
 3.4000457E+002, 5.1143479E-003, 4.1971485E-001, 1.3335368E+000, 1.7229866E+001, 4.2975347E+001, 1.9267828E-005, 2.2746711E-003, 1.4683306E+001, 1.1573236E+001, 9.6705132E+000, 8.2787458E+000, 9.5166336E+001, 9.8673773E+001, 3.3809266E+001
 3.5000315E+002, 4.1164511E-003, 3.4409427E-001, 1.2525109E+000, 1.1124795E+001, 4.3210574E+001, 1.5778069E-005, 2.5093060E-003, 8.7907261E+000, 6.3340544E+000, 5.0317041E+000, 4.1356824E+000, 9.4313689E+001, 9.8786045E+001, 2.7560568E+001
 3.6000357E+002, 3.5292260E-003, 2.0046928E-001, 8.9127669E-001, 8.1078956E+000, 3.0167795E+001, 5.6062009E-006, 1.0259596E-003, 6.0214854E+000, 4.0911724E+000, 3.1157556E+000, 2.4961244E+000, 9.3570694E+001, 9.8747301E+001, 2.3797768E+001
 3.7000469E+002, 2.7268022E-003, 1.6429298E-001, 6.0691948E-001, 5.1401672E+000, 2.1212519E+001, 1.3613540E-005, 2.5594048E-004, 3.3793527E+000, 2.0499227E+000, 1.5126356E+000, 1.1743994E+000, 9.2677325E+001, 9.8743868E+001, 1.8512270E+001
 3.8000124E+002, 1.9543006E-003, 5.2986445E-002, 3.7834690E-001, 3.0281603E+000, 1.1422141E+001, 1.2762284E-006, 4.8583798E-005, 1.6878543E+000, 9.8043256E-001, 6.9380340E-001, 5.1395501E-001, 9.1526522E+001, 9.8689130E+001, 1.3127917E+001
 3.9000494E+002, 1.4413727E-003,-2.8246373E-002, 2.2498797E-001, 2.0803630E+000, 9.0931002E+000, 4.1101841E-006, 4.3577943E-005, 9.7413547E-001, 5.3378285E-001, 3.6533003E-001, 2.6909233E-001, 9.0018944E+001, 9.8527696E+001, 9.5749708E+000
 4.0000927E+002, 1.1405917E-003,-2.1974861E-002, 1.7131877E-001, 1.7722820E+000, 8.8430547E+000, 3.0723121E-006, 8.5386165E-006, 7.8982901E-001, 4.3128431E-001, 2.9214939E-001, 2.1111191E-001, 8.8393712E+001, 9.8594313E+001, 7.4623142E+000
 4.1001062E+002, 8.7095092E-004,-1.2219490E-001, 7.0490663E-002, 1.4217207E+000, 4.9369684E+000, 1.7798680E-006, 7.1117841E-006, 5.7449770E-001, 2.9290927E-001, 1.8324277E-001, 1.2440879E-001, 8.6666547E+001, 9.8548703E+001, 5.4268803E+000
 4.2001023E+002, 6.5760833E-004,-1.2010575E-001,-6.2729393E-002, 1.2611873E+000, 2.1193072E+000, 5.5941207E-006, 4.9238768E-007, 4.6420009E-001, 2.1297570E-001, 1.2623815E-001, 8.0081301E-002, 8.4880553E+001, 9.8394688E+001, 3.9860308E+000
 4.3000161E+002, 5.1639335E-004,-3.1918288E-001,-3.3978556E-001, 1.0808932E+000, 1.2632209E+000, 3.5617152E-008, 3.5375490E-008, 4.0782460E-001, 2.3514194E-001, 1.4308092E-001, 8.5702359E-002, 8.2765256E+001, 9.8175470E+001, 2.8923906E+000
 4.4000807E+002, 3.1844796E-004,-3.3030175E-001,-3.6009904E-001, 8.5901347E-001, 1.1364873E+000, 8.2447527E-009, 1.1088757E-008, 2.5792669E-001, 1.4091840E-001, 7.7423816E-002, 4.1654631E-002, 8.0684324E+001, 9.8101946E+001, 1.6641170E+000
 4.5001124E+002, 2.1275471E-004,-3.2170182E-001,-3.7179197E-001, 7.1942218E-001, 1.0065857E+000, 4.3475544E-008, 6.3987117E-009, 1.4776441E-001, 6.6160984E-002, 3.0879104E-002, 1.7976975E-002, 7.9053340E+001, 9.8129021E+001, 1.0631544E+000
 4.6001631E+002, 1.4964734E-004,-3.0638803E-001,-3.4915140E-001, 6.3100398E-001, 8.8817094E-001, 1.3527249E-008, 5.5151108E-009, 8.9846799E-002, 3.6550561E-002, 1.8278599E-002, 1.3693500E-002, 7.7671577E+001, 9.6788528E+001, 7.1592107E-001
 4.7000544E+002, 1.3129123E-004,-3.1477154E-001,-3.4803386E-001, 6.0695392E-001, 8.4222172E-001, 1.6867549E-008, 4.8575572E-009, 7.6828496E-002, 3.0212149E-002, 1.5312030E-002, 1.2194176E-002, 7.6307186E+001, 9.3589977E+001, 5.6682889E-001
 4.8001049E+002, 1.1569520E-004,-3.0771099E-001,-3.3473101E-001, 5.8271626E-001, 7.9422987E-001, 1.3283555E-008, 3.5720221E-009, 6.4045811E-002, 2.4641595E-002, 1.3411599E-002, 1.1571680E-002, 7.5064348E+001, 9.3822804E+001, 4.6683800E-001
 4.9001779E+002, 1.0338171E-004,-2.7437221E-001,-2.8918310E-001, 5.8898892E-001, 7.4789116E-001, 5.4549415E-007, 1.1294994E-009, 6.7040671E-002, 2.0965530E-002, 1.2154872E-002, 1.0523208E-002, 7.4076015E+001, 9.4450054E+001, 3.8726958E-001
 5.0000000E+002, 8.9880836E-005,-2.4546267E-001,-2.8447273E-001, 6.1982194E-001, 7.0853964E-001, 8.3681952E-007, 7.0974177E-010, 6.6726711E-002, 1.7641939E-002, 1.0383889E-002, 9.4729329E-003, 7.3157475E+001, 9.0485060E+001, 2.8953107E-001
