s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol
Time,"A-01","A-02","A-03","A-04","A-05","A-06","A-07","A-08","A-09","A-10","B-01","B-02","B-03","B-04","B-05","B-06","B-07","B-08","B-09","B-10","C-01","C-02","C-03","C-04","C-05","C-06","C-07","C-08","C-09","C-10","D-01","D-02","D-03","D-04","D-05","D-06","D-07","D-08","D-09","D-10","E-01","E-02","E-03","E-04","E-05","E-06","E-07","E-08","F-01","F-02","F-03","F-04","F-05","F-06","F-07","F-08","F-09","F-10","G-01","G-02","G-03","G-04","G-05","G-06","G-07","G-08","G-09","G-10","H-01_VEL","H-01_TEMP","H-02_VEL","H-02_TEMP","H-03_VEL","H-03_TEMP","H-04_VEL","H-04_TEMP","I-01_VEL","I-01_TEMP","I-02_VEL","I-02_TEMP","I-03_VEL","I-03_TEMP","I-04_VEL","I-04_TEMP","J-01_VEL","J-01_TEMP","J-02_VEL","J-02_TEMP","J-03_VEL","J-03_TEMP","J-04_VEL","J-04_TEMP","K-01_VEL","K-01_TEMP","K-02_VEL","K-02_TEMP","K-03_VEL","K-03_TEMP","K-04_VEL","K-04_TEMP","Wall_RADI_1","Wall_THFG_1","Wall_THFG_2","Hall_THFG","O2-1","O2-2","O2-3","O2-4"
 0.000E+00, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 0.000E+00, 2.400E+01, 0.000E+00, 2.400E+01, 0.000E+00, 2.400E+01, 0.000E+00, 2.400E+01, 0.000E+00, 2.400E+01, 0.000E+00, 2.400E+01, 0.000E+00, 2.400E+01, 0.000E+00, 2.400E+01, 0.000E+00, 2.400E+01, 0.000E+00, 2.400E+01, 0.000E+00, 2.400E+01, 0.000E+00, 2.400E+01, 0.000E+00, 2.400E+01, 0.000E+00, 2.400E+01, 0.000E+00, 2.400E+01, 0.000E+00, 2.400E+01,-1.358E-05,-1.358E-05,-1.237E-05,-1.298E-05, 2.073E-01, 2.073E-01, 2.073E-01, 2.073E-01
 1.502E+01, 2.412E+01, 2.410E+01, 2.415E+01, 2.406E+01, 2.405E+01, 2.407E+01, 2.531E+01, 2.688E+01, 2.688E+01, 2.834E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 6.398E-03, 2.400E+01, 1.170E-02, 2.400E+01, 1.459E-02, 2.400E+01, 1.563E-02, 2.400E+01, 7.225E-03, 2.400E+01, 1.186E-02, 2.400E+01, 7.389E-03, 2.400E+01, 7.584E-03, 2.400E+01, 6.485E-03, 2.400E+01, 1.365E-02, 2.400E+01, 5.821E-03, 2.400E+01, 8.166E-03, 2.400E+01, 9.634E-03, 2.400E+01, 9.171E-03, 2.400E+01, 1.237E-02, 2.400E+01, 1.291E-02, 2.400E+01, 2.253E-01, 2.260E-01, 2.128E-01, 8.130E-02, 2.073E-01, 2.073E-01, 2.073E-01, 2.073E-01
 3.002E+01, 2.422E+01, 2.418E+01, 2.429E+01, 2.417E+01, 2.437E+01, 2.724E+01, 3.561E+01, 4.026E+01, 4.026E+01, 4.340E+01, 2.401E+01, 2.401E+01, 2.401E+01, 2.401E+01, 2.402E+01, 2.483E+01, 2.637E+01, 2.731E+01, 2.731E+01, 2.724E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01,-1.672E-01, 2.402E+01,-1.856E-01, 2.403E+01, 3.098E-02, 2.596E+01, 5.859E-01, 3.122E+01,-4.085E-02, 2.400E+01,-4.270E-02, 2.400E+01, 6.179E-02, 2.413E+01, 1.526E-01, 2.450E+01, 1.592E-02, 2.400E+01, 1.292E-02, 2.400E+01, 1.271E-02, 2.400E+01, 1.168E-02, 2.400E+01, 1.458E-02, 2.400E+01, 1.531E-02, 2.400E+01, 1.636E-02, 2.400E+01, 1.221E-02, 2.400E+01, 3.714E-01, 3.730E-01, 3.701E-01, 1.354E-01, 2.073E-01, 2.073E-01, 2.073E-01, 2.073E-01
 4.502E+01, 2.431E+01, 2.427E+01, 2.441E+01, 2.429E+01, 2.466E+01, 3.243E+01, 4.479E+01, 5.076E+01, 5.076E+01, 5.405E+01, 2.403E+01, 2.404E+01, 2.405E+01, 2.406E+01, 2.459E+01, 2.805E+01, 3.561E+01, 4.178E+01, 4.178E+01, 4.113E+01, 2.401E+01, 2.402E+01, 2.466E+01, 2.597E+01, 2.652E+01, 2.745E+01, 2.912E+01, 2.994E+01, 2.994E+01, 2.926E+01, 2.400E+01, 2.400E+01, 2.401E+01, 2.402E+01, 2.451E+01, 2.449E+01, 2.550E+01, 2.636E+01, 2.636E+01, 2.645E+01, 2.399E+01, 2.399E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01,-2.206E-01, 2.405E+01,-2.134E-01, 2.410E+01,-4.803E-03, 2.641E+01, 7.569E-01, 4.405E+01,-2.534E-01, 2.403E+01,-2.737E-01, 2.405E+01, 7.939E-02, 2.878E+01, 7.700E-01, 3.702E+01, 1.756E-02, 2.400E+01, 1.495E-02, 2.400E+01, 1.858E-02, 2.400E+01, 1.624E-02, 2.400E+01, 1.651E-02, 2.400E+01, 1.866E-02, 2.400E+01, 1.546E-02, 2.400E+01, 1.507E-02, 2.400E+01, 5.253E-01, 5.300E-01, 5.224E-01, 1.925E-01, 2.073E-01, 2.073E-01, 2.073E-01, 2.073E-01
 6.001E+01, 2.441E+01, 2.436E+01, 2.452E+01, 2.440E+01, 2.475E+01, 3.600E+01, 5.190E+01, 5.784E+01, 5.784E+01, 6.065E+01, 2.405E+01, 2.407E+01, 2.431E+01, 2.478E+01, 2.598E+01, 3.122E+01, 4.394E+01, 4.966E+01, 4.966E+01, 4.823E+01, 2.409E+01, 2.416E+01, 2.479E+01, 2.669E+01, 3.433E+01, 3.554E+01, 3.868E+01, 4.208E+01, 4.208E+01, 4.068E+01, 2.404E+01, 2.415E+01, 2.483E+01, 2.538E+01, 2.795E+01, 3.264E+01, 3.578E+01, 3.629E+01, 3.629E+01, 3.735E+01, 2.663E+01, 2.513E+01, 2.453E+01, 2.424E+01, 2.423E+01, 2.449E+01, 2.551E+01, 2.595E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01,-2.557E-01, 2.410E+01,-2.743E-01, 2.444E+01, 2.641E-03, 2.789E+01, 8.100E-01, 5.080E+01,-2.749E-01, 2.424E+01,-2.792E-01, 2.606E+01,-5.113E-03, 3.174E+01, 6.925E-01, 4.531E+01, 2.338E-02, 2.400E+01, 2.210E-02, 2.400E+01, 2.503E-02, 2.400E+01, 2.040E-02, 2.400E+01, 2.280E-02, 2.400E+01, 2.223E-02, 2.400E+01, 2.294E-02, 2.400E+01, 2.552E-02, 2.400E+01, 6.940E-01, 6.980E-01, 6.778E-01, 2.560E-01, 2.073E-01, 2.073E-01, 2.073E-01, 2.073E-01
 7.501E+01, 2.452E+01, 2.445E+01, 2.466E+01, 2.466E+01, 2.531E+01, 3.972E+01, 5.702E+01, 6.402E+01, 6.402E+01, 6.675E+01, 2.436E+01, 2.448E+01, 2.485E+01, 2.594E+01, 2.960E+01, 3.705E+01, 5.026E+01, 5.583E+01, 5.583E+01, 5.426E+01, 2.507E+01, 2.545E+01, 2.583E+01, 2.735E+01, 4.037E+01, 4.277E+01, 4.687E+01, 4.789E+01, 4.789E+01, 4.540E+01, 2.446E+01, 2.607E+01, 2.715E+01, 2.884E+01, 3.095E+01, 4.026E+01, 4.200E+01, 4.075E+01, 4.075E+01, 4.099E+01, 3.065E+01, 2.838E+01, 2.702E+01, 2.669E+01, 2.678E+01, 2.740E+01, 2.998E+01, 3.132E+01, 2.400E+01, 2.400E+01, 2.401E+01, 2.401E+01, 2.401E+01, 2.406E+01, 2.487E+01, 2.512E+01, 2.534E+01, 2.534E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01,-1.956E-01, 2.429E+01,-2.631E-01, 2.700E+01, 2.387E-02, 3.228E+01, 7.788E-01, 5.712E+01,-3.643E-01, 2.470E+01,-2.616E-01, 2.739E+01, 1.154E-01, 3.670E+01, 7.229E-01, 5.121E+01, 7.927E-03, 2.400E+01, 5.855E-03, 2.400E+01, 1.392E-02, 2.400E+01, 1.183E-01, 2.410E+01, 2.567E-02, 2.400E+01, 2.601E-02, 2.400E+01, 2.435E-02, 2.400E+01, 2.537E-02, 2.400E+01, 7.620E-01, 7.675E-01, 7.643E-01, 2.870E-01, 2.073E-01, 2.073E-01, 2.073E-01, 2.073E-01
 9.001E+01, 2.462E+01, 2.458E+01, 2.499E+01, 2.598E+01, 2.812E+01, 4.406E+01, 6.024E+01, 6.714E+01, 6.714E+01, 6.936E+01, 2.497E+01, 2.536E+01, 2.577E+01, 2.758E+01, 3.261E+01, 4.141E+01, 5.480E+01, 5.932E+01, 5.932E+01, 5.688E+01, 2.668E+01, 2.721E+01, 2.745E+01, 2.811E+01, 4.292E+01, 4.825E+01, 5.197E+01, 5.217E+01, 5.217E+01, 4.835E+01, 2.641E+01, 2.762E+01, 2.872E+01, 3.091E+01, 3.176E+01, 4.291E+01, 4.836E+01, 4.810E+01, 4.810E+01, 4.743E+01, 2.972E+01, 2.999E+01, 3.014E+01, 3.006E+01, 2.953E+01, 3.036E+01, 3.273E+01, 3.462E+01, 2.401E+01, 2.401E+01, 2.402E+01, 2.402E+01, 2.407E+01, 2.499E+01, 2.608E+01, 2.678E+01, 2.718E+01, 2.718E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01,-1.791E-01, 2.504E+01,-3.072E-01, 2.837E+01,-6.750E-02, 3.599E+01, 7.205E-01, 5.959E+01,-2.859E-01, 2.545E+01,-3.500E-01, 2.933E+01, 1.159E-01, 4.060E+01, 6.717E-01, 5.465E+01,-6.656E-02, 2.401E+01,-6.944E-02, 2.401E+01,-4.169E-02, 2.430E+01, 3.645E-01, 2.595E+01, 2.204E-02, 2.400E+01, 2.169E-02, 2.400E+01, 2.172E-02, 2.400E+01, 2.328E-02, 2.400E+01, 7.801E-01, 7.913E-01, 7.721E-01, 2.981E-01, 2.073E-01, 2.073E-01, 2.073E-01, 2.073E-01
 1.050E+02, 2.479E+01, 2.489E+01, 2.579E+01, 2.758E+01, 3.143E+01, 4.642E+01, 6.387E+01, 6.983E+01, 6.983E+01, 7.162E+01, 2.514E+01, 2.639E+01, 2.718E+01, 2.928E+01, 3.442E+01, 4.431E+01, 5.745E+01, 6.147E+01, 6.147E+01, 5.892E+01, 2.842E+01, 2.881E+01, 2.889E+01, 2.934E+01, 4.155E+01, 5.100E+01, 5.403E+01, 5.435E+01, 5.435E+01, 5.095E+01, 2.825E+01, 2.941E+01, 3.065E+01, 3.159E+01, 3.247E+01, 3.834E+01, 5.180E+01, 5.276E+01, 5.276E+01, 5.242E+01, 3.506E+01, 3.375E+01, 3.344E+01, 3.296E+01, 3.314E+01, 3.388E+01, 3.575E+01, 3.674E+01, 2.402E+01, 2.402E+01, 2.403E+01, 2.406E+01, 2.512E+01, 2.690E+01, 2.882E+01, 3.010E+01, 3.098E+01, 3.098E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01, 2.400E+01,-2.818E-01, 2.610E+01,-3.353E-01, 2.980E+01,-9.079E-02, 3.935E+01, 7.404E-01, 6.190E+01,-2.597E-01, 2.677E+01,-3.652E-01, 3.035E+01, 1.192E-01, 4.504E+01, 6.121E-01, 5.685E+01,-1.390E-01, 2.402E+01,-1.338E-01, 2.405E+01, 4.829E-02, 2.505E+01, 5.414E-01, 2.918E+01,-1.992E-02, 2.400E+01,-1.695E-02, 2.400E+01, 1.164E-02, 2.401E+01, 1.331E-01, 2.422E+01, 7.485E-01, 7.638E-01, 7.503E-01, 2.975E-01, 2.073E-01, 2.073E-01, 2.073E-01, 2.071E-01
 1.200E+02, 2.515E+01, 2.554E+01, 2.676E+01, 2.873E+01, 3.388E+01, 4.953E+01, 6.710E+01, 7.196E+01, 7.196E+01, 7.313E+01, 2.559E+01, 2.682E+01, 2.835E+01, 3.047E+01, 3.619E+01, 4.716E+01, 5.912E+01, 6.289E+01, 6.289E+01, 6.028E+01, 2.935E+01, 2.974E+01, 2.992E+01, 2.986E+01, 4.471E+01, 5.340E+01, 5.569E+01, 5.571E+01, 5.571E+01, 5.236E+01, 2.872E+01, 3.038E+01, 3.189E+01, 3.295E+01, 3.406E+01, 3.867E+01, 5.383E+01, 5.396E+01, 5.396E+01, 5.378E+01, 3.604E+01, 3.474E+01, 3.489E+01, 3.515E+01, 3.551E+01, 3.583E+01, 3.766E+01, 3.861E+01, 2.403E+01, 2.404E+01, 2.416E+01, 2.637E+01, 2.799E+01, 2.988E+01, 3.125E+01, 3.231E+01, 3.291E+01, 3.291E+01, 2.400E+01, 2.401E+01, 2.401E+01, 2.401E+01, 2.406E+01, 2.437E+01, 2.479E+01, 2.492E+01, 2.491E+01, 2.491E+01,-2.610E-01, 2.727E+01,-3.615E-01, 3.138E+01,-1.323E-01, 4.215E+01, 7.113E-01, 6.302E+01,-1.629E-01, 2.754E+01,-4.514E-01, 3.059E+01, 1.370E-02, 4.832E+01, 6.078E-01, 5.748E+01,-2.193E-01, 2.404E+01,-8.732E-02, 2.481E+01, 2.299E-01, 2.713E+01, 5.694E-01, 3.102E+01,-1.872E-01, 2.402E+01,-1.752E-01, 2.404E+01, 1.008E-01, 2.495E+01, 4.321E-01, 2.709E+01, 7.549E-01, 7.687E-01, 7.652E-01, 3.028E-01, 2.072E-01, 2.072E-01, 2.071E-01, 2.069E-01
