m,kW/m
Height,HRRPUL
 2.813E-01, 2.543E+03
 8.498E-01, 2.934E+03
 1.418E+00, 2.953E+03
 1.987E+00, 2.888E+03
 2.555E+00, 2.559E+03
 3.124E+00, 2.197E+03
 3.692E+00, 1.941E+03
 4.261E+00, 1.738E+03
 4.829E+00, 1.517E+03
 5.398E+00, 1.287E+03
 5.966E+00, 1.037E+03
 6.535E+00, 7.959E+02
 7.103E+00, 5.835E+02
 7.672E+00, 4.237E+02
 8.240E+00, 3.038E+02
 8.809E+00, 2.188E+02
 9.377E+00, 1.574E+02
 9.946E+00, 1.144E+02
 1.051E+01, 8.301E+01
 1.108E+01, 6.068E+01
 1.165E+01, 4.425E+01
 1.222E+01, 3.265E+01
 1.279E+01, 2.385E+01
 1.336E+01, 1.758E+01
 1.393E+01, 1.289E+01
 1.449E+01, 9.587E+00
 1.506E+01, 7.066E+00
 1.563E+01, 5.260E+00
 1.620E+01, 3.894E+00
 1.677E+01, 2.910E+00
 1.734E+01, 2.159E+00
 1.790E+01, 1.620E+00
 1.847E+01, 1.203E+00
 1.904E+01, 9.057E-01
 1.961E+01, 6.763E-01
 2.018E+01, 5.111E-01
 2.075E+01, 3.857E-01
 2.132E+01, 2.265E-01
