z/L jet, Q jet, z/L 62, Q 62, z/L 31, Q 31
0.013480, 0.005760, 0.013350, 0.100099, 0.011501, 0.201236
0.026712, 0.013157, 0.025967, 0.149133, 0.024080, 0.294840
0.039939, 0.022332, 0.038572, 0.177041, 0.036655, 0.334543
0.053165, 0.031707, 0.051182, 0.197241, 0.049251, 0.359465
0.066391, 0.041123, 0.063822, 0.214601, 0.061792, 0.379352
0.079618, 0.050854, 0.076433, 0.230723, 0.074376, 0.396965
0.092844, 0.060971, 0.089044, 0.246322, 0.086959, 0.413149
0.106070, 0.071475, 0.101654, 0.261731, 0.099542, 0.428376
0.119330, 0.082299, 0.114265, 0.277027, 0.112126, 0.442882
0.132512, 0.093394, 0.126876, 0.292238, 0.124709, 0.456844
0.145805, 0.104752, 0.139516, 0.307311, 0.137293, 0.470334
0.158987, 0.116355, 0.152127, 0.322248, 0.149876, 0.483431
0.172169, 0.128204, 0.164737, 0.337077, 0.162417, 0.496193
0.185462, 0.140309, 0.177348, 0.351848, 0.175000, 0.508687
0.198644, 0.152691, 0.189959, 0.366591, 0.187584, 0.520938
0.211937, 0.165367, 0.202569, 0.381311, 0.200167, 0.532973
0.225119, 0.178356, 0.215180, 0.396035, 0.212751, 0.544798
0.238300, 0.191659, 0.227820, 0.410755, 0.225334, 0.556492
0.251594, 0.205297, 0.240431, 0.425460, 0.237918, 0.568094
0.264775, 0.219286, 0.253041, 0.440161, 0.250459, 0.579618
0.278069, 0.233651, 0.265652, 0.454852, 0.263042, 0.591062
0.291250, 0.248419, 0.278263, 0.469548, 0.275625, 0.602416
0.304432, 0.263658, 0.290873, 0.484277, 0.288209, 0.613710
0.317725, 0.279414, 0.303602, 0.499030, 0.300792, 0.624964
0.330907, 0.295726, 0.315977, 0.513801, 0.313376, 0.636186
0.344200, 0.312618, 0.328647, 0.528601, 0.325959, 0.647369
0.357382, 0.330085, 0.341316, 0.543387, 0.338542, 0.658506
0.370564, 0.348107, 0.353986, 0.558111, 0.351083, 0.669584
0.383857, 0.366699, 0.366655, 0.572817, 0.363667, 0.680596
