m,kW/m
Height,HRRPUL
 4.530E-02, 2.670E+03
 1.309E-01, 8.130E+02
 2.166E-01, 4.180E+02
 3.022E-01, 3.253E+02
 3.878E-01, 3.068E+02
 4.734E-01, 3.054E+02
 5.591E-01, 3.124E+02
 6.447E-01, 3.217E+02
 7.303E-01, 3.312E+02
 8.159E-01, 3.379E+02
 9.016E-01, 3.397E+02
 9.872E-01, 3.383E+02
 1.073E+00, 3.330E+02
 1.158E+00, 3.254E+02
 1.244E+00, 3.153E+02
 1.330E+00, 3.022E+02
 1.415E+00, 2.865E+02
 1.501E+00, 2.685E+02
 1.587E+00, 2.488E+02
 1.672E+00, 2.274E+02
 1.758E+00, 2.055E+02
 1.843E+00, 1.845E+02
 1.929E+00, 1.649E+02
 2.015E+00, 1.460E+02
 2.100E+00, 1.284E+02
 2.186E+00, 1.112E+02
 2.272E+00, 9.550E+01
 2.357E+00, 8.152E+01
 2.443E+00, 6.884E+01
 2.528E+00, 5.755E+01
 2.614E+00, 4.800E+01
 2.700E+00, 3.978E+01
 2.785E+00, 3.261E+01
 2.871E+00, 2.632E+01
 2.957E+00, 2.125E+01
 3.042E+00, 1.723E+01
 3.128E+00, 1.393E+01
 3.213E+00, 1.127E+01
 3.299E+00, 9.068E+00
 3.385E+00, 7.241E+00
 3.470E+00, 5.793E+00
 3.556E+00, 4.619E+00
 3.642E+00, 3.680E+00
 3.727E+00, 2.926E+00
 3.813E+00, 2.361E+00
 3.898E+00, 1.892E+00
 3.984E+00, 1.519E+00
 4.070E+00, 1.213E+00
 4.155E+00, 9.709E-01
 4.241E+00, 7.749E-01
 4.327E+00, 6.286E-01
 4.412E+00, 4.987E-01
 4.498E+00, 3.956E-01
 4.583E+00, 3.148E-01
 4.669E+00, 2.512E-01
 4.755E+00, 2.000E-01
 4.840E+00, 1.587E-01
 4.926E+00, 1.260E-01
 5.012E+00, 1.005E-01
 5.097E+00, 8.070E-02
 5.183E+00, 6.532E-02
 5.268E+00, 5.251E-02
 5.354E+00, 4.232E-02
 5.440E+00, 3.394E-02
 5.525E+00, 2.736E-02
 5.611E+00, 2.190E-02
 5.697E+00, 1.767E-02
 5.782E+00, 1.428E-02
 5.868E+00, 1.150E-02
 5.953E+00, 9.209E-03
 6.039E+00, 7.461E-03
 6.125E+00, 6.010E-03
 6.210E+00, 4.762E-03
 6.296E+00, 3.810E-03
 6.382E+00, 3.178E-03
 6.467E+00, 1.926E-03
