z/L jet, Q jet, z/L 62, Q 62, z/L 31, Q 31
0.060936, 0.118710, 0.064865, 0.503319, 0.059220, 0.512654
0.121578, 0.252145, 0.128816, 0.614552, 0.119688, 0.621826
0.182181, 0.391446, 0.192729, 0.676020, 0.180207, 0.678367
0.242874, 0.505904, 0.256679, 0.728337, 0.240676, 0.724120
0.303566, 0.597528, 0.320593, 0.776627, 0.301195, 0.767248
0.364131, 0.676563, 0.384543, 0.820795, 0.361663, 0.808171
0.424824, 0.746884, 0.448606, 0.859405, 0.422182, 0.845420
0.485389, 0.808512, 0.512444, 0.891812, 0.482650, 0.877864
0.546082, 0.860022, 0.576283, 0.918037, 0.543220, 0.904927
0.606774, 0.899885, 0.640121, 0.938533, 0.603841, 0.926767
0.667339, 0.928813, 0.704333, 0.954118, 0.663953, 0.944023
0.728032, 0.949248, 0.768172, 0.965881, 0.724574, 0.957513
0.788725, 0.963639, 0.832010, 0.974688, 0.785195, 0.967921
0.849290, 0.973851, 0.895849, 0.981249, 0.845816, 0.975872
0.909982, 0.981121, 0.960061, 0.986087, 0.905928, 0.981909
0.970547, 0.986321, 1.023899, 0.989666, 0.966549, 0.986461
1.031240, 0.990053, 1.087738, 0.992309, 1.027170, 0.989871
1.091933, 0.992754, 1.151576, 0.994266, 1.087791, 0.992419
1.152497, 0.994709, 1.215788, 0.995715, 1.147902, 0.994318
1.213190, 0.996130, 1.279627, 0.996797, 1.208523, 0.995731
1.273883, 0.997162, 1.343465, 0.997603, 1.269145, 0.996786
1.335088, 0.997918, 1.407304, 0.998206, 1.329766, 0.997579
1.395269, 0.998470, 1.471516, 0.998655, 1.389877, 0.998174
1.455449, 0.998876, 1.535354, 0.998993, 1.450498, 0.998626
1.516910, 0.999175, 1.599193, 0.999246, 1.511119, 0.998965
1.577091, 0.999395, 1.663031, 0.999437, 1.571740, 0.999223
1.637272, 0.999557, 1.727243, 0.999580, 1.631852, 0.999418
1.698733, 0.999676, 1.791082, 0.999688, 1.692473, 0.999566
1.758913, 0.999764, 1.854920, 0.999769, 1.753094, 0.999677
1.819094, 0.999829, 1.918759, 0.999830, 1.813715, 0.999761
1.880555, 0.999878, 1.982971, 0.999877, 1.873827, 0.999825
1.940736, 0.999914, 2.046809, 0.999912, 1.934448, 0.999874
2.002197, 0.999941, 2.110648, 0.999938, 1.995069, 0.999912
2.062377, 0.999961, 2.174486, 0.999958, 2.055690, 0.999940
2.122558, 0.999976, 2.238698, 0.999974, 2.115801, 0.999962
2.184019, 0.999987, 2.302537, 0.999986, 2.176422, 0.999979
2.244200, 0.999995, 2.366375, 0.999995, 2.237043, 0.999992
2.304380, 1.000000, 2.430214, 1.000000, 2.297664, 1.000000
