m,kW/m
Height,HRRPUL
 2.390E-02, 1.929E+03
 6.672E-02, 9.819E+02
 1.095E-01, 5.581E+02
 1.523E-01, 4.017E+02
 1.952E-01, 3.453E+02
 2.380E-01, 3.212E+02
 2.808E-01, 3.099E+02
 3.236E-01, 3.044E+02
 3.664E-01, 3.027E+02
 4.092E-01, 3.014E+02
 4.521E-01, 2.997E+02
 4.949E-01, 2.979E+02
 5.377E-01, 2.972E+02
 5.805E-01, 2.967E+02
 6.233E-01, 2.965E+02
 6.661E-01, 2.967E+02
 7.089E-01, 2.964E+02
 7.518E-01, 2.960E+02
 7.946E-01, 2.963E+02
 8.374E-01, 2.970E+02
 8.802E-01, 2.979E+02
 9.230E-01, 2.998E+02
 9.658E-01, 3.019E+02
 1.009E+00, 3.043E+02
 1.051E+00, 3.068E+02
 1.094E+00, 3.090E+02
 1.137E+00, 3.098E+02
 1.180E+00, 3.094E+02
 1.223E+00, 3.085E+02
 1.266E+00, 3.075E+02
 1.308E+00, 3.064E+02
 1.351E+00, 3.048E+02
 1.394E+00, 3.033E+02
 1.437E+00, 3.018E+02
 1.480E+00, 2.998E+02
 1.522E+00, 2.975E+02
 1.565E+00, 2.953E+02
 1.608E+00, 2.932E+02
 1.651E+00, 2.894E+02
 1.694E+00, 2.848E+02
 1.737E+00, 2.814E+02
 1.779E+00, 2.780E+02
 1.822E+00, 2.741E+02
 1.865E+00, 2.692E+02
 1.908E+00, 2.634E+02
 1.951E+00, 2.583E+02
 1.993E+00, 2.526E+02
 2.036E+00, 2.462E+02
 2.079E+00, 2.391E+02
 2.122E+00, 2.326E+02
 2.165E+00, 2.253E+02
 2.207E+00, 2.176E+02
 2.250E+00, 2.094E+02
 2.293E+00, 2.009E+02
 2.336E+00, 1.924E+02
 2.379E+00, 1.842E+02
 2.422E+00, 1.759E+02
 2.464E+00, 1.668E+02
 2.507E+00, 1.573E+02
 2.550E+00, 1.485E+02
 2.593E+00, 1.400E+02
 2.636E+00, 1.317E+02
 2.678E+00, 1.242E+02
 2.721E+00, 1.175E+02
 2.764E+00, 1.110E+02
 2.807E+00, 1.044E+02
 2.850E+00, 9.810E+01
 2.893E+00, 9.173E+01
 2.935E+00, 8.560E+01
 2.978E+00, 7.937E+01
 3.021E+00, 7.335E+01
 3.064E+00, 6.746E+01
 3.107E+00, 6.207E+01
 3.149E+00, 5.718E+01
 3.192E+00, 5.238E+01
 3.235E+00, 4.784E+01
 3.278E+00, 4.348E+01
 3.321E+00, 3.949E+01
 3.363E+00, 3.570E+01
 3.406E+00, 3.234E+01
 3.449E+00, 2.942E+01
 3.492E+00, 2.660E+01
 3.535E+00, 2.414E+01
 3.578E+00, 2.197E+01
 3.620E+00, 2.005E+01
 3.663E+00, 1.846E+01
 3.706E+00, 1.687E+01
 3.749E+00, 1.522E+01
 3.792E+00, 1.364E+01
 3.834E+00, 1.223E+01
 3.877E+00, 1.093E+01
 3.920E+00, 9.750E+00
 3.963E+00, 8.822E+00
 4.006E+00, 7.979E+00
 4.049E+00, 7.180E+00
 4.091E+00, 6.523E+00
 4.134E+00, 5.861E+00
 4.177E+00, 5.232E+00
 4.220E+00, 4.624E+00
 4.263E+00, 4.116E+00
 4.305E+00, 3.654E+00
 4.348E+00, 3.179E+00
 4.391E+00, 2.732E+00
 4.434E+00, 2.356E+00
 4.477E+00, 2.056E+00
 4.519E+00, 1.784E+00
 4.562E+00, 1.543E+00
 4.605E+00, 1.306E+00
 4.648E+00, 1.097E+00
 4.691E+00, 9.264E-01
 4.734E+00, 7.749E-01
 4.776E+00, 6.486E-01
 4.819E+00, 5.430E-01
 4.862E+00, 4.586E-01
 4.905E+00, 3.906E-01
 4.948E+00, 3.319E-01
 4.990E+00, 2.814E-01
 5.033E+00, 2.403E-01
 5.076E+00, 2.016E-01
 5.119E+00, 1.693E-01
 5.162E+00, 1.405E-01
 5.205E+00, 1.167E-01
 5.247E+00, 9.997E-02
 5.290E+00, 8.640E-02
 5.333E+00, 7.331E-02
 5.376E+00, 6.264E-02
 5.419E+00, 5.293E-02
 5.461E+00, 4.412E-02
 5.504E+00, 3.673E-02
 5.547E+00, 3.069E-02
 5.590E+00, 2.570E-02
 5.633E+00, 2.134E-02
 5.676E+00, 1.787E-02
 5.718E+00, 1.498E-02
 5.761E+00, 1.254E-02
 5.804E+00, 1.062E-02
 5.847E+00, 8.946E-03
 5.890E+00, 7.602E-03
 5.932E+00, 6.419E-03
 5.975E+00, 5.396E-03
 6.018E+00, 4.535E-03
 6.061E+00, 3.831E-03
 6.104E+00, 3.245E-03
 6.146E+00, 2.737E-03
 6.189E+00, 2.312E-03
 6.232E+00, 1.953E-03
 6.275E+00, 1.639E-03
 6.318E+00, 1.384E-03
 6.361E+00, 1.188E-03
 6.403E+00, 1.021E-03
 6.446E+00, 8.882E-04
 6.489E+00, 5.336E-04
