m,kW/m
Height,HRRPUL
 1.788E+00, 4.093E+04
 5.367E+00, 4.649E+04
 8.946E+00, 4.629E+04
 1.252E+01, 4.471E+04
 1.610E+01, 3.871E+04
 1.968E+01, 3.234E+04
 2.326E+01, 2.827E+04
 2.684E+01, 2.553E+04
 3.042E+01, 2.301E+04
 3.400E+01, 2.051E+04
 3.758E+01, 1.762E+04
 4.116E+01, 1.440E+04
 4.474E+01, 1.117E+04
 4.831E+01, 8.380E+03
 5.189E+01, 6.147E+03
 5.547E+01, 4.502E+03
 5.905E+01, 3.289E+03
 6.263E+01, 2.406E+03
 6.621E+01, 1.758E+03
 6.979E+01, 1.294E+03
 7.337E+01, 9.516E+02
 7.695E+01, 7.030E+02
 8.053E+01, 5.184E+02
 8.410E+01, 3.826E+02
 8.768E+01, 2.812E+02
 9.126E+01, 2.076E+02
 9.484E+01, 1.531E+02
 9.842E+01, 1.136E+02
 1.020E+02, 8.418E+01
 1.056E+02, 6.268E+01
 1.092E+02, 4.640E+01
 1.127E+02, 3.465E+01
 1.163E+02, 2.575E+01
 1.199E+02, 1.938E+01
 1.235E+02, 1.445E+01
 1.271E+02, 1.086E+01
 1.306E+02, 8.178E+00
 1.342E+02, 4.732E+00
