m,kW/m
Height,HRRPUL
 4.530E-02, 2.601E+03
 1.309E-01, 7.142E+02
 2.166E-01, 3.531E+02
 3.022E-01, 2.703E+02
 3.878E-01, 2.556E+02
 4.734E-01, 2.590E+02
 5.591E-01, 2.661E+02
 6.447E-01, 2.727E+02
 7.303E-01, 2.782E+02
 8.159E-01, 2.813E+02
 9.016E-01, 2.815E+02
 9.872E-01, 2.789E+02
 1.073E+00, 2.735E+02
 1.158E+00, 2.650E+02
 1.244E+00, 2.517E+02
 1.330E+00, 2.358E+02
 1.415E+00, 2.183E+02
 1.501E+00, 2.002E+02
 1.587E+00, 1.817E+02
 1.672E+00, 1.627E+02
 1.758E+00, 1.442E+02
 1.843E+00, 1.265E+02
 1.929E+00, 1.101E+02
 2.015E+00, 9.511E+01
 2.100E+00, 8.112E+01
 2.186E+00, 6.897E+01
 2.272E+00, 5.805E+01
 2.357E+00, 4.831E+01
 2.443E+00, 4.008E+01
 2.528E+00, 3.293E+01
 2.614E+00, 2.681E+01
 2.700E+00, 2.182E+01
 2.785E+00, 1.758E+01
 2.871E+00, 1.404E+01
 2.957E+00, 1.119E+01
 3.042E+00, 8.901E+00
 3.128E+00, 7.067E+00
 3.213E+00, 5.617E+00
 3.299E+00, 4.448E+00
 3.385E+00, 3.535E+00
 3.470E+00, 2.805E+00
 3.556E+00, 2.220E+00
 3.642E+00, 1.756E+00
 3.727E+00, 1.387E+00
 3.813E+00, 1.096E+00
 3.898E+00, 8.678E-01
 3.984E+00, 6.872E-01
 4.070E+00, 5.453E-01
 4.155E+00, 4.323E-01
 4.241E+00, 3.422E-01
 4.327E+00, 2.692E-01
 4.412E+00, 2.108E-01
 4.498E+00, 1.651E-01
 4.583E+00, 1.299E-01
 4.669E+00, 1.027E-01
 4.755E+00, 8.140E-02
 4.840E+00, 6.470E-02
 4.926E+00, 5.147E-02
 5.012E+00, 4.094E-02
 5.097E+00, 3.272E-02
 5.183E+00, 2.609E-02
 5.268E+00, 2.082E-02
 5.354E+00, 1.663E-02
 5.440E+00, 1.325E-02
 5.525E+00, 1.054E-02
 5.611E+00, 8.409E-03
 5.697E+00, 6.717E-03
 5.782E+00, 5.345E-03
 5.868E+00, 4.273E-03
 5.953E+00, 3.419E-03
 6.039E+00, 2.731E-03
 6.125E+00, 2.186E-03
 6.210E+00, 1.757E-03
 6.296E+00, 1.416E-03
 6.382E+00, 1.151E-03
 6.467E+00, 6.925E-04
