m,kW/m
Height,HRRPUL
 5.690E-02, 1.953E+03
 1.756E-01, 4.159E+02
 2.944E-01, 2.154E+02
 4.131E-01, 1.743E+02
 5.319E-01, 1.643E+02
 6.506E-01, 1.559E+02
 7.694E-01, 1.419E+02
 8.881E-01, 1.236E+02
 1.007E+00, 1.031E+02
 1.126E+00, 8.320E+01
 1.244E+00, 6.574E+01
 1.363E+00, 5.139E+01
 1.482E+00, 3.965E+01
 1.601E+00, 3.029E+01
 1.719E+00, 2.300E+01
 1.838E+00, 1.734E+01
 1.957E+00, 1.299E+01
 2.076E+00, 9.709E+00
 2.194E+00, 7.233E+00
 2.313E+00, 5.383E+00
 2.432E+00, 4.017E+00
 2.551E+00, 3.022E+00
 2.669E+00, 2.269E+00
 2.788E+00, 1.719E+00
 2.907E+00, 1.293E+00
 3.026E+00, 9.834E-01
 3.144E+00, 7.419E-01
 3.263E+00, 5.629E-01
 3.382E+00, 4.234E-01
 3.501E+00, 3.211E-01
 3.619E+00, 2.436E-01
 3.738E+00, 1.871E-01
 3.857E+00, 1.426E-01
 3.976E+00, 1.095E-01
 4.094E+00, 8.354E-02
 4.213E+00, 6.441E-02
 4.332E+00, 4.969E-02
 4.451E+00, 2.975E-02
