m,kW/m
Height,HRRPUL
 2.250E-02, 2.093E+03
 6.750E-02, 4.317E+02
 1.125E-01, 1.706E+02
 1.575E-01, 1.068E+02
 2.025E-01, 8.256E+01
 2.475E-01, 6.923E+01
 2.925E-01, 5.955E+01
 3.375E-01, 5.197E+01
 3.825E-01, 4.534E+01
 4.275E-01, 3.917E+01
 4.725E-01, 3.375E+01
 5.175E-01, 2.896E+01
 5.625E-01, 2.473E+01
 6.075E-01, 2.089E+01
 6.525E-01, 1.755E+01
 6.975E-01, 1.468E+01
 7.425E-01, 1.226E+01
 7.875E-01, 1.022E+01
 8.325E-01, 8.520E+00
 8.775E-01, 7.150E+00
 9.225E-01, 6.001E+00
 9.675E-01, 5.042E+00
 1.012E+00, 4.205E+00
 1.057E+00, 3.497E+00
 1.103E+00, 2.886E+00
 1.147E+00, 2.365E+00
 1.192E+00, 1.932E+00
 1.238E+00, 1.582E+00
 1.282E+00, 1.289E+00
 1.327E+00, 1.053E+00
 1.373E+00, 8.579E-01
 1.417E+00, 7.019E-01
 1.462E+00, 5.718E-01
 1.508E+00, 4.658E-01
 1.552E+00, 3.782E-01
 1.597E+00, 3.081E-01
 1.643E+00, 2.496E-01
 1.688E+00, 2.033E-01
 1.732E+00, 1.653E-01
 1.777E+00, 1.345E-01
 1.823E+00, 1.096E-01
 1.867E+00, 8.954E-02
 1.912E+00, 7.311E-02
 1.958E+00, 5.989E-02
 2.002E+00, 4.895E-02
 2.047E+00, 4.006E-02
 2.092E+00, 3.279E-02
 2.138E+00, 2.682E-02
 2.183E+00, 2.196E-02
 2.228E+00, 1.796E-02
 2.272E+00, 1.469E-02
 2.317E+00, 1.201E-02
 2.362E+00, 9.828E-03
 2.407E+00, 8.055E-03
 2.453E+00, 6.597E-03
 2.498E+00, 5.418E-03
 2.542E+00, 4.452E-03
 2.587E+00, 3.676E-03
 2.632E+00, 3.029E-03
 2.677E+00, 2.496E-03
 2.723E+00, 2.046E-03
 2.768E+00, 1.683E-03
 2.812E+00, 1.386E-03
 2.857E+00, 1.139E-03
 2.902E+00, 9.350E-04
 2.947E+00, 7.702E-04
 2.993E+00, 6.316E-04
 3.038E+00, 5.196E-04
 3.083E+00, 4.249E-04
 3.127E+00, 3.478E-04
 3.172E+00, 2.852E-04
 3.217E+00, 2.340E-04
 3.263E+00, 1.923E-04
 3.308E+00, 1.573E-04
 3.353E+00, 1.284E-04
 3.397E+00, 7.858E-05
