m,kW/m
Height,HRRPUL
 2.719E-02, 2.117E+03
 8.656E-02, 5.549E+02
 1.459E-01, 2.637E+02
 2.053E-01, 1.885E+02
 2.647E-01, 1.653E+02
 3.240E-01, 1.566E+02
 3.834E-01, 1.521E+02
 4.428E-01, 1.469E+02
 5.022E-01, 1.406E+02
 5.615E-01, 1.330E+02
 6.209E-01, 1.249E+02
 6.803E-01, 1.162E+02
 7.396E-01, 1.071E+02
 7.990E-01, 9.743E+01
 8.584E-01, 8.780E+01
 9.178E-01, 7.868E+01
 9.771E-01, 7.006E+01
 1.036E+00, 6.186E+01
 1.096E+00, 5.405E+01
 1.155E+00, 4.672E+01
 1.215E+00, 4.030E+01
 1.274E+00, 3.464E+01
 1.333E+00, 2.948E+01
 1.393E+00, 2.485E+01
 1.452E+00, 2.085E+01
 1.511E+00, 1.740E+01
 1.571E+00, 1.444E+01
 1.630E+00, 1.197E+01
 1.690E+00, 9.907E+00
 1.749E+00, 8.119E+00
 1.808E+00, 6.669E+00
 1.868E+00, 5.430E+00
 1.927E+00, 4.456E+00
 1.986E+00, 3.634E+00
 2.046E+00, 2.960E+00
 2.105E+00, 2.421E+00
 2.165E+00, 1.944E+00
 2.224E+00, 1.558E+00
 2.283E+00, 1.281E+00
 2.343E+00, 1.043E+00
 2.402E+00, 8.710E-01
 2.461E+00, 7.006E-01
 2.521E+00, 5.700E-01
 2.580E+00, 4.569E-01
 2.640E+00, 3.654E-01
 2.699E+00, 2.934E-01
 2.758E+00, 2.363E-01
 2.818E+00, 1.899E-01
 2.877E+00, 1.527E-01
 2.936E+00, 1.242E-01
 2.996E+00, 1.019E-01
 3.055E+00, 8.252E-02
 3.114E+00, 6.585E-02
 3.174E+00, 5.225E-02
 3.233E+00, 4.171E-02
 3.293E+00, 3.341E-02
 3.352E+00, 2.662E-02
 3.411E+00, 2.135E-02
 3.471E+00, 1.715E-02
 3.530E+00, 1.383E-02
 3.589E+00, 1.114E-02
 3.649E+00, 8.954E-03
 3.708E+00, 7.212E-03
 3.768E+00, 5.832E-03
 3.827E+00, 4.692E-03
 3.886E+00, 3.778E-03
 3.946E+00, 3.057E-03
 4.005E+00, 2.472E-03
 4.064E+00, 1.999E-03
 4.124E+00, 1.621E-03
 4.183E+00, 1.306E-03
 4.243E+00, 1.061E-03
 4.302E+00, 8.578E-04
 4.361E+00, 6.938E-04
 4.421E+00, 5.679E-04
 4.480E+00, 3.404E-04
