m,kW/m
Height,HRRPUL
 4.500E-02, 1.197E+03
 1.350E-01, 1.992E+02
 2.250E-01, 8.113E+01
 3.150E-01, 5.201E+01
 4.050E-01, 3.797E+01
 4.950E-01, 2.887E+01
 5.850E-01, 2.181E+01
 6.750E-01, 1.636E+01
 7.650E-01, 1.225E+01
 8.550E-01, 9.163E+00
 9.450E-01, 6.816E+00
 1.035E+00, 5.065E+00
 1.125E+00, 3.751E+00
 1.215E+00, 2.785E+00
 1.305E+00, 2.064E+00
 1.395E+00, 1.528E+00
 1.485E+00, 1.127E+00
 1.575E+00, 8.375E-01
 1.665E+00, 6.232E-01
 1.755E+00, 4.646E-01
 1.845E+00, 3.461E-01
 1.935E+00, 2.588E-01
 2.025E+00, 1.930E-01
 2.115E+00, 1.436E-01
 2.205E+00, 1.062E-01
 2.295E+00, 7.871E-02
 2.385E+00, 5.849E-02
 2.475E+00, 4.372E-02
 2.565E+00, 3.280E-02
 2.655E+00, 2.474E-02
 2.745E+00, 1.860E-02
 2.835E+00, 1.405E-02
 2.925E+00, 1.054E-02
 3.015E+00, 7.992E-03
 3.105E+00, 6.023E-03
 3.195E+00, 4.597E-03
 3.285E+00, 3.496E-03
 3.375E+00, 2.116E-03
