m,kW/m
Height,HRRPUL
 5.160E-02, 1.929E+03
 1.589E-01, 2.298E+03
 2.661E-01, 2.127E+03
 3.734E-01, 1.773E+03
 4.806E-01, 1.545E+03
 5.879E-01, 1.415E+03
 6.951E-01, 1.353E+03
 8.024E-01, 1.306E+03
 9.096E-01, 1.278E+03
 1.017E+00, 1.259E+03
 1.124E+00, 1.240E+03
 1.231E+00, 1.224E+03
 1.339E+00, 1.210E+03
 1.446E+00, 1.200E+03
 1.553E+00, 1.192E+03
 1.660E+00, 1.189E+03
 1.768E+00, 1.186E+03
 1.875E+00, 1.189E+03
 1.982E+00, 1.195E+03
 2.089E+00, 1.201E+03
 2.197E+00, 1.208E+03
 2.304E+00, 1.214E+03
 2.411E+00, 1.220E+03
 2.518E+00, 1.228E+03
 2.626E+00, 1.240E+03
 2.733E+00, 1.247E+03
 2.840E+00, 1.253E+03
 2.947E+00, 1.256E+03
 3.055E+00, 1.255E+03
 3.162E+00, 1.257E+03
 3.269E+00, 1.259E+03
 3.376E+00, 1.261E+03
 3.484E+00, 1.260E+03
 3.591E+00, 1.253E+03
 3.698E+00, 1.239E+03
 3.805E+00, 1.219E+03
 3.913E+00, 1.197E+03
 4.020E+00, 1.170E+03
 4.127E+00, 1.142E+03
 4.234E+00, 1.112E+03
 4.342E+00, 1.083E+03
 4.449E+00, 1.052E+03
 4.556E+00, 1.017E+03
 4.663E+00, 9.806E+02
 4.771E+00, 9.450E+02
 4.878E+00, 9.044E+02
 4.985E+00, 8.638E+02
 5.092E+00, 8.229E+02
 5.200E+00, 7.813E+02
 5.307E+00, 7.396E+02
 5.414E+00, 6.996E+02
 5.521E+00, 6.611E+02
 5.629E+00, 6.218E+02
 5.736E+00, 5.824E+02
 5.843E+00, 5.446E+02
 5.950E+00, 5.061E+02
 6.058E+00, 4.687E+02
 6.165E+00, 4.307E+02
 6.272E+00, 3.939E+02
 6.379E+00, 3.579E+02
 6.487E+00, 3.245E+02
 6.594E+00, 2.937E+02
 6.701E+00, 2.647E+02
 6.808E+00, 2.383E+02
 6.916E+00, 2.140E+02
 7.023E+00, 1.915E+02
 7.130E+00, 1.716E+02
 7.237E+00, 1.536E+02
 7.345E+00, 1.374E+02
 7.452E+00, 1.228E+02
 7.559E+00, 1.099E+02
 7.666E+00, 9.855E+01
 7.774E+00, 8.842E+01
 7.881E+00, 7.941E+01
 7.988E+00, 7.141E+01
 8.095E+00, 6.435E+01
 8.203E+00, 5.782E+01
 8.310E+00, 5.175E+01
 8.417E+00, 4.604E+01
 8.524E+00, 4.110E+01
 8.632E+00, 3.644E+01
 8.739E+00, 3.226E+01
 8.846E+00, 2.860E+01
 8.953E+00, 2.546E+01
 9.061E+00, 2.297E+01
 9.168E+00, 2.063E+01
 9.275E+00, 1.842E+01
 9.382E+00, 1.640E+01
 9.490E+00, 1.465E+01
 9.597E+00, 1.303E+01
 9.704E+00, 1.134E+01
 9.811E+00, 9.855E+00
 9.919E+00, 8.594E+00
 1.003E+01, 7.466E+00
 1.013E+01, 6.444E+00
 1.024E+01, 5.469E+00
 1.035E+01, 4.573E+00
 1.045E+01, 3.780E+00
 1.056E+01, 3.100E+00
 1.067E+01, 2.550E+00
 1.078E+01, 2.101E+00
 1.088E+01, 1.731E+00
 1.099E+01, 1.421E+00
 1.110E+01, 1.165E+00
 1.121E+01, 9.559E-01
 1.131E+01, 7.869E-01
 1.142E+01, 6.518E-01
 1.153E+01, 5.453E-01
 1.163E+01, 4.576E-01
 1.174E+01, 3.822E-01
 1.185E+01, 3.190E-01
 1.196E+01, 2.677E-01
 1.206E+01, 2.243E-01
 1.217E+01, 1.880E-01
 1.228E+01, 1.573E-01
 1.239E+01, 1.316E-01
 1.249E+01, 1.108E-01
 1.260E+01, 9.326E-02
 1.271E+01, 7.847E-02
 1.281E+01, 6.556E-02
 1.292E+01, 5.476E-02
 1.303E+01, 4.564E-02
 1.314E+01, 3.834E-02
 1.324E+01, 3.217E-02
 1.335E+01, 2.707E-02
 1.346E+01, 2.283E-02
 1.357E+01, 1.919E-02
 1.367E+01, 1.613E-02
 1.378E+01, 1.358E-02
 1.389E+01, 1.143E-02
 1.399E+01, 9.607E-03
 1.410E+01, 8.082E-03
 1.421E+01, 6.783E-03
 1.432E+01, 5.688E-03
 1.442E+01, 4.774E-03
 1.453E+01, 4.014E-03
 1.464E+01, 3.378E-03
 1.474E+01, 2.845E-03
 1.485E+01, 2.393E-03
 1.496E+01, 2.025E-03
 1.507E+01, 1.706E-03
 1.517E+01, 1.429E-03
 1.528E+01, 1.209E-03
 1.539E+01, 1.014E-03
 1.550E+01, 8.496E-04
 1.560E+01, 7.153E-04
 1.571E+01, 6.048E-04
 1.582E+01, 5.096E-04
 1.592E+01, 4.293E-04
 1.603E+01, 3.602E-04
 1.614E+01, 3.061E-04
 1.625E+01, 1.828E-04
