m,kW/m
Height,HRRPUL
 4.734E-01, 9.858E+03
 1.414E+00, 9.894E+03
 2.355E+00, 1.004E+04
 3.296E+00, 1.021E+04
 4.236E+00, 1.052E+04
 5.177E+00, 1.080E+04
 6.118E+00, 1.082E+04
 7.059E+00, 1.084E+04
 7.999E+00, 1.086E+04
 8.940E+00, 1.084E+04
 9.881E+00, 1.085E+04
 1.082E+01, 1.086E+04
 1.176E+01, 1.083E+04
 1.270E+01, 1.075E+04
 1.364E+01, 1.063E+04
 1.458E+01, 1.050E+04
 1.553E+01, 1.035E+04
 1.647E+01, 1.015E+04
 1.741E+01, 9.901E+03
 1.835E+01, 9.667E+03
 1.929E+01, 9.398E+03
 2.023E+01, 9.116E+03
 2.117E+01, 8.826E+03
 2.211E+01, 8.499E+03
 2.305E+01, 8.143E+03
 2.399E+01, 7.767E+03
 2.493E+01, 7.312E+03
 2.587E+01, 6.814E+03
 2.681E+01, 6.284E+03
 2.776E+01, 5.709E+03
 2.870E+01, 5.096E+03
 2.964E+01, 4.460E+03
 3.058E+01, 3.827E+03
 3.152E+01, 3.252E+03
 3.246E+01, 2.725E+03
 3.340E+01, 2.243E+03
 3.434E+01, 1.834E+03
 3.528E+01, 1.503E+03
 3.622E+01, 1.225E+03
 3.716E+01, 9.927E+02
 3.810E+01, 8.006E+02
 3.904E+01, 6.430E+02
 3.998E+01, 5.160E+02
 4.093E+01, 4.110E+02
 4.187E+01, 3.258E+02
 4.281E+01, 2.578E+02
 4.375E+01, 2.039E+02
 4.469E+01, 1.617E+02
 4.563E+01, 1.279E+02
 4.657E+01, 1.011E+02
 4.751E+01, 7.967E+01
 4.845E+01, 6.297E+01
 4.939E+01, 4.986E+01
 5.033E+01, 3.949E+01
 5.127E+01, 3.120E+01
 5.221E+01, 2.474E+01
 5.316E+01, 1.968E+01
 5.410E+01, 1.570E+01
 5.504E+01, 1.248E+01
 5.598E+01, 9.923E+00
 5.692E+01, 7.901E+00
 5.786E+01, 6.309E+00
 5.880E+01, 5.028E+00
 5.974E+01, 4.013E+00
 6.068E+01, 3.202E+00
 6.162E+01, 2.568E+00
 6.256E+01, 2.065E+00
 6.350E+01, 1.668E+00
 6.444E+01, 1.340E+00
 6.539E+01, 1.084E+00
 6.633E+01, 8.689E-01
 6.727E+01, 6.992E-01
 6.821E+01, 5.640E-01
 6.915E+01, 4.547E-01
 7.009E+01, 3.707E-01
 7.103E+01, 2.207E-01
