m,kW/m
Height,HRRPUL
 3.750E-01, 4.019E+03
 1.125E+00, 4.469E+03
 1.875E+00, 4.649E+03
 2.625E+00, 4.345E+03
 3.375E+00, 3.837E+03
 4.125E+00, 3.336E+03
 4.875E+00, 2.940E+03
 5.625E+00, 2.597E+03
 6.375E+00, 2.251E+03
 7.125E+00, 1.894E+03
 7.875E+00, 1.516E+03
 8.625E+00, 1.152E+03
 9.375E+00, 8.442E+02
 1.012E+01, 6.098E+02
 1.088E+01, 4.395E+02
 1.162E+01, 3.172E+02
 1.238E+01, 2.291E+02
 1.312E+01, 1.662E+02
 1.388E+01, 1.212E+02
 1.462E+01, 8.887E+01
 1.538E+01, 6.496E+01
 1.612E+01, 4.782E+01
 1.688E+01, 3.508E+01
 1.762E+01, 2.600E+01
 1.838E+01, 1.916E+01
 1.912E+01, 1.430E+01
 1.988E+01, 1.062E+01
 2.062E+01, 7.932E+00
 2.138E+01, 5.929E+00
 2.212E+01, 4.459E+00
 2.288E+01, 3.342E+00
 2.362E+01, 2.494E+00
 2.438E+01, 1.880E+00
 2.512E+01, 1.432E+00
 2.588E+01, 1.084E+00
 2.662E+01, 8.217E-01
 2.738E+01, 6.227E-01
 2.812E+01, 3.692E-01
