m,kW/m
Height,HRRPUL
 1.734E+00, 6.835E+04
 5.141E+00, 7.041E+04
 8.549E+00, 7.122E+04
 1.196E+01, 7.207E+04
 1.536E+01, 7.437E+04
 1.877E+01, 7.736E+04
 2.218E+01, 7.995E+04
 2.559E+01, 8.084E+04
 2.899E+01, 8.117E+04
 3.240E+01, 8.104E+04
 3.581E+01, 8.082E+04
 3.922E+01, 8.011E+04
 4.262E+01, 7.950E+04
 4.603E+01, 7.910E+04
 4.944E+01, 7.777E+04
 5.285E+01, 7.548E+04
 5.625E+01, 7.333E+04
 5.966E+01, 7.153E+04
 6.307E+01, 6.966E+04
 6.648E+01, 6.792E+04
 6.988E+01, 6.618E+04
 7.329E+01, 6.412E+04
 7.670E+01, 6.173E+04
 8.011E+01, 5.877E+04
 8.351E+01, 5.531E+04
 8.692E+01, 5.168E+04
 9.033E+01, 4.788E+04
 9.374E+01, 4.362E+04
 9.714E+01, 3.871E+04
 1.006E+02, 3.364E+04
 1.040E+02, 2.879E+04
 1.074E+02, 2.431E+04
 1.108E+02, 2.029E+04
 1.142E+02, 1.667E+04
 1.176E+02, 1.354E+04
 1.210E+02, 1.093E+04
 1.244E+02, 8.795E+03
 1.278E+02, 7.016E+03
 1.312E+02, 5.574E+03
 1.346E+02, 4.400E+03
 1.380E+02, 3.440E+03
 1.414E+02, 2.674E+03
 1.448E+02, 2.089E+03
 1.483E+02, 1.628E+03
 1.517E+02, 1.267E+03
 1.551E+02, 9.826E+02
 1.585E+02, 7.633E+02
 1.619E+02, 5.913E+02
 1.653E+02, 4.577E+02
 1.687E+02, 3.551E+02
 1.721E+02, 2.756E+02
 1.755E+02, 2.141E+02
 1.789E+02, 1.663E+02
 1.823E+02, 1.293E+02
 1.857E+02, 1.001E+02
 1.891E+02, 7.740E+01
 1.926E+02, 6.006E+01
 1.960E+02, 4.659E+01
 1.994E+02, 3.621E+01
 2.028E+02, 2.831E+01
 2.062E+02, 2.213E+01
 2.096E+02, 1.738E+01
 2.130E+02, 1.368E+01
 2.164E+02, 1.073E+01
 2.198E+02, 8.451E+00
 2.232E+02, 6.668E+00
 2.266E+02, 5.287E+00
 2.300E+02, 4.195E+00
 2.334E+02, 3.322E+00
 2.369E+02, 2.639E+00
 2.403E+02, 2.095E+00
 2.437E+02, 1.672E+00
 2.471E+02, 1.329E+00
 2.505E+02, 1.058E+00
 2.539E+02, 8.526E-01
 2.573E+02, 5.062E-01
