m,kW/m
Height,HRRPUL
 8.810E-02, 2.662E+03
 2.594E-01, 5.883E+02
 4.306E-01, 3.251E+02
 6.019E-01, 2.767E+02
 7.731E-01, 2.554E+02
 9.444E-01, 2.336E+02
 1.116E+00, 2.042E+02
 1.287E+00, 1.714E+02
 1.458E+00, 1.387E+02
 1.629E+00, 1.084E+02
 1.801E+00, 8.243E+01
 1.972E+00, 6.221E+01
 2.143E+00, 4.658E+01
 2.314E+00, 3.470E+01
 2.486E+00, 2.559E+01
 2.657E+00, 1.893E+01
 2.828E+00, 1.398E+01
 2.999E+00, 1.035E+01
 3.171E+00, 7.664E+00
 3.342E+00, 5.719E+00
 3.513E+00, 4.263E+00
 3.684E+00, 3.189E+00
 3.856E+00, 2.377E+00
 4.027E+00, 1.787E+00
 4.198E+00, 1.339E+00
 4.369E+00, 1.008E+00
 4.541E+00, 7.578E-01
 4.712E+00, 5.715E-01
 4.883E+00, 4.288E-01
 5.054E+00, 3.235E-01
 5.226E+00, 2.439E-01
 5.397E+00, 1.851E-01
 5.568E+00, 1.403E-01
 5.739E+00, 1.077E-01
 5.911E+00, 8.154E-02
 6.082E+00, 6.235E-02
 6.253E+00, 4.769E-02
 6.424E+00, 2.823E-02
