m,kW/m
Height,HRRPUL
 8.810E-02, 2.446E+03
 2.594E-01, 5.237E+02
 4.306E-01, 2.752E+02
 6.019E-01, 2.302E+02
 7.731E-01, 2.035E+02
 9.444E-01, 1.732E+02
 1.116E+00, 1.401E+02
 1.287E+00, 1.089E+02
 1.458E+00, 8.187E+01
 1.629E+00, 6.051E+01
 1.801E+00, 4.442E+01
 1.972E+00, 3.247E+01
 2.143E+00, 2.362E+01
 2.314E+00, 1.719E+01
 2.486E+00, 1.251E+01
 2.657E+00, 9.161E+00
 2.828E+00, 6.696E+00
 2.999E+00, 4.895E+00
 3.171E+00, 3.593E+00
 3.342E+00, 2.652E+00
 3.513E+00, 1.960E+00
 3.684E+00, 1.457E+00
 3.856E+00, 1.082E+00
 4.027E+00, 8.082E-01
 4.198E+00, 6.059E-01
 4.369E+00, 4.560E-01
 4.541E+00, 3.431E-01
 4.712E+00, 2.600E-01
 4.883E+00, 1.962E-01
 5.054E+00, 1.484E-01
 5.226E+00, 1.118E-01
 5.397E+00, 8.487E-02
 5.568E+00, 6.392E-02
 5.739E+00, 4.851E-02
 5.911E+00, 3.646E-02
 6.082E+00, 2.757E-02
 6.253E+00, 2.091E-02
 6.424E+00, 1.247E-02
