z/L jet, Q jet, z/L 62, Q 62, z/L 31, Q 31
0.026095, 0.034236, 0.030577, 0.251265, 0.027586, 0.297894
0.051938, 0.070952, 0.060286, 0.327774, 0.056381, 0.390726
0.077782, 0.107975, 0.090029, 0.367110, 0.085162, 0.436318
0.103625, 0.144227, 0.119738, 0.397723, 0.113972, 0.469558
0.129480, 0.186568, 0.149447, 0.426595, 0.142783, 0.499439
0.155345, 0.231938, 0.179156, 0.455335, 0.171544, 0.528457
0.181210, 0.274163, 0.208900, 0.484734, 0.200355, 0.557175
0.206967, 0.312737, 0.238609, 0.515008, 0.229165, 0.585722
0.232832, 0.348915, 0.268318, 0.546176, 0.257975, 0.613996
0.258697, 0.383985, 0.298027, 0.577975, 0.286737, 0.642099
0.284563, 0.418970, 0.327770, 0.609943, 0.315547, 0.669875
0.310428, 0.454874, 0.357479, 0.641779, 0.344357, 0.696985
0.336184, 0.491400, 0.387258, 0.673117, 0.373119, 0.723232
0.362050, 0.526048, 0.416758, 0.703739, 0.401929, 0.748499
0.387915, 0.559186, 0.446606, 0.733411, 0.430739, 0.772615
0.413781, 0.591090, 0.476454, 0.761850, 0.459549, 0.795437
0.439646, 0.621907, 0.505955, 0.788812, 0.488311, 0.816887
0.465402, 0.651732, 0.535802, 0.814079, 0.516879, 0.836886
0.491268, 0.680575, 0.565650, 0.837493, 0.545980, 0.855421
0.517133, 0.708426, 0.595151, 0.858893, 0.574596, 0.872532
0.542998, 0.735201, 0.624999, 0.878232, 0.603698, 0.888204
0.568864, 0.760931, 0.654499, 0.895595, 0.632314, 0.902491
0.594729, 0.785711, 0.684347, 0.911113, 0.660930, 0.915394
0.620485, 0.809509, 0.714195, 0.924852, 0.690031, 0.926943
0.646351, 0.832189, 0.743696, 0.936936, 0.718647, 0.937206
0.672216, 0.853571, 0.773544, 0.947400, 0.747264, 0.946259
0.698081, 0.873528, 0.803391, 0.956388, 0.776365, 0.954216
0.723947, 0.891965, 0.832892, 0.964059, 0.804981, 0.961199
0.749703, 0.908766, 0.862740, 0.970537, 0.834082, 0.967322
0.775569, 0.923837, 0.892241, 0.975953, 0.862698, 0.972660
0.801434, 0.937156, 0.922088, 0.980470, 0.891315, 0.977239
0.827299, 0.948733, 0.951936, 0.984214, 0.920416, 0.981131
0.853165, 0.958586, 0.981437, 0.987283, 0.949032, 0.984423
0.878921, 0.966795, 1.011285, 0.989760, 0.977648, 0.987189
0.904786, 0.973520, 1.041132, 0.991759, 1.006749, 0.989493
0.930652, 0.978973, 1.070633, 0.993381, 1.035366, 0.991402
0.956517, 0.983350, 1.100481, 0.994692, 1.064467, 0.992977
0.982382, 0.986838, 1.129982, 0.995752, 1.093083, 0.994283
1.008248, 0.989603, 1.159829, 0.996606, 1.121699, 0.995358
1.034004, 0.991796, 1.189677, 0.997287, 1.150800, 0.996240
1.059869, 0.993534, 1.219178, 0.997832, 1.179417, 0.996958
1.085735, 0.994908, 1.249026, 0.998267, 1.208033, 0.997541
1.111928, 0.995992, 1.278874, 0.998613, 1.237134, 0.998017
1.137029, 0.996845, 1.308374, 0.998889, 1.265750, 0.998404
1.163222, 0.997516, 1.338222, 0.999111, 1.294851, 0.998716
1.189415, 0.998045, 1.367723, 0.999289, 1.323468, 0.998969
1.214516, 0.998463, 1.397571, 0.999432, 1.352084, 0.999172
1.240709, 0.998791, 1.427418, 0.999546, 1.381185, 0.999336
1.266902, 0.999049, 1.456919, 0.999637, 1.409801, 0.999467
1.292003, 0.999252, 1.486767, 0.999710, 1.438417, 0.999574
1.318196, 0.999412, 1.516615, 0.999769, 1.467519, 0.999659
1.344389, 0.999537, 1.546115, 0.999816, 1.496135, 0.999727
1.369490, 0.999636, 1.575963, 0.999854, 1.524751, 0.999781
1.395683, 0.999714, 1.605464, 0.999883, 1.553852, 0.999825
1.421876, 0.999775, 1.635312, 0.999907, 1.582469, 0.999860
1.448068, 0.999823, 1.665159, 0.999926, 1.611570, 0.999887
1.473170, 0.999861, 1.694660, 0.999941, 1.640186, 0.999909
1.499363, 0.999891, 1.724508, 0.999953, 1.668802, 0.999927
1.525555, 0.999914, 1.754356, 0.999962, 1.697903, 0.999942
1.550657, 0.999933, 1.783856, 0.999970, 1.726520, 0.999953
1.576850, 0.999947, 1.813704, 0.999976, 1.755136, 0.999963
1.603042, 0.999959, 1.843205, 0.999981, 1.784237, 0.999970
1.628144, 0.999968, 1.873053, 0.999985, 1.812853, 0.999976
1.654337, 0.999975, 1.902901, 0.999988, 1.841954, 0.999981
1.680529, 0.999980, 1.932401, 0.999990, 1.870571, 0.999985
1.705631, 0.999985, 1.962249, 0.999992, 1.899187, 0.999988
1.731824, 0.999988, 1.992097, 0.999994, 1.928288, 0.999991
1.758016, 0.999991, 2.021598, 0.999995, 1.956904, 0.999993
1.783118, 0.999993, 2.051445, 0.999997, 1.985520, 0.999995
1.809311, 0.999995, 2.080946, 0.999997, 2.014622, 0.999996
1.835503, 0.999996, 2.110794, 0.999998, 2.043238, 0.999997
1.860605, 0.999998, 2.140642, 0.999999, 2.072339, 0.999998
1.886798, 0.999998, 2.170142, 0.999999, 2.100955, 0.999999
1.912990, 0.999999, 2.199990, 1.000000, 2.129571, 0.999999
1.938092, 1.000000, 2.229838, 1.000000, 2.158673, 1.000000
1.964285, 1.000000, 2.259339, 1.000000, 2.187289, 1.000000
