m,kW/m
Height,HRRPUL
 2.250E+00, 1.054E+05
 6.750E+00, 1.092E+05
 1.125E+01, 1.138E+05
 1.575E+01, 1.178E+05
 2.025E+01, 1.227E+05
 2.475E+01, 1.269E+05
 2.925E+01, 1.308E+05
 3.375E+01, 1.322E+05
 3.825E+01, 1.327E+05
 4.275E+01, 1.326E+05
 4.725E+01, 1.317E+05
 5.175E+01, 1.304E+05
 5.625E+01, 1.282E+05
 6.075E+01, 1.258E+05
 6.525E+01, 1.226E+05
 6.975E+01, 1.182E+05
 7.425E+01, 1.142E+05
 7.875E+01, 1.111E+05
 8.325E+01, 1.084E+05
 8.775E+01, 1.055E+05
 9.225E+01, 1.016E+05
 9.675E+01, 9.704E+04
 1.012E+02, 9.134E+04
 1.058E+02, 8.483E+04
 1.102E+02, 7.728E+04
 1.148E+02, 6.997E+04
 1.192E+02, 6.231E+04
 1.238E+02, 5.423E+04
 1.282E+02, 4.663E+04
 1.328E+02, 3.950E+04
 1.372E+02, 3.314E+04
 1.418E+02, 2.741E+04
 1.462E+02, 2.238E+04
 1.508E+02, 1.811E+04
 1.552E+02, 1.458E+04
 1.598E+02, 1.169E+04
 1.642E+02, 9.208E+03
 1.688E+02, 7.263E+03
 1.732E+02, 5.715E+03
 1.778E+02, 4.488E+03
 1.822E+02, 3.488E+03
 1.868E+02, 2.709E+03
 1.912E+02, 2.105E+03
 1.958E+02, 1.637E+03
 2.002E+02, 1.276E+03
 2.048E+02, 9.991E+02
 2.092E+02, 7.834E+02
 2.138E+02, 6.136E+02
 2.182E+02, 4.809E+02
 2.228E+02, 3.755E+02
 2.272E+02, 2.924E+02
 2.318E+02, 2.269E+02
 2.362E+02, 1.764E+02
 2.408E+02, 1.368E+02
 2.452E+02, 1.066E+02
 2.498E+02, 8.332E+01
 2.542E+02, 6.525E+01
 2.588E+02, 5.134E+01
 2.632E+02, 4.033E+01
 2.678E+02, 3.187E+01
 2.722E+02, 2.508E+01
 2.768E+02, 1.976E+01
 2.812E+02, 1.561E+01
 2.858E+02, 1.241E+01
 2.902E+02, 9.842E+00
 2.948E+02, 7.806E+00
 2.992E+02, 6.197E+00
 3.038E+02, 4.949E+00
 3.082E+02, 3.943E+00
 3.128E+02, 3.144E+00
 3.172E+02, 2.501E+00
 3.218E+02, 2.002E+00
 3.262E+02, 1.608E+00
 3.308E+02, 1.297E+00
 3.352E+02, 1.055E+00
 3.398E+02, 6.254E-01
