m,kW/m
Height,HRRPUL
 2.391E+00, 5.352E+04
 7.127E+00, 6.202E+04
 1.186E+01, 6.332E+04
 1.660E+01, 5.542E+04
 2.134E+01, 4.439E+04
 2.607E+01, 3.799E+04
 3.081E+01, 3.389E+04
 3.554E+01, 2.992E+04
 4.028E+01, 2.525E+04
 4.502E+01, 2.022E+04
 4.975E+01, 1.496E+04
 5.449E+01, 1.060E+04
 5.923E+01, 7.521E+03
 6.396E+01, 5.345E+03
 6.870E+01, 3.816E+03
 7.343E+01, 2.724E+03
 7.817E+01, 1.954E+03
 8.291E+01, 1.412E+03
 8.764E+01, 1.024E+03
 9.238E+01, 7.416E+02
 9.712E+01, 5.365E+02
 1.019E+02, 3.902E+02
 1.066E+02, 2.840E+02
 1.113E+02, 2.075E+02
 1.161E+02, 1.513E+02
 1.208E+02, 1.108E+02
 1.255E+02, 8.098E+01
 1.303E+02, 5.963E+01
 1.350E+02, 4.373E+01
 1.397E+02, 3.235E+01
 1.445E+02, 2.376E+01
 1.492E+02, 1.763E+01
 1.540E+02, 1.296E+01
 1.587E+02, 9.652E+00
 1.634E+02, 7.114E+00
 1.682E+02, 5.305E+00
 1.729E+02, 3.964E+00
 1.776E+02, 2.295E+00
