m,kW/m
Height,HRRPUL
 1.808E-01, 5.322E+03
 5.374E-01, 5.669E+03
 8.939E-01, 6.339E+03
 1.250E+00, 6.237E+03
 1.607E+00, 5.856E+03
 1.964E+00, 5.557E+03
 2.320E+00, 5.395E+03
 2.677E+00, 5.334E+03
 3.033E+00, 5.328E+03
 3.390E+00, 5.355E+03
 3.746E+00, 5.383E+03
 4.103E+00, 5.403E+03
 4.460E+00, 5.430E+03
 4.816E+00, 5.473E+03
 5.173E+00, 5.512E+03
 5.529E+00, 5.554E+03
 5.886E+00, 5.612E+03
 6.242E+00, 5.682E+03
 6.599E+00, 5.752E+03
 6.956E+00, 5.834E+03
 7.312E+00, 5.926E+03
 7.669E+00, 6.028E+03
 8.025E+00, 6.151E+03
 8.382E+00, 6.288E+03
 8.738E+00, 6.426E+03
 9.095E+00, 6.577E+03
 9.451E+00, 6.741E+03
 9.808E+00, 6.897E+03
 1.016E+01, 7.048E+03
 1.052E+01, 7.188E+03
 1.088E+01, 7.331E+03
 1.123E+01, 7.463E+03
 1.159E+01, 7.577E+03
 1.195E+01, 7.663E+03
 1.230E+01, 7.737E+03
 1.266E+01, 7.798E+03
 1.302E+01, 7.824E+03
 1.337E+01, 7.820E+03
 1.373E+01, 7.822E+03
 1.409E+01, 7.794E+03
 1.444E+01, 7.751E+03
 1.480E+01, 7.671E+03
 1.516E+01, 7.582E+03
 1.551E+01, 7.481E+03
 1.587E+01, 7.358E+03
 1.623E+01, 7.197E+03
 1.658E+01, 7.029E+03
 1.694E+01, 6.847E+03
 1.730E+01, 6.639E+03
 1.765E+01, 6.430E+03
 1.801E+01, 6.212E+03
 1.837E+01, 5.976E+03
 1.872E+01, 5.737E+03
 1.908E+01, 5.486E+03
 1.944E+01, 5.227E+03
 1.979E+01, 4.967E+03
 2.015E+01, 4.711E+03
 2.050E+01, 4.458E+03
 2.086E+01, 4.210E+03
 2.122E+01, 3.962E+03
 2.157E+01, 3.712E+03
 2.193E+01, 3.468E+03
 2.229E+01, 3.226E+03
 2.264E+01, 2.985E+03
 2.300E+01, 2.754E+03
 2.336E+01, 2.539E+03
 2.371E+01, 2.334E+03
 2.407E+01, 2.147E+03
 2.443E+01, 1.969E+03
 2.478E+01, 1.801E+03
 2.514E+01, 1.652E+03
 2.550E+01, 1.506E+03
 2.585E+01, 1.373E+03
 2.621E+01, 1.242E+03
 2.657E+01, 1.123E+03
 2.692E+01, 1.011E+03
 2.728E+01, 9.044E+02
 2.764E+01, 8.035E+02
 2.799E+01, 7.115E+02
 2.835E+01, 6.309E+02
 2.871E+01, 5.602E+02
 2.906E+01, 4.961E+02
 2.942E+01, 4.354E+02
 2.978E+01, 3.828E+02
 3.013E+01, 3.361E+02
 3.049E+01, 2.935E+02
 3.085E+01, 2.556E+02
 3.120E+01, 2.223E+02
 3.156E+01, 1.935E+02
 3.192E+01, 1.691E+02
 3.227E+01, 1.471E+02
 3.263E+01, 1.291E+02
 3.298E+01, 1.126E+02
 3.334E+01, 9.813E+01
 3.370E+01, 8.543E+01
 3.405E+01, 7.392E+01
 3.441E+01, 6.407E+01
 3.477E+01, 5.558E+01
 3.512E+01, 4.851E+01
 3.548E+01, 4.164E+01
 3.584E+01, 3.555E+01
 3.619E+01, 3.049E+01
 3.655E+01, 2.623E+01
 3.691E+01, 2.243E+01
 3.726E+01, 1.917E+01
 3.762E+01, 1.651E+01
 3.798E+01, 1.429E+01
 3.833E+01, 1.221E+01
 3.869E+01, 1.023E+01
 3.905E+01, 8.576E+00
 3.940E+01, 7.225E+00
 3.976E+01, 6.087E+00
 4.012E+01, 5.098E+00
 4.047E+01, 4.265E+00
 4.083E+01, 3.580E+00
 4.119E+01, 2.984E+00
 4.154E+01, 2.494E+00
 4.190E+01, 2.084E+00
 4.226E+01, 1.748E+00
 4.261E+01, 1.465E+00
 4.297E+01, 1.224E+00
 4.333E+01, 1.021E+00
 4.368E+01, 8.529E-01
 4.404E+01, 7.129E-01
 4.439E+01, 5.994E-01
 4.475E+01, 5.037E-01
 4.511E+01, 4.184E-01
 4.546E+01, 3.486E-01
 4.582E+01, 2.919E-01
 4.618E+01, 2.447E-01
 4.653E+01, 2.053E-01
 4.689E+01, 1.719E-01
 4.725E+01, 1.441E-01
 4.760E+01, 1.207E-01
 4.796E+01, 1.012E-01
 4.832E+01, 8.482E-02
 4.867E+01, 7.153E-02
 4.903E+01, 6.009E-02
 4.939E+01, 5.073E-02
 4.974E+01, 4.274E-02
 5.010E+01, 3.592E-02
 5.046E+01, 3.036E-02
 5.081E+01, 2.563E-02
 5.117E+01, 2.154E-02
 5.153E+01, 1.817E-02
 5.188E+01, 1.533E-02
 5.224E+01, 1.299E-02
 5.260E+01, 1.101E-02
 5.295E+01, 9.370E-03
 5.331E+01, 7.939E-03
 5.367E+01, 6.833E-03
 5.402E+01, 4.125E-03
