m,kW/m
Height,HRRPUL
 2.719E-02, 2.279E+03
 8.656E-02, 7.102E+02
 1.459E-01, 3.488E+02
 2.053E-01, 2.543E+02
 2.647E-01, 2.286E+02
 3.240E-01, 2.220E+02
 3.834E-01, 2.197E+02
 4.428E-01, 2.184E+02
 5.022E-01, 2.163E+02
 5.615E-01, 2.150E+02
 6.209E-01, 2.125E+02
 6.803E-01, 2.074E+02
 7.396E-01, 2.008E+02
 7.990E-01, 1.933E+02
 8.584E-01, 1.845E+02
 9.178E-01, 1.746E+02
 9.771E-01, 1.641E+02
 1.036E+00, 1.530E+02
 1.096E+00, 1.418E+02
 1.155E+00, 1.309E+02
 1.215E+00, 1.199E+02
 1.274E+00, 1.093E+02
 1.333E+00, 9.871E+01
 1.393E+00, 8.836E+01
 1.452E+00, 7.851E+01
 1.511E+00, 6.926E+01
 1.571E+00, 6.088E+01
 1.630E+00, 5.342E+01
 1.690E+00, 4.684E+01
 1.749E+00, 4.084E+01
 1.808E+00, 3.503E+01
 1.868E+00, 2.978E+01
 1.927E+00, 2.518E+01
 1.986E+00, 2.116E+01
 2.046E+00, 1.763E+01
 2.105E+00, 1.460E+01
 2.165E+00, 1.205E+01
 2.224E+00, 9.991E+00
 2.283E+00, 8.228E+00
 2.343E+00, 6.749E+00
 2.402E+00, 5.492E+00
 2.461E+00, 4.461E+00
 2.521E+00, 3.642E+00
 2.580E+00, 2.956E+00
 2.640E+00, 2.389E+00
 2.699E+00, 1.934E+00
 2.758E+00, 1.555E+00
 2.818E+00, 1.252E+00
 2.877E+00, 1.008E+00
 2.936E+00, 8.119E-01
 2.996E+00, 6.516E-01
 3.055E+00, 5.204E-01
 3.114E+00, 4.163E-01
 3.174E+00, 3.336E-01
 3.233E+00, 2.661E-01
 3.293E+00, 2.124E-01
 3.352E+00, 1.694E-01
 3.411E+00, 1.366E-01
 3.471E+00, 1.101E-01
 3.530E+00, 8.851E-02
 3.589E+00, 7.177E-02
 3.649E+00, 5.818E-02
 3.708E+00, 4.688E-02
 3.768E+00, 3.764E-02
 3.827E+00, 3.035E-02
 3.886E+00, 2.438E-02
 3.946E+00, 1.956E-02
 4.005E+00, 1.576E-02
 4.064E+00, 1.268E-02
 4.124E+00, 1.029E-02
 4.183E+00, 8.285E-03
 4.243E+00, 6.674E-03
 4.302E+00, 5.392E-03
 4.361E+00, 4.334E-03
 4.421E+00, 3.538E-03
 4.480E+00, 2.110E-03
