Q*, L/D (RI=5), L/D (RI=10), L/D (RI=20)
0.101018, 0.811454, 0.732552, 0.630867
0.202704, 1.504384, 1.417138, 1.585567
0.505757, 2.148327, 2.347920, 2.773856
1.012184, 3.584298, 3.268218, 3.608817
2.023699, 5.003816, 4.238427, 4.430147
5.060251, 7.866199, 6.569932, 7.028678
10.119833, 9.749204, 9.239963, 9.567096
20.240334, 13.303548, 12.183973, 14.304765
50.599832, 16.736515, 21.513410, 21.343687
101.200333, 24.393824, 28.686911, 28.426446
202.399997, 34.571943, 37.292131, 37.383928
506.000326, 49.234214, 54.326741, 50.290357
1011.999984, 63.632548, 74.762444, 68.156590
2023.999967, 83.369473, 94.563692, 89.180751
5059.999919, 119.711037, 131.403813, 130.517589
10119.999837, 148.414794, 171.213357, 166.264174
