s,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-20","HRRPUA-35","HRRPUA-50","HRRPUA-65"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.637E+00
 3.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.964E+01
 4.000E+01, 0.000E+00, 0.000E+00, 1.819E+01, 1.096E+02
 5.000E+01, 0.000E+00, 0.000E+00, 5.581E+01, 1.664E+02
 6.000E+01, 0.000E+00, 0.000E+00, 9.878E+01, 1.998E+02
 7.000E+01, 0.000E+00, 0.000E+00, 1.373E+02, 1.944E+02
 8.000E+01, 0.000E+00, 0.000E+00, 1.641E+02, 1.826E+02
 9.000E+01, 0.000E+00, 8.086E+00, 1.642E+02, 1.714E+02
 1.000E+02, 0.000E+00, 3.121E+01, 1.570E+02, 1.607E+02
 1.100E+02, 0.000E+00, 5.587E+01, 1.486E+02, 1.508E+02
 1.200E+02, 0.000E+00, 8.366E+01, 1.412E+02, 1.440E+02
 1.300E+02, 0.000E+00, 1.075E+02, 1.338E+02, 1.390E+02
 1.400E+02, 0.000E+00, 1.261E+02, 1.266E+02, 1.342E+02
 1.500E+02, 0.000E+00, 1.322E+02, 1.215E+02, 1.300E+02
 1.600E+02, 0.000E+00, 1.284E+02, 1.175E+02, 1.268E+02
 1.700E+02, 0.000E+00, 1.235E+02, 1.143E+02, 1.249E+02
 1.800E+02, 0.000E+00, 1.181E+02, 1.110E+02, 1.240E+02
 1.900E+02, 0.000E+00, 1.134E+02, 1.081E+02, 1.232E+02
 2.000E+02, 0.000E+00, 1.089E+02, 1.058E+02, 1.228E+02
 2.100E+02, 0.000E+00, 1.042E+02, 1.042E+02, 1.228E+02
 2.200E+02, 0.000E+00, 9.977E+01, 1.033E+02, 1.228E+02
 2.300E+02, 0.000E+00, 9.663E+01, 1.027E+02, 1.227E+02
 2.400E+02, 0.000E+00, 9.388E+01, 1.022E+02, 1.220E+02
 2.500E+02, 0.000E+00, 9.183E+01, 1.020E+02, 1.213E+02
 2.600E+02, 0.000E+00, 8.980E+01, 1.019E+02, 1.205E+02
 2.700E+02, 0.000E+00, 8.770E+01, 1.020E+02, 1.197E+02
 2.800E+02, 0.000E+00, 8.585E+01, 1.019E+02, 1.189E+02
 2.900E+02, 0.000E+00, 8.427E+01, 1.017E+02, 1.178E+02
 3.000E+02, 0.000E+00, 8.309E+01, 1.012E+02, 1.163E+02
 3.100E+02, 0.000E+00, 8.221E+01, 1.007E+02, 1.147E+02
 3.200E+02, 0.000E+00, 8.168E+01, 1.002E+02, 1.130E+02
 3.300E+02, 0.000E+00, 8.130E+01, 9.969E+01, 1.112E+02
 3.400E+02, 0.000E+00, 8.099E+01, 9.914E+01, 1.097E+02
 3.500E+02, 0.000E+00, 8.072E+01, 9.853E+01, 1.085E+02
