s,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_5p87_025","HRRPUA-CONE_5p87_025","WALL TEMPERATURE-CONE_5p87_050","HRRPUA-CONE_5p87_050","WALL TEMPERATURE-CONE_5p87_075","HRRPUA-CONE_5p87_075"
 5.400E+02, 4.914E+02, 1.071E+01, 6.556E+02, 0.000E+00, 7.647E+02, 0.000E+00
 5.500E+02, 4.915E+02, 7.832E+00, 6.556E+02, 0.000E+00, 7.647E+02, 0.000E+00
 5.600E+02, 4.916E+02, 5.250E+00, 6.556E+02, 0.000E+00, 7.647E+02, 0.000E+00
 5.700E+02, 4.916E+02, 3.211E+00, 6.557E+02, 0.000E+00, 7.647E+02, 0.000E+00
 5.800E+02, 4.917E+02, 1.193E+00, 6.557E+02, 0.000E+00, 7.648E+02, 0.000E+00
 5.900E+02, 4.917E+02, 2.842E-01, 6.557E+02, 0.000E+00, 7.648E+02, 0.000E+00
 6.000E+02, 4.918E+02, 1.510E-01, 6.558E+02, 0.000E+00, 7.648E+02, 0.000E+00
 6.100E+02, 4.918E+02, 2.675E-02, 6.558E+02, 0.000E+00, 7.648E+02, 0.000E+00
 6.200E+02, 4.918E+02, 0.000E+00, 6.558E+02, 0.000E+00, 7.648E+02, 0.000E+00
 6.300E+02, 4.919E+02, 0.000E+00, 6.558E+02, 0.000E+00, 7.649E+02, 0.000E+00
 6.400E+02, 4.919E+02, 0.000E+00, 6.558E+02, 0.000E+00, 7.649E+02, 0.000E+00
 6.500E+02, 4.919E+02, 0.000E+00, 6.559E+02, 0.000E+00, 7.649E+02, 0.000E+00
 6.600E+02, 4.920E+02, 0.000E+00, 6.559E+02, 0.000E+00, 7.649E+02, 0.000E+00
 6.700E+02, 4.920E+02, 0.000E+00, 6.559E+02, 0.000E+00, 7.649E+02, 0.000E+00
 6.800E+02, 4.920E+02, 0.000E+00, 6.559E+02, 0.000E+00, 7.649E+02, 0.000E+00
 6.900E+02, 4.920E+02, 0.000E+00, 6.559E+02, 0.000E+00, 7.649E+02, 0.000E+00
 7.000E+02, 4.920E+02, 0.000E+00, 6.559E+02, 0.000E+00, 7.649E+02, 0.000E+00
 7.100E+02, 4.921E+02, 0.000E+00, 6.559E+02, 0.000E+00, 7.649E+02, 0.000E+00
 7.200E+02, 4.921E+02, 0.000E+00, 6.559E+02, 0.000E+00, 7.649E+02, 0.000E+00
 7.300E+02, 4.921E+02, 0.000E+00, 6.559E+02, 0.000E+00, 7.649E+02, 0.000E+00
 7.400E+02, 4.921E+02, 0.000E+00, 6.559E+02, 0.000E+00, 7.649E+02, 0.000E+00
 7.500E+02, 4.921E+02, 0.000E+00, 6.560E+02, 0.000E+00, 7.649E+02, 0.000E+00
 7.547E+02, 4.921E+02, 0.000E+00, 6.560E+02, 0.000E+00, 7.650E+02, 0.000E+00
