s,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-20","HRRPUA-35","HRRPUA-50","HRRPUA-65"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.667E-01
 2.000E+01, 0.000E+00, 0.000E+00, 3.134E+00, 9.612E+00
 3.000E+01, 0.000E+00, 4.126E-01, 1.297E+01, 2.496E+01
 4.000E+01, 0.000E+00, 5.269E+00, 2.355E+01, 3.896E+01
 5.000E+01, 0.000E+00, 1.149E+01, 3.269E+01, 4.411E+01
 6.000E+01, 0.000E+00, 1.806E+01, 3.654E+01, 3.756E+01
 7.000E+01, 0.000E+00, 2.439E+01, 3.318E+01, 3.616E+01
 8.000E+01, 0.000E+00, 2.745E+01, 2.901E+01, 4.499E+01
 9.000E+01, 0.000E+00, 2.887E+01, 3.097E+01, 6.088E+01
 1.000E+02, 0.000E+00, 2.557E+01, 3.948E+01, 7.507E+01
 1.100E+02, 2.983E-01, 2.266E+01, 5.029E+01, 8.220E+01
 1.200E+02, 3.121E+00, 2.353E+01, 6.047E+01, 8.291E+01
 1.300E+02, 6.314E+00, 2.631E+01, 6.630E+01, 8.029E+01
 1.400E+02, 9.573E+00, 3.291E+01, 6.889E+01, 7.672E+01
 1.500E+02, 1.305E+01, 3.955E+01, 6.806E+01, 7.333E+01
 1.600E+02, 1.654E+01, 4.599E+01, 6.590E+01, 6.963E+01
 1.700E+02, 1.887E+01, 5.059E+01, 6.347E+01, 6.592E+01
 1.800E+02, 2.008E+01, 5.325E+01, 6.119E+01, 6.294E+01
 1.900E+02, 2.103E+01, 5.402E+01, 5.870E+01, 6.095E+01
 2.000E+02, 1.957E+01, 5.350E+01, 5.616E+01, 5.978E+01
 2.100E+02, 1.750E+01, 5.226E+01, 5.369E+01, 5.895E+01
 2.200E+02, 1.623E+01, 5.071E+01, 5.179E+01, 5.812E+01
 2.300E+02, 1.677E+01, 4.928E+01, 5.042E+01, 5.824E+01
 2.400E+02, 1.742E+01, 4.787E+01, 4.957E+01, 5.992E+01
 2.500E+02, 1.990E+01, 4.634E+01, 4.898E+01, 6.293E+01
 2.600E+02, 2.341E+01, 4.477E+01, 4.839E+01, 6.672E+01
 2.700E+02, 2.690E+01, 4.321E+01, 4.791E+01, 7.059E+01
 2.800E+02, 3.026E+01, 4.176E+01, 4.810E+01, 7.394E+01
 2.900E+02, 3.360E+01, 4.063E+01, 4.920E+01, 7.725E+01
 3.000E+02, 3.610E+01, 3.972E+01, 5.107E+01, 8.227E+01
 3.100E+02, 3.749E+01, 3.916E+01, 5.356E+01, 9.223E+01
 3.200E+02, 3.880E+01, 3.870E+01, 5.620E+01, 1.105E+02
 3.300E+02, 3.893E+01, 3.837E+01, 5.879E+01, 1.343E+02
 3.400E+02, 3.867E+01, 3.801E+01, 6.103E+01, 1.537E+02
 3.500E+02, 3.828E+01, 3.763E+01, 6.329E+01, 1.585E+02
