s,kW/m2,kW/m2
Time,"HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+00, 0.000E+00, 0.000E+00
 4.000E+00, 0.000E+00, 0.000E+00
 6.000E+00, 0.000E+00, 0.000E+00
 7.000E+00, 0.000E+00, 0.000E+00
 9.000E+00, 0.000E+00, 0.000E+00
 1.100E+01, 0.000E+00, 0.000E+00
 1.200E+01, 0.000E+00, 0.000E+00
 1.400E+01, 0.000E+00, 0.000E+00
 1.600E+01, 0.000E+00, 0.000E+00
 1.700E+01, 0.000E+00, 0.000E+00
 1.900E+01, 0.000E+00, 0.000E+00
 2.100E+01, 0.000E+00, 0.000E+00
 2.300E+01, 0.000E+00, 0.000E+00
 2.400E+01, 0.000E+00, 0.000E+00
 2.600E+01, 0.000E+00, 1.877E+02
 2.800E+01, 0.000E+00, 2.043E+02
 2.900E+01, 0.000E+00, 2.156E+02
 3.100E+01, 0.000E+00, 2.244E+02
 3.300E+01, 0.000E+00, 2.331E+02
 3.400E+01, 0.000E+00, 2.374E+02
 3.600E+01, 1.720E+01, 2.398E+02
 3.800E+01, 7.740E+01, 2.429E+02
 4.000E+01, 1.410E+02, 2.461E+02
 4.100E+01, 1.505E+02, 2.486E+02
 4.300E+01, 1.571E+02, 2.512E+02
 4.500E+01, 1.643E+02, 2.549E+02
 4.600E+01, 1.688E+02, 2.578E+02
 4.800E+01, 1.723E+02, 2.605E+02
 5.000E+01, 1.759E+02, 2.625E+02
 5.100E+01, 1.775E+02, 2.624E+02
 5.300E+01, 1.788E+02, 2.608E+02
 5.500E+01, 1.804E+02, 2.567E+02
 5.700E+01, 1.822E+02, 2.514E+02
 5.800E+01, 1.836E+02, 2.475E+02
 6.000E+01, 1.850E+02, 2.435E+02
 6.200E+01, 1.870E+02, 2.384E+02
 6.300E+01, 1.885E+02, 2.345E+02
 6.500E+01, 1.902E+02, 2.308E+02
 6.700E+01, 1.923E+02, 2.258E+02
 6.800E+01, 1.939E+02, 2.220E+02
 7.000E+01, 1.950E+02, 2.179E+02
 7.200E+01, 1.955E+02, 2.123E+02
 7.400E+01, 1.951E+02, 2.063E+02
 7.500E+01, 1.941E+02, 2.016E+02
 7.700E+01, 1.925E+02, 1.969E+02
 7.900E+01, 1.897E+02, 1.907E+02
