s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_3p07_025,HRRPUA-CONE_3p07_025,WALL TEMPERATURE-CONE_3p07_050,HRRPUA-CONE_3p07_050,WALL TEMPERATURE-CONE_3p07_075,HRRPUA-CONE_3p07_075
 1.080E+02, 4.049E+02, 0.000E+00, 5.956E+02, 4.805E+02, 7.180E+02, 5.123E+02
 1.100E+02, 4.067E+02, 0.000E+00, 5.971E+02, 4.872E+02, 7.192E+02, 4.539E+02
 1.120E+02, 4.084E+02, 0.000E+00, 5.985E+02, 4.940E+02, 7.204E+02, 3.895E+02
 1.140E+02, 4.101E+02, 0.000E+00, 5.999E+02, 5.006E+02, 7.216E+02, 3.216E+02
 1.160E+02, 4.118E+02, 0.000E+00, 6.013E+02, 5.041E+02, 7.227E+02, 2.584E+02
 1.180E+02, 4.134E+02, 0.000E+00, 6.026E+02, 5.057E+02, 7.238E+02, 2.123E+02
 1.200E+02, 4.150E+02, 0.000E+00, 6.039E+02, 5.073E+02, 7.249E+02, 1.703E+02
 1.220E+02, 4.166E+02, 0.000E+00, 6.052E+02, 5.064E+02, 7.259E+02, 1.356E+02
 1.240E+02, 4.181E+02, 0.000E+00, 6.064E+02, 5.028E+02, 7.269E+02, 1.120E+02
 1.260E+02, 4.196E+02, 0.000E+00, 6.076E+02, 4.995E+02, 7.279E+02, 9.242E+01
 1.280E+02, 4.210E+02, 0.000E+00, 6.088E+02, 4.965E+02, 7.288E+02, 8.591E+01
 1.300E+02, 4.224E+02, 0.000E+00, 6.099E+02, 4.949E+02, 7.298E+02, 8.196E+01
 1.320E+02, 4.238E+02, 0.000E+00, 6.110E+02, 4.937E+02, 7.307E+02, 7.826E+01
 1.340E+02, 4.252E+02, 0.000E+00, 6.121E+02, 4.925E+02, 7.315E+02, 7.474E+01
 1.360E+02, 4.265E+02, 0.000E+00, 6.131E+02, 4.902E+02, 7.324E+02, 7.316E+01
 1.380E+02, 4.278E+02, 0.000E+00, 6.141E+02, 4.817E+02, 7.332E+02, 7.236E+01
 1.400E+02, 4.291E+02, 0.000E+00, 6.151E+02, 4.679E+02, 7.340E+02, 7.161E+01
 1.420E+02, 4.303E+02, 0.000E+00, 6.161E+02, 4.452E+02, 7.348E+02, 7.086E+01
 1.440E+02, 4.315E+02, 0.000E+00, 6.170E+02, 4.192E+02, 7.355E+02, 7.011E+01
 1.460E+02, 4.327E+02, 0.000E+00, 6.179E+02, 4.034E+02, 7.363E+02, 6.937E+01
 1.480E+02, 4.339E+02, 0.000E+00, 6.188E+02, 3.969E+02, 7.370E+02, 6.862E+01
 1.500E+02, 4.350E+02, 0.000E+00, 6.197E+02, 3.885E+02, 7.377E+02, 6.787E+01
 1.520E+02, 4.361E+02, 0.000E+00, 6.205E+02, 3.791E+02, 7.383E+02, 6.712E+01
 1.540E+02, 4.372E+02, 0.000E+00, 6.213E+02, 3.715E+02, 7.390E+02, 6.638E+01
 1.560E+02, 4.383E+02, 0.000E+00, 6.221E+02, 3.686E+02, 7.396E+02, 6.563E+01
 1.580E+02, 4.393E+02, 0.000E+00, 6.229E+02, 3.668E+02, 7.402E+02, 6.490E+01
 1.600E+02, 4.404E+02, 8.490E+00, 6.236E+02, 3.657E+02, 7.408E+02, 6.426E+01
 1.620E+02, 4.414E+02, 1.197E+01, 6.244E+02, 3.657E+02, 7.414E+02, 6.361E+01
 1.640E+02, 4.423E+02, 1.538E+01, 6.251E+02, 3.658E+02, 7.420E+02, 6.296E+01
 1.660E+02, 4.433E+02, 1.879E+01, 6.258E+02, 3.658E+02, 7.425E+02, 6.232E+01
 1.680E+02, 4.442E+02, 2.219E+01, 6.265E+02, 3.659E+02, 7.430E+02, 6.167E+01
 1.700E+02, 4.451E+02, 2.568E+01, 6.271E+02, 3.633E+02, 7.436E+02, 6.102E+01
 1.720E+02, 4.460E+02, 3.083E+01, 6.278E+02, 3.589E+02, 7.441E+02, 6.037E+01
 1.740E+02, 4.469E+02, 3.675E+01, 6.284E+02, 3.487E+02, 7.446E+02, 5.973E+01
 1.760E+02, 4.478E+02, 4.274E+01, 6.290E+02, 3.355E+02, 7.450E+02, 5.908E+01
 1.780E+02, 4.486E+02, 4.875E+01, 6.296E+02, 3.148E+02, 7.455E+02, 5.843E+01
 1.800E+02, 4.494E+02, 5.477E+01, 6.302E+02, 2.914E+02, 7.459E+02, 5.779E+01
 1.820E+02, 4.502E+02, 6.081E+01, 6.307E+02, 2.624E+02, 7.464E+02, 5.735E+01
 1.840E+02, 4.510E+02, 6.686E+01, 6.313E+02, 2.329E+02, 7.468E+02, 5.721E+01
 1.860E+02, 4.518E+02, 7.293E+01, 6.318E+02, 2.036E+02, 7.472E+02, 5.708E+01
 1.880E+02, 4.526E+02, 7.901E+01, 6.324E+02, 1.710E+02, 7.476E+02, 5.695E+01
 1.900E+02, 4.533E+02, 8.510E+01, 6.329E+02, 1.346E+02, 7.480E+02, 5.682E+01
 1.920E+02, 4.540E+02, 9.121E+01, 6.334E+02, 1.079E+02, 7.484E+02, 5.670E+01
 1.940E+02, 4.547E+02, 9.733E+01, 6.338E+02, 9.420E+01, 7.488E+02, 5.657E+01
 1.960E+02, 4.554E+02, 1.040E+02, 6.343E+02, 8.339E+01, 7.491E+02, 5.644E+01
 1.980E+02, 4.561E+02, 1.127E+02, 6.348E+02, 7.427E+01, 7.495E+02, 5.631E+01
 2.000E+02, 4.568E+02, 1.215E+02, 6.352E+02, 6.759E+01, 7.498E+02, 5.619E+01
 2.020E+02, 4.574E+02, 1.293E+02, 6.357E+02, 6.298E+01, 7.501E+02, 5.606E+01
 2.040E+02, 4.581E+02, 1.374E+02, 6.361E+02, 5.903E+01, 7.505E+02, 5.593E+01
 2.060E+02, 4.587E+02, 1.459E+02, 6.365E+02, 5.703E+01, 7.508E+02, 5.578E+01
 2.080E+02, 4.593E+02, 1.550E+02, 6.369E+02, 5.547E+01, 7.511E+02, 5.561E+01
 2.100E+02, 4.599E+02, 1.647E+02, 6.373E+02, 5.216E+01, 7.514E+02, 5.544E+01
 2.120E+02, 4.605E+02, 1.751E+02, 6.377E+02, 4.630E+01, 7.516E+02, 5.528E+01
 2.140E+02, 4.611E+02, 1.864E+02, 6.380E+02, 4.012E+01, 7.519E+02, 5.511E+01
 2.160E+02, 4.616E+02, 1.987E+02, 6.384E+02, 3.659E+01, 7.522E+02, 5.494E+01
 2.180E+02, 4.622E+02, 2.102E+02, 6.388E+02, 3.536E+01, 7.525E+02, 5.477E+01
 2.200E+02, 4.627E+02, 2.184E+02, 6.391E+02, 2.712E+01, 7.527E+02, 5.461E+01
 2.220E+02, 4.632E+02, 2.259E+02, 6.394E+02, 1.784E+01, 7.530E+02, 5.444E+01
 2.240E+02, 4.637E+02, 2.335E+02, 6.398E+02, 1.719E+01, 7.532E+02, 5.427E+01
 2.260E+02, 4.642E+02, 2.417E+02, 6.401E+02, 1.694E+01, 7.534E+02, 5.411E+01
 2.280E+02, 4.647E+02, 2.500E+02, 6.404E+02, 1.677E+01, 7.537E+02, 5.394E+01
 2.300E+02, 4.652E+02, 2.582E+02, 6.407E+02, 1.660E+01, 7.539E+02, 5.377E+01
 2.320E+02, 4.657E+02, 2.665E+02, 6.410E+02, 1.644E+01, 7.541E+02, 5.360E+01
 2.340E+02, 4.662E+02, 2.750E+02, 6.413E+02, 1.627E+01, 7.543E+02, 5.343E+01
 2.360E+02, 4.666E+02, 2.837E+02, 6.416E+02, 1.611E+01, 7.545E+02, 5.327E+01
 2.380E+02, 4.671E+02, 2.924E+02, 6.418E+02, 1.594E+01, 7.547E+02, 5.310E+01
 2.400E+02, 4.675E+02, 3.012E+02, 6.421E+02, 1.578E+01, 7.549E+02, 5.293E+01
 2.420E+02, 4.679E+02, 3.101E+02, 6.424E+02, 1.561E+01, 7.551E+02, 5.277E+01
 2.440E+02, 4.683E+02, 3.189E+02, 6.426E+02, 1.545E+01, 7.553E+02, 5.260E+01
 2.460E+02, 4.687E+02, 3.279E+02, 6.429E+02, 1.528E+01, 7.555E+02, 5.243E+01
 2.480E+02, 4.691E+02, 3.369E+02, 6.431E+02, 1.511E+01, 7.556E+02, 5.226E+01
 2.500E+02, 4.695E+02, 3.459E+02, 6.433E+02, 1.494E+01, 7.558E+02, 5.209E+01
 2.520E+02, 4.699E+02, 3.550E+02, 6.436E+02, 1.478E+01, 7.560E+02, 5.121E+01
 2.540E+02, 4.703E+02, 3.633E+02, 6.438E+02, 1.461E+01, 7.561E+02, 4.909E+01
 2.560E+02, 4.707E+02, 3.713E+02, 6.440E+02, 1.444E+01, 7.563E+02, 4.689E+01
 2.580E+02, 4.710E+02, 3.793E+02, 6.442E+02, 1.436E+01, 7.564E+02, 4.468E+01
 2.600E+02, 4.714E+02, 3.874E+02, 6.444E+02, 1.435E+01, 7.566E+02, 4.248E+01
 2.620E+02, 4.717E+02, 3.954E+02, 6.446E+02, 1.434E+01, 7.567E+02, 4.027E+01
 2.640E+02, 4.720E+02, 4.035E+02, 6.448E+02, 1.434E+01, 7.569E+02, 3.806E+01
 2.660E+02, 4.724E+02, 4.112E+02, 6.450E+02, 1.433E+01, 7.570E+02, 3.585E+01
 2.680E+02, 4.727E+02, 4.173E+02, 6.452E+02, 1.433E+01, 7.571E+02, 3.364E+01
 2.700E+02, 4.730E+02, 4.226E+02, 6.454E+02, 1.432E+01, 7.572E+02, 3.143E+01
 2.720E+02, 4.733E+02, 4.280E+02, 6.455E+02, 1.431E+01, 7.574E+02, 2.922E+01
 2.740E+02, 4.736E+02, 4.334E+02, 6.457E+02, 1.431E+01, 7.575E+02, 2.512E+01
 2.760E+02, 4.739E+02, 4.372E+02, 6.459E+02, 1.430E+01, 7.576E+02, 0.000E+00
 2.780E+02, 4.742E+02, 4.388E+02, 6.460E+02, 1.430E+01, 7.577E+02, 0.000E+00
 2.800E+02, 4.745E+02, 4.404E+02, 6.462E+02, 1.429E+01, 7.578E+02, 0.000E+00
 2.820E+02, 4.748E+02, 4.397E+02, 6.464E+02, 1.429E+01, 7.579E+02, 0.000E+00
 2.840E+02, 4.750E+02, 4.381E+02, 6.465E+02, 1.428E+01, 7.580E+02, 0.000E+00
 2.860E+02, 4.753E+02, 4.362E+02, 6.467E+02, 1.428E+01, 7.581E+02, 0.000E+00
