s,kW/m2,kW/m2
Time,"HRRPUA-50","HRRPUA-75"
 0.000E+00, 0.000E+00, 0.000E+00
 9.000E+00, 0.000E+00, 0.000E+00
 1.800E+01, 0.000E+00, 0.000E+00
 2.700E+01, 0.000E+00, 0.000E+00
 3.600E+01, 0.000E+00, 0.000E+00
 4.500E+01, 0.000E+00, 0.000E+00
 5.400E+01, 0.000E+00, 0.000E+00
 6.300E+01, 0.000E+00, 0.000E+00
 7.200E+01, 0.000E+00, 0.000E+00
 8.100E+01, 0.000E+00, 0.000E+00
 9.000E+01, 0.000E+00, 0.000E+00
 9.900E+01, 0.000E+00, 0.000E+00
 1.080E+02, 0.000E+00, 0.000E+00
 1.170E+02, 0.000E+00, 1.382E+02
 1.260E+02, 0.000E+00, 1.321E+02
 1.350E+02, 0.000E+00, 1.311E+02
 1.440E+02, 0.000E+00, 1.271E+02
 1.530E+02, 1.644E+01, 1.208E+02
 1.620E+02, 7.964E+01, 1.160E+02
 1.710E+02, 9.929E+01, 1.127E+02
 1.800E+02, 9.798E+01, 1.104E+02
 1.890E+02, 9.750E+01, 1.105E+02
 1.980E+02, 9.541E+01, 1.090E+02
 2.070E+02, 9.225E+01, 1.088E+02
 2.160E+02, 8.862E+01, 1.092E+02
 2.250E+02, 8.628E+01, 1.086E+02
 2.340E+02, 8.445E+01, 1.068E+02
 2.430E+02, 8.267E+01, 1.042E+02
 2.520E+02, 8.212E+01, 1.031E+02
 2.610E+02, 8.232E+01, 1.036E+02
 2.700E+02, 8.145E+01, 1.051E+02
 2.790E+02, 8.077E+01, 1.066E+02
 2.880E+02, 8.107E+01, 1.070E+02
 2.970E+02, 8.126E+01, 1.061E+02
 3.060E+02, 8.110E+01, 1.050E+02
 3.150E+02, 8.030E+01, 1.054E+02
 3.240E+02, 7.908E+01, 1.078E+02
 3.330E+02, 7.761E+01, 1.120E+02
 3.420E+02, 7.681E+01, 1.186E+02
 3.510E+02, 7.667E+01, 1.226E+02
 3.600E+02, 7.725E+01, 1.255E+02
 3.690E+02, 7.811E+01, 1.272E+02
 3.780E+02, 7.903E+01, 1.277E+02
 3.870E+02, 7.956E+01, 1.291E+02
 3.960E+02, 7.961E+01, 1.308E+02
 4.050E+02, 7.901E+01, 1.321E+02
 4.140E+02, 7.836E+01, 1.318E+02
