s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
Time,"WALL TEMPERATURE-CONE_12p50_020","HRRPUA-CONE_12p50_020","WALL TEMPERATURE-CONE_12p50_035","HRRPUA-CONE_12p50_035","WALL TEMPERATURE-CONE_12p50_050","HRRPUA-CONE_12p50_050","WALL TEMPERATURE-CONE_12p50_065","HRRPUA-CONE_12p50_065"
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 1.070E+02, 0.000E+00, 1.652E+02, 0.000E+00, 2.213E+02, 0.000E+00, 2.750E+02, 0.000E+00
 2.000E+01, 1.804E+02, 0.000E+00, 2.855E+02, 0.000E+00, 3.803E+02, 0.000E+00, 4.646E+02, 1.187E+01
 3.000E+01, 2.173E+02, 0.000E+00, 3.397E+02, 0.000E+00, 4.435E+02, 0.000E+00, 5.309E+02, 3.065E+01
 4.000E+01, 2.426E+02, 0.000E+00, 3.735E+02, 0.000E+00, 4.796E+02, 9.260E+00, 5.662E+02, 4.397E+01
 5.000E+01, 2.617E+02, 9.594E-01, 3.970E+02, 0.000E+00, 5.033E+02, 3.817E+01, 5.885E+02, 4.592E+01
 6.000E+01, 2.769E+02, 7.733E+00, 4.149E+02, 0.000E+00, 5.207E+02, 6.741E+01, 6.045E+02, 3.812E+01
 7.000E+01, 2.897E+02, 1.558E+01, 4.293E+02, 8.549E-01, 5.344E+02, 8.548E+01, 6.171E+02, 4.152E+01
 8.000E+01, 3.009E+02, 2.478E+01, 4.413E+02, 4.677E+00, 5.458E+02, 8.366E+01, 6.275E+02, 5.704E+01
 9.000E+01, 3.107E+02, 3.458E+01, 4.518E+02, 7.284E+00, 5.555E+02, 7.026E+01, 6.364E+02, 7.469E+01
 1.000E+02, 3.197E+02, 4.442E+01, 4.610E+02, 9.754E+00, 5.641E+02, 5.486E+01, 6.442E+02, 8.589E+01
 1.100E+02, 3.278E+02, 5.179E+01, 4.693E+02, 1.173E+01, 5.717E+02, 4.643E+01, 6.512E+02, 8.893E+01
 1.200E+02, 3.353E+02, 5.721E+01, 4.768E+02, 1.263E+01, 5.785E+02, 4.465E+01, 6.574E+02, 8.653E+01
 1.300E+02, 3.422E+02, 5.899E+01, 4.836E+02, 1.309E+01, 5.847E+02, 4.662E+01, 6.629E+02, 8.232E+01
 1.400E+02, 3.486E+02, 5.539E+01, 4.898E+02, 1.189E+01, 5.903E+02, 4.831E+01, 6.680E+02, 7.823E+01
 1.500E+02, 3.546E+02, 4.992E+01, 4.955E+02, 1.072E+01, 5.954E+02, 4.679E+01, 6.726E+02, 7.415E+01
 1.600E+02, 3.602E+02, 4.343E+01, 5.007E+02, 1.098E+01, 6.000E+02, 4.395E+01, 6.768E+02, 7.015E+01
 1.700E+02, 3.654E+02, 3.604E+01, 5.055E+02, 1.164E+01, 6.043E+02, 4.085E+01, 6.806E+02, 6.743E+01
 1.800E+02, 3.702E+02, 2.967E+01, 5.099E+02, 1.370E+01, 6.082E+02, 3.919E+01, 6.840E+02, 6.518E+01
 1.900E+02, 3.748E+02, 2.554E+01, 5.140E+02, 1.618E+01, 6.117E+02, 3.872E+01, 6.872E+02, 6.395E+01
 2.000E+02, 3.790E+02, 2.222E+01, 5.178E+02, 1.861E+01, 6.150E+02, 3.803E+01, 6.901E+02, 6.343E+01
 2.100E+02, 3.830E+02, 1.980E+01, 5.213E+02, 2.104E+01, 6.180E+02, 3.734E+01, 6.928E+02, 6.291E+01
 2.200E+02, 3.867E+02, 1.876E+01, 5.245E+02, 2.292E+01, 6.208E+02, 3.685E+01, 6.952E+02, 6.313E+01
 2.300E+02, 3.902E+02, 1.813E+01, 5.274E+02, 2.414E+01, 6.233E+02, 3.656E+01, 6.974E+02, 6.634E+01
 2.400E+02, 3.934E+02, 1.873E+01, 5.302E+02, 2.583E+01, 6.257E+02, 3.666E+01, 6.994E+02, 6.994E+01
 2.500E+02, 3.965E+02, 1.945E+01, 5.327E+02, 2.697E+01, 6.278E+02, 3.735E+01, 7.013E+02, 7.391E+01
 2.600E+02, 3.993E+02, 2.017E+01, 5.351E+02, 2.903E+01, 6.298E+02, 3.755E+01, 7.030E+02, 7.792E+01
 2.700E+02, 4.020E+02, 2.090E+01, 5.373E+02, 3.271E+01, 6.316E+02, 3.682E+01, 7.046E+02, 8.193E+01
 2.800E+02, 4.045E+02, 2.149E+01, 5.393E+02, 3.816E+01, 6.332E+02, 3.604E+01, 7.060E+02, 8.736E+01
 2.900E+02, 4.068E+02, 2.109E+01, 5.411E+02, 4.343E+01, 6.348E+02, 3.526E+01, 7.073E+02, 9.825E+01
 3.000E+02, 4.090E+02, 2.039E+01, 5.429E+02, 4.681E+01, 6.362E+02, 3.448E+01, 7.085E+02, 1.175E+02
 3.100E+02, 4.111E+02, 1.897E+01, 5.445E+02, 4.613E+01, 6.375E+02, 3.397E+01, 7.096E+02, 1.421E+02
 3.200E+02, 4.130E+02, 1.734E+01, 5.460E+02, 4.165E+01, 6.387E+02, 4.262E+01, 7.106E+02, 1.621E+02
 3.300E+02, 4.148E+02, 1.571E+01, 5.473E+02, 3.617E+01, 6.398E+02, 6.383E+01, 7.116E+02, 1.648E+02
 3.400E+02, 4.165E+02, 1.399E+01, 5.486E+02, 3.123E+01, 6.408E+02, 8.456E+01, 7.124E+02, 1.529E+02
 3.500E+02, 4.181E+02, 1.220E+01, 5.498E+02, 2.803E+01, 6.417E+02, 9.650E+01, 7.132E+02, 1.329E+02
 3.600E+02, 4.196E+02, 1.100E+01, 5.509E+02, 2.616E+01, 6.426E+02, 9.822E+01, 7.139E+02, 1.128E+02
 3.700E+02, 4.210E+02, 1.009E+01, 5.519E+02, 2.457E+01, 6.434E+02, 9.529E+01, 7.146E+02, 9.331E+01
 3.800E+02, 4.223E+02, 9.187E+00, 5.528E+02, 2.320E+01, 6.441E+02, 9.011E+01, 7.152E+02, 7.608E+01
 3.900E+02, 4.235E+02, 8.739E+00, 5.537E+02, 2.259E+01, 6.448E+02, 8.255E+01, 7.157E+02, 6.375E+01
 4.000E+02, 4.247E+02, 8.608E+00, 5.545E+02, 2.250E+01, 6.454E+02, 7.491E+01, 7.162E+02, 5.568E+01
 4.100E+02, 4.258E+02, 8.477E+00, 5.552E+02, 2.265E+01, 6.460E+02, 6.809E+01, 7.167E+02, 4.954E+01
 4.200E+02, 4.268E+02, 8.346E+00, 5.559E+02, 2.351E+01, 6.465E+02, 6.476E+01, 7.171E+02, 4.548E+01
 4.300E+02, 4.277E+02, 8.215E+00, 5.566E+02, 2.448E+01, 6.470E+02, 6.310E+01, 7.175E+02, 4.262E+01
 4.400E+02, 4.286E+02, 8.084E+00, 5.572E+02, 2.611E+01, 6.475E+02, 6.272E+01, 7.179E+02, 4.099E+01
 4.500E+02, 4.294E+02, 7.952E+00, 5.577E+02, 2.957E+01, 6.479E+02, 6.251E+01, 7.182E+02, 3.935E+01
 4.600E+02, 4.302E+02, 7.821E+00, 5.582E+02, 3.454E+01, 6.483E+02, 6.369E+01, 7.185E+02, 3.775E+01
 4.700E+02, 4.309E+02, 7.690E+00, 5.587E+02, 4.086E+01, 6.486E+02, 6.527E+01, 7.188E+02, 3.668E+01
 4.800E+02, 4.316E+02, 7.636E+00, 5.592E+02, 4.813E+01, 6.489E+02, 6.746E+01, 7.191E+02, 3.583E+01
 4.900E+02, 4.323E+02, 7.659E+00, 5.596E+02, 5.494E+01, 6.492E+02, 7.026E+01, 7.193E+02, 3.497E+01
 5.000E+02, 4.329E+02, 7.682E+00, 5.599E+02, 5.971E+01, 6.495E+02, 7.129E+01, 7.195E+02, 3.411E+01
 5.100E+02, 4.334E+02, 7.705E+00, 5.603E+02, 6.271E+01, 6.498E+02, 7.156E+01, 7.197E+02, 3.325E+01
 5.200E+02, 4.340E+02, 7.728E+00, 5.606E+02, 6.541E+01, 6.500E+02, 6.901E+01, 7.199E+02, 3.244E+01
 5.300E+02, 4.345E+02, 7.815E+00, 5.609E+02, 6.760E+01, 6.502E+02, 6.553E+01, 7.201E+02, 3.047E+01
 5.400E+02, 4.349E+02, 8.132E+00, 5.612E+02, 6.808E+01, 6.504E+02, 5.984E+01, 7.202E+02, 2.467E+01
 5.500E+02, 4.354E+02, 8.470E+00, 5.615E+02, 6.731E+01, 6.506E+02, 5.422E+01, 7.204E+02, 1.714E+01
 5.600E+02, 4.358E+02, 8.808E+00, 5.617E+02, 6.689E+01, 6.507E+02, 4.647E+01, 7.205E+02, 1.597E+01
 5.700E+02, 4.362E+02, 9.146E+00, 5.619E+02, 6.664E+01, 6.509E+02, 3.878E+01, 7.206E+02, 1.274E+01
 5.800E+02, 4.365E+02, 9.432E+00, 5.621E+02, 6.685E+01, 6.510E+02, 3.360E+01, 7.207E+02, 0.000E+00
 5.900E+02, 4.368E+02, 9.375E+00, 5.623E+02, 6.543E+01, 6.512E+02, 3.026E+01, 7.208E+02, 0.000E+00
 6.000E+02, 4.372E+02, 9.256E+00, 5.625E+02, 6.387E+01, 6.513E+02, 2.808E+01, 7.209E+02, 0.000E+00
 6.100E+02, 4.375E+02, 9.136E+00, 5.627E+02, 6.214E+01, 6.514E+02, 2.637E+01, 7.210E+02, 0.000E+00
 6.200E+02, 4.377E+02, 9.013E+00, 5.628E+02, 5.970E+01, 6.515E+02, 1.758E+01, 7.211E+02, 0.000E+00
 6.300E+02, 4.380E+02, 8.887E+00, 5.630E+02, 5.909E+01, 6.516E+02, 1.678E+01, 7.212E+02, 0.000E+00
 6.400E+02, 4.382E+02, 8.761E+00, 5.631E+02, 5.956E+01, 6.517E+02, 1.614E+01, 7.212E+02, 0.000E+00
 6.500E+02, 4.385E+02, 8.635E+00, 5.632E+02, 5.869E+01, 6.518E+02, 1.551E+01, 7.213E+02, 0.000E+00
 6.600E+02, 4.387E+02, 8.509E+00, 5.633E+02, 5.726E+01, 6.519E+02, 1.514E+01, 7.213E+02, 0.000E+00
