s,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_12p50_050,HRRPUA-CONE_12p50_050,WALL TEMPERATURE-CONE_12p50_075,HRRPUA-CONE_12p50_075
 0.000E+00, 2.700E+01, 0.000E+00, 2.700E+01, 0.000E+00
 1.000E+01, 1.808E+02, 0.000E+00, 2.536E+02, 0.000E+00
 2.000E+01, 3.170E+02, 0.000E+00, 4.405E+02, 0.000E+00
 3.000E+01, 3.803E+02, 0.000E+00, 5.157E+02, 0.000E+00
 4.000E+01, 4.212E+02, 0.000E+00, 5.595E+02, 0.000E+00
 5.000E+01, 4.499E+02, 0.000E+00, 5.879E+02, 0.000E+00
 6.000E+01, 4.711E+02, 0.000E+00, 6.078E+02, 4.671E+01
 7.000E+01, 4.875E+02, 0.000E+00, 6.227E+02, 1.308E+02
 8.000E+01, 5.007E+02, 0.000E+00, 6.343E+02, 1.218E+02
 9.000E+01, 5.116E+02, 0.000E+00, 6.440E+02, 8.831E+01
 1.000E+02, 5.210E+02, 0.000E+00, 6.521E+02, 6.191E+01
 1.100E+02, 5.292E+02, 0.000E+00, 6.593E+02, 4.902E+01
 1.200E+02, 5.365E+02, 1.439E+00, 6.656E+02, 4.251E+01
 1.300E+02, 5.432E+02, 1.473E+01, 6.714E+02, 3.782E+01
 1.400E+02, 5.492E+02, 5.798E+01, 6.766E+02, 3.467E+01
 1.500E+02, 5.548E+02, 8.582E+01, 6.814E+02, 3.337E+01
 1.600E+02, 5.600E+02, 1.004E+02, 6.859E+02, 3.269E+01
 1.700E+02, 5.648E+02, 9.822E+01, 6.901E+02, 3.120E+01
 1.800E+02, 5.694E+02, 8.402E+01, 6.940E+02, 3.000E+01
 1.900E+02, 5.736E+02, 6.856E+01, 6.977E+02, 1.408E+01
 2.000E+02, 5.776E+02, 5.756E+01, 7.011E+02, 0.000E+00
 2.100E+02, 5.814E+02, 5.049E+01, 7.043E+02, 0.000E+00
 2.200E+02, 5.850E+02, 4.470E+01, 7.074E+02, 0.000E+00
 2.300E+02, 5.883E+02, 4.036E+01, 7.103E+02, 0.000E+00
 2.400E+02, 5.915E+02, 3.773E+01, 7.130E+02, 0.000E+00
 2.500E+02, 5.946E+02, 3.546E+01, 7.155E+02, 0.000E+00
 2.600E+02, 5.974E+02, 3.382E+01, 7.180E+02, 0.000E+00
 2.700E+02, 6.002E+02, 3.220E+01, 7.203E+02, 0.000E+00
 2.800E+02, 6.027E+02, 3.092E+01, 7.224E+02, 0.000E+00
 2.900E+02, 6.052E+02, 3.055E+01, 7.245E+02, 0.000E+00
 3.000E+02, 6.075E+02, 2.935E+01, 7.264E+02, 0.000E+00
 3.100E+02, 6.097E+02, 2.805E+01, 7.283E+02, 0.000E+00
 3.200E+02, 6.118E+02, 2.675E+01, 7.300E+02, 0.000E+00
